section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-description,section-result-info,section-result-info 2,section-result-info 3
CityMall Danao,4.1,(313),Shopping mall,F. Ralota St,Trendy mall with familiar offerings,(032) 340 1981,Open until 9:00 pm,
Sands Gateway Mall Danao,4.2,(107),Shopping mall,,,(032) 324 0895,Open until 10:00 pm,Closed today
David Salon - Country Mall Branch,3.8,(4),Beauty salon,"Unit 1122 Grd. Flr. Gaisano Country Mall, Banilad Rd., Cebu City, 6000, Cebu Cebu PH, Banilad Rd",Bustling department store with eateries,(032) 234 2973,Open until 5:00 pm,Temporarily closed
Metro Gaisano Carmen,3.9,(77),Shopping mall,,Bustling department store with eateries,(032) 412 8979,Open until 9:00 pm,Closed
RedDoorz near JY Square Mall Cebu,2.6,(5),3-star hotel,,,(02) 8626 3737,Open until 10:00 pm,Temporarily closed
National Book Store - Park Mall Cebu,4.0,(4),Book store,"Ground Floor, Main Mall, Parkmall, Ouano Avenue",,(032) 239 7563,Open until 7:00 pm,
Driptea City Soho Mall,5.0,(1),Cafe,"City Soho Mall, B. Rodriguez St",Large shopping mall with a cinema,0916 515 4123,Open until 8:30 pm,
Sun Shop - J Centre Mall,4.0,(4),Telecommunications service provider,"2F, Jcentre Mall, A.F Fortuna St.",Mall with a food court & restaurants,(032) 341 4731,Open until 9:00 pm,Temporarily closed
Savemore Market Mactan Marina Mall,4.0,(341),Grocery store,Blk D. Mactan Marina Mall,"Clothing, food & housewares stores",(032) 341 3282,Open until 10:00 pm,Temporarily closed
The Sun Shop - J. Center Mall Cebu,3.4,(12),Telecommunications service provider,"2F J Centre Mall J Center Mall, A. S. Fortuna St",Shopping mall with casual eateries,(02) 8395 8000,Open until 9:00 pm,Temporarily closed
Savemore Market Elizabeth Mall,5.0,(4),Grocery store,"G/F Elizabeth Mall, cor. N.Bacalso Ave, Leon Kilat St",Compact & mellow shopping mall,(032) 255 9865,Open until 9:00 pm,
Little India - One Pavilion Mall Banawa,4.1,(41),Vegetarian,"One Pavilion Mall, #22 R. Duterte St",,0922 513 2395,Open until 7:00 pm,Temporarily closed
SM Hypermarket J Centre Mall,4.1,(153),Supermarket,"J Centre, AS Fortuna Cor. V. Albano St Extension",,(032) 520 3371,Open until 9:00 pm,Temporarily closed
Abenson Pacific Mall Mandaue,1.0,(1),Appliance store,"2nd Floor Pacific Mall Building M.C.Briones Street, U.N. Ave",Modest retail complex with shops & food,(032) 272 2286,Open until 4:00 pm,
Handyman Do it Best Gaisano Grand Mandaue North Mall,5.0,(1),Hardware store,"2/F Gaisano Grand Mandaue North Mall National Highway, Brgy",,0910 783 8047,Open until 8:00 pm,Temporarily closed
Savemore Market City Mall Consolacion,2.0,(1),Grocery store,Brgy,,(032) 343 0585,Open until 9:00 pm,Temporarily closed
Handyman Do it Best E-mall Cebu,1.0,(1),Hardware store,"2/F E-Mall Cebu, Leon Kilat, cor. Bacalso St",,(032) 256 1665,Open until 8:00 pm,Temporarily closed
Food Express,3.9,(14),Food court,"Third Floor, JCentre Mall, 165 A. S. Fortuna St","Retail plaza with eateries, gym & market",(032) 266 8888,Open until 8:30 pm,Closed
360 Pharmacy Marina Mall,5.0,(1),Convenience store,Lapu-Lapu Airport Rd,,Open until 8:00 pm,0930 671 1356,Temporarily closed
Horizon 101 by Phol 5mins walk Robinson Mall and Bar,5.0,(2),Serviced apartment,"HORIZON 101, 74 General Maxilom Ave","Shopping venue with stores, eats & films",0995 840 7994,Open until 8:00 pm,Temporarily closed
Macao Imperial Tea APM Mall,4.0,(1),Tea house,,Trendy mall with familiar offerings,Open until 9:00 pm,(032) 340 1981,
Metro Department Store,4.3,(4),Department store,"Pacific Mall, M.C. Briones Corner UN Ave",,(032) 239 7956,Open until 10:00 pm,Temporarily closed
Handyman Do it Best Gaisano Island Mall Mactan,3.8,(6),Hardware store,"G/F Gaisano Island Mall Mactan, M.L. Quezon National Highway",Bustling department store with eateries,(032) 343 2053,Open until 5:00 pm,Temporarily closed
Handyman Do It Best Grand Mall Mactan,4.0,(2),Hardware store,"G/F Grand Mall Mactan, Basak, Ibabao - Gisi - Agus Rd",Bustling department store with eateries,(032) 505 8119,Open until 9:00 pm,Temporarily closed
Chowking,4.0,(32),Fast Food,"Marina Mall, M.L. Quezon National Highway",Quick stop for familiar Chinese fare,Open until 10:00 pm,(02) 8626 3737,Temporarily closed
PNB Cebu Banawa,5.0,(1),Bank,"One Pavilion Mall, R. Duterte St",,Open until 7:00 pm,(032) 239 7563,
Gaisano Cineplex,4.1,(54),Movie theater,"Gaisano Country Mall, Gov. M. Cuenco Ave",Large shopping mall with a cinema,(032) 231 1481,Open until 8:30 pm,Temporarily closed
"Toys""R""Us Galleria Cebu",4.4,"(5,020)",Toy store,Level 2 Robinsons Place Galleria Cebu,Mall with a food court & restaurants,(032) 260 8632,Open until 9:00 pm,Temporarily closed
JC Fashion Store,4.0,(341),Gift shop,"109 3rd Floor, JCentre Mall, V.Albano","Clothing, food & housewares stores",(032) 266 8888,Open until 10:00 pm,Temporarily closed
WEALTHBANK,4.5,(2),Bank,"GF, Kiosk , Pacific Mall Mandaue , 168 M.C.Briones Street Corner Un Avenue , 6014 Mandaue City , Cebu",Shopping mall with casual eateries,(032) 239 1072,Open until 8:00 pm,Temporarily closed
Mang Inasal,4.1,(141),Fast Food,"Bakilid Ground Floor, J Centre Mall, 165 AS Fortuna Street, Bakilid, Mandaue City, Cebu, Philippines, A. S. Fortuna St",Compact & mellow shopping mall,(032) 266 0100,Open until 9:00 pm,
Savemore Market,4.0,(170),Supermarket,"Elizabeth Mall, GF, Leon Kilat St",,(02) 8831 1888,Open until 9:00 pm,Temporarily closed
Freesoul Cyber Gadgets,4.2,(10),Mobile phone repair shop,"Unit 155, 2nd level, J Centre Mall, A. S. Fortuna St",,(032) 350 6843,Open until 7:00 pm,Temporarily closed
Seafood Island’s Crab House,3.9,(143),Restaurant,"Ayala Mall, L4, Outside Silicon Valley, 411 Archbishop Reyes Ave",Modest retail complex with shops & food,(032) 410 6399,Open until 10:00 pm,
Moa massage,4.1,(167),Massage therapist,"Gaisano Country Mall, 2nd Floor, Camp Lapu-Lapu Rd",,(032) 410 7399,Open until 1:00 am,Temporarily closed
Metro Pharmacy,2.0,(1),Pharmaceutical company,"GF , Pacific Mall Mandaue , 168 M.C.Briones Street Corner Un Avenue , 6014 Mandaue City , Cebu",,(032) 420 8888,Open until 8:00 pm,Temporarily closed
David's Salon,3.5,(2),Beauty salon,"Gaisano Country Mall, Gov. M. Cuenco Ave",,(032) 234 2973,Open until 8:00 pm,Temporarily closed
Globe Telecom,3.0,(9),Telecommunications service provider,"Upper G/F GK16, J. Center Mall, A.S. Fortuna, A.S.Fortuna","Retail plaza with eateries, gym & market",(032) 730 1010,Open until 9:00 pm,Closed
Pizza Hut,2.5,(30),Pizza,"Gaisano Country Mall, Gov. M. Cuenco Ave",Casual pizza chain with wide selection,(032) 231 4141,Open until 9:00 pm,Temporarily closed
Handyman Do it Best Grand Mall Liloan,5.0,(2),Hardware store,"L/GF Grand Mall, Central Nautical Hwy","Shopping venue with stores, eats & films",(032) 239 4886,Open until 8:00 pm,Temporarily closed
Pizza Hut Gaisano Cebu,3.2,(9),Pizza,"Pizza Hut Gaisano Cebu, Unit 114-115 Gaisano Country Mall",Casual pizza chain with wide selection,(032) 231 4141,Open until 9:00 pm,
Island City Mall - Tagbilaran City,4.2,(375),Shopping mall,22 Rajah Sikatuna Ave,,(032) 239 7956,Open until 9:00 pm,Temporarily closed
