section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 2
Shell,3.9,(7),Gas station,Cebu S Rd,(02) 878 8888,https://find.shell.com/ph/fuel/12206607-sh-natl-hiway-minglanilla-coss,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
PT&T Gas Station,3.6,(11),Gas station,,(032) 268 2112,,,,
Caltex,4.0,(1),Gas station,South Road,(032) 273 2145,http://www.caltex.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:30 pm
LKB Gas Station,3.8,(12),Gas station,M.L. Quezon National Highway,(032) 341 4877,,,,Open until 12:00 am
"Total (Plaridel, Cebu)",3.9,(100),Gas station,"U.N. Avenue, cor Plaridel St",0922 882 4819,http://www.totaloil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
AGP Gas Station,3.5,(10),Gas station,Brgy Yati Liloan Cebu,0998 856 7056,http://www.totaloil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
FLYING V PIT-OS CEBU CITY,4.0,(2),Gas station,,4171338,,,,Open until 9:00 pm
Caltex,5.0,(1),Gas station,Sangi Rd,(032) 260 2262,http://www.caltex.com/ph,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Seaoil,3.9,(8),Gas station,Plaridel St,(032) 397 1010,https://www.seaoil.com.ph/our-stations,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Shell,4.0,(18),Gas station,Basak-Marigondon Rd,(02) 8878 8888,https://find.shell.com/ph/fuel/10022077-sh-basak-marigondon-humay/en_PH,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Upper Pakigne Flowing Water Minglanilla,3.9,(8),Gas station,,(032) 263 5231,,,,
Petron,4.0,(8),Gas station,182 Zone Sibuyas,(032) 422 5402,,,,Open until 10:00 pm
Shell,4.0,(67),Gas station,Maximo V. Patalinghug Jr. Avenue,(032) 505 2853,https://find.shell.com/ph/fuel/11583372-sh-basak-lapu-lapu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Caltex,3.5,(17),Gas station,"Punta Rizal cor GY Dela Serna St., Opon-Airport-Sangi Road",(032) 495 5203,http://www.caltex.com/ph/?utm_source=Google&utm_medium=Map&utm_content=Caltex-Lapulapu&utm_campaign=GMAP_Philippines,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
1st Autogas,4.5,(4),Gas station,M. V. Patalinghug Jr. Ave,(032) 495 9363,,,,Open until 10:00 pm
Shell,3.5,(11),Gas station,M.L. Quezon National Highway,(02) 3843 5812,https://find.shell.com/ph/fuel/12459456-sh-pusok-lapu-lapu-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Rephil,3.0,(2),Gas station,San Miguel Road,(032) 496 7886,http://www.rephil.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Rephil,4.0,(2),Gas station,S. Osmeña Street,(032) 493 5033,http://www.rephil.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Phoenix,4.0,(7),Gas station,M.L. Quezon National Highway,(032) 419 1014,http://www.phoenixfuels.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
CAV Auto Options Inc.,5.0,(1),Gas station,,(032) 422 8820,,,,
Total,4.3,(11),Gas station,Cebu S Rd. (Natalio B. Bacalso S Nat'l Hwy),0917 888 2902,http://www.totaloil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Rephil,3.6,(11),Gas station,Cebu - North Coastal Rd,(032) 424 1807,http://www.rephil.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
FERC Gasoline Station,4.4,(8),Gas station,"Purok Sunflower, Rizal Cener, Poblacion",(032) 273 2145,,,,Open until 11:30 pm
Shell,5.0,(1),Gas station,N.Bacalso,(032) 341 4877,http://www.shell.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 12:00 am
PTT,4.0,(1),Gas station,Andrew Loable,0927 694 3409,http://www.pttphils.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:30 pm
Petron,4.2,(49),Gas station,M.L. Quezon National Highway,0998 856 7056,,,,
Petron,3.0,(1),Gas station,,(032) 493 6191,http://www.facebook.com/SandyGasolineStation,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Jetti,3.5,(6),Gas station,"Hawaiian Village, Basak-Marigondon Rd",(032) 260 2262,,,,
JETTI,3.9,(8),Gas station,,(032) 397 1010,,,,Open until 9:00 pm
Consolacion Supershell Station,4.3,(7),Gas station,,(02) 8878 8888,,,,
cebu city airport taxi garage,3.1,(7),Gas station,6014,(032) 263 5231,,,,
Shell,3.8,(24),Gas station,Naga - Uling Rd,(032) 489 9155,https://find.shell.com/ph/fuel/10056299-sh-so-poblacion-naga-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
"NTI-J.P. Rizal, Basak",4.0,(67),Gas station,,(032) 505 2853,,,,Open until 10:00 pm
Modern Gas,3.5,(17),Wholesaler,Gorordo Ave,(032) 233 3309,,,,
Petrol K,3.8,(4),Gas station,Looc,(032) 511 6454,,,,Open until 10:00 pm
Trev Oil Enterprises,3.5,(11),Wholesaler,"933, Zosa Building, Vicente Rama Avenue",0999 561 2008,,,,
RK5 Gasoline State,3.0,(2),Gas station,,(032) 496 7886,,,,Open until 10:00 pm
Ferc Gas Station Compostela,4.0,(2),Gas station,,(032) 493 5033,,,,Open until 10:00 pm
Shell,3.7,(7),Gas station,M.L. Quezon National Highway,(032) 268 3542,https://find.shell.com/ph/fuel/11790868-sh-buaya-lapulapu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Pryce Autogas Flying V,3.7,(3),Gas station,Natalio B. Bacalso S National Hwy,(032) 422 8820,,,,
Gas & Go Gasoline Station,4.3,(11),Gas station,Antonio Y De Pio National Hwy,0917 888 2902,,,,Open until 10:00 pm
Japerson Gasul Center,3.1,(9),Gas station,Basak-Cagodoy-Bankal-Buaya Road,0917 714 2785,http://www.facebook.com/JapersonGasulCenter/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
D'FAMILY PETRON STATION,3.7,(16),Gas station,Antonio Y De Pio National Hwy,(032) 260 8428,,,,Open until 8:00 pm
PTT Gas Station,5.0,(1),Gas station,,(032) 341 4877,,,,Open until 12:00 am
Seaoil,4.0,(1),Gas station,,0927 694 3409,,,,Open until 9:30 pm
Seaoil,4.0,(13),Gas station,Central Nautical Hwy,0998 856 7056,https://www.seaoil.com.ph/our-stations,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Gazland Enterprises,3.0,(1),Wholesaler,Gorordo Ave,(032) 254 5555,,,,Open until 9:00 pm
Shell,3.5,(6),Auto repair shop,Lawaan 3 St,(032) 272 4226,,,,
Mandaue Compressed Gases Corporation,3.9,(8),Manufacturer,"M. J. Cuenco Avenue, Mabolo",(032) 232 2327,,,,Open until 9:00 pm
Superior Gas and Equipment Company of Cebu,4.3,(7),Wholesaler,National Highway,(032) 344 3805,,,,
