section-result-title,section-result-details,section-result-location,cards-rating-score,section-result-num-ratings,section-result-info,section-result-info 2,section-result-description
D' Family Housing Supply,Hardware store,F. Jaca St,3.8,(5),Open until 5:00 pm,(032) 272 1885,
BnB Builders Essential Hardware Inc.,Hardware store,,3.3,(4),Open until 5:00 pm,5160413,
Bf Builders & Hardware Incorporated,Hardware store,"General Maxilom Avenue Extension, corner C Arellano Boulevard, Port Center",5.0,(1),Open until 5:00 pm,(032) 231 2222,
Talamban Lezzel Housing Supply Corporation,Hardware store,Talamban Rd,2.5,(2),Open until 5:00 pm,(032) 401 1300,
Cebu Bionic Builders,Hardware store,Natalio B. Bacalso Ave,3.6,(8),Open until 5:00 pm,(032) 262 2851,Source for tools & supplies
Geminie Gen. Merchandise,Hardware store,"Tigbao, Talamban Rd",1.0,(1),Open until 6:00 pm,(032) 346 7289,Source for tools & supplies
Golden Banawa,Hardware store,Upper Tulay Tunghaan,3.0,(1),Open until 6:00 pm,(032) 490 7040,Source for tools & supplies
KGJ Construction And Supply,Hardware store,1005 V Rama Ave,4.8,(17),Open until 5:00 pm,0905 482 4814,
HITECH Hardware & Electrical Supply Inc.,Hardware store,"near Sto. Niño Church, 59-61 Osmeña Blvd",4.3,(15),Open until 5:00 pm,(032) 268 4185,Source for tools & supplies
Macrolite,Hardware store,Magallanes St,1.0,(1),Open until 6:00 pm,(032) 253 3755,
NJC ENTERPRISES,Hardware store,"tugas, F. Jaca St",5.0,(1),(032) 346 4517,Open until 6:00 pm,
Columbia Wires and Cables Electrical Suppliers,Hardware store,,1.0,(1),(032) 343 9196,Open until 5:00 pm,
Omni Mercury,Hardware store,48-50 Leon Kilat St,5.0,(1),Open until 5:00 pm,(032) 255 9814,
HCI,Hardware store,,4.0,(4),Open until 6:00 pm,(032) 253 7261,Source for tools & supplies
Tabunok Boltcenter,Hardware store,"Deiparine Bldg, Natalio B. Bacalso Ave",4.0,(1),Open until 5:00 pm,(032) 273 6935,
Jimmy's Lumber & Furniture Enterprises,Hardware store,Natalio B. Bacaso Ave,4.3,(7),Open until 6:00 pm,(032) 236 7738,Source for tools & supplies
Cebu Home & Builders Centre,Hardware store,A. S. Fortuna St,4.2,(533),Open until 5:30 pm,(032) 230 3777,
Balay Panday Hardware,Hardware store,E Sabellano Street,4.9,(8),Open until 5:00 pm,(032) 273 3554,
Pit-os,Hardware store,Upper Bacayan,4.0,(1),Open until 5:30 pm,(032) 505 8283,
Super Joy Electronics Center,Hardware store,"36 P Lopez, Juan Luna Street",3.0,(1),Open until 6:00 pm,(032) 253 1692,
Ample stainless steel (mabolo branch),Hardware store,1905 Central Nautical Hwy,3.8,(5),Open until 5:00 pm,(032) 413 3005,
FAHL Enterprises,Hardware store,"Unit #3, FAHL Building, 124 N Escario St",3.5,(2),Open until 9:00 pm,(032) 254 7557,
Jett Construction & Electrical Supply,Hardware store,Lopez Jaena St,4.0,(4),Open until 5:00 pm,(032) 344 0007,
Katipunan Viva Enterprises,Hardware store,Katipunan St,1.0,(1),Open until 5:00 pm,(032) 261 9619,
Punta Enterprises,Hardware store,Francisco Llamas St,3.3,(7),Open until 5:00 pm,(032) 261 1706,Source for tools & supplies
Altina Home Details,Hardware store,"Borbajo Street, Gov. M. Cuenco Ave",1.0,(1),Open until 5:00 pm,(032) 412 1277,Source for tools & supplies
Birhen Sa Lourdes,Hardware store,F. Jaca St,3.0,(2),Open until 6:00 pm,(032) 415 3496,Source for tools & supplies
Accu-Fit Machine Shop,Hardware store,Cabreros Street,4.8,(17),Open until 5:00 pm,(032) 262 0165,
Cebu Icon Hardware,Hardware store,"Suarez Building, National Hi-Way",3.8,(4),Open until 5:00 pm,(032) 238 1568,Source for tools & supplies
Tabunok Centennial,Hardware store,"NY Building, National Hi-Way",3.2,(5),Open until 6:00 pm,(032) 272 8899,
May Rosedon,Hardware store,F. Jaca St,5.0,(1),Open until 6:00 pm,(032) 272 5106,
"RGFG Design, Builders and Supply",Hardware store,1504 M. J. Cuenco Ave,5.0,(1),Open until 5:00 pm,0917 149 6915,
Pica Enterprises,Hardware store,V Rama Avenue,5.0,(1),Open until 5:00 pm,(032) 254 1624,
"Dynamic Power Marine & Industrial Hardware, Inc.",Hardware store,E.O.Perez Street,4.2,(11),Open until 6:00 pm,(032) 346 7955,Source for tools & supplies
Central Lumber Corporation,Hardware store,Rizal Ave Ext.,4.5,(2),Open until 5:00 pm,(032) 272 4477,
KGJ Construction And Supply,Hardware store,"1005 Quezon Bldg, V Rama Ave",4.3,(7),Open until 5:00 pm,0905 482 4814,Source for tools & supplies
New Sugbo Hardware Corp.,Hardware store,Hi-way Sangi Road,4.0,(3),Open until 5:00 pm,0923 216 5726,
Balay Panday Hardware,Hardware store,E Sabellano Street,4.9,(8),Open until 5:00 pm,(032) 326 9747,
"GLOBAL HARDWARE AND BUILDING SUPPLIES, INC.",Hardware store,"Sangi, Lower Calajoan",4.0,(1),Open until 5:00 pm,(032) 490 4026,
Spark Electric,Hardware store,"Yap Bldg., GF no. 35, M. Velez St",4.5,(4),Open until 5:30 pm,(032) 254 0787,
BELMONT Hardware Depot,Hardware store,"Belmont One, Cebu S Rd",5.0,(4),Open until 5:00 pm,0917 704 1627,
RM & N Enterprises,Hardware store,Talamban Rd,3.5,(2),Open until 9:00 pm,(032) 505 7117,
D' Family Enterprises,Hardware store,566 Cebu S Rd,3.8,(6),(032) 344 0007,Open until 5:00 pm,
Tommy's Electronics Parts Supply,Hardware store,"272 Colon Street corner Climaco Street, Cebu City, Cebu",3.6,(5),Open until 6:00 pm,(032) 254 3862,
Cebu Glascrafter Phil. Corp.,Hardware store,Upper Tingub,4.3,(6),Open until 5:00 pm,(032) 343 9903,Source for tools & supplies
AA Undaloc Enterprises,Hardware store,F. Jaca St,1.0,(1),(032) 412 1277,Open until 5:00 pm,Source for tools & supplies
JDR Hardware,Hardware store,Natalio B. Bacalso S National Hwy,4.7,(58),Open until 5:00 pm,0917 405 6645,Source for tools & supplies
D' New Hard Builders & Dev't. Corporation.,Hardware store,"Engi Tech Plde, 1285 Hernan Cortes St",4.8,(17),Open until 5:00 pm,(032) 346 1403,
JSY Lumber & General Merchandise.,Hardware store,"Marigondon Crossing, M.L. Quezon National Highway",4.3,(7),Open until 5:00 pm,(032) 494 0767,Source for tools & supplies
Moreishi Empower Marketing Inc.,Hardware store,Cogon Pardo,1.0,(2),Open until 6:00 pm,0933 053 6362,
Kapitan Parts Center & Co.Inc. - Cebu,Hardware store,98 A. Borromeo St,3.8,(6),Open until 6:00 pm,(032) 254 2319,
Tennrich Marketing,Hardware store,Cebu S Rd,5.0,(1),Open until 5:00 pm,(032) 273 2233,
TFE Sales Marketing Corp Basak,Hardware store,Central Nautical Hwy,3.0,(1),Open until 5:00 pm,(032) 346 2982,
Amixa Merchants,Hardware store,"Gov.M.Cuenco Ave, Nasipit Road",4.2,(11),Open until 5:00 pm,0956 270 6178,Source for tools & supplies
TFE Sales Marketing Corporation,Hardware store,Magallanes St,4.5,(2),Open until 5:00 pm,(032) 346 2981,
Babag Hardware,Building materials store,,4.3,(10),Open until 5:00 pm,(032) 496 2906,Source for tools & supplies
Dan Enrico Enterprises,Hardware store,Basak-Sudtunggan Rd,4.0,(3),Open until 6:00 pm,0923 216 5726,
G Gilbert Dela Serna Construction Segments,Hardware store,"J&E Building, Toledo - Manipis Rd",5.0,(1),Open until 5:00 pm,(032) 512 1128,
True Value,Hardware store,"Central Bloc, V. Padriga St",5.0,(2),Open until 11:00 pm,(032) 490 4026,
Aviva Wood Depot Co.,Hardware store,"Aviva Wood Depot, Natalio B. Bacalso Ave",5.0,(3),Open until 5:30 pm,(032) 491 7339,
Lava Marketing & Construction Supply,Building materials store,"Tan Amboy Street, Poblacion",5.0,(4),Open until 5:00 pm,(038) 518 0072,
Cebu Home Builders,Hardware store,1256 Natalio B. Bacalso Ave,4.1,(43),Open until 5:00 pm,(032) 273 1500,
Savers Depot,Hardware store,Basak-Marigondon Rd,3.7,(94),Open until 7:00 pm,(032) 520 2910,
Häfele One Paseo Cebu Showroom,Hardware store,One Paseo Saturnino,3.6,(5),Open until 6:00 pm,(032) 416 2888,
Cebu Home and Builders Centre Consolacion,Hardware store,Cebu N Rd,3.7,(11),Open until 7:00 pm,(032) 236 4594,Source for tools & supplies
CitiHardware Cebu - CarCar,Hardware store,Cebu S Rd,4.4,(96),Open until 7:00 pm,(032) 487 9722,Source for tools & supplies
Pengavitor,Department store,,3.0,(1),Open until 10:00 pm,0917 405 6645,Source for tools & supplies
Concesa Builders,Hardware store,Antonio Y De Pio National Hwy,3.0,(1),(032) 346 1403,Open until 5:00 pm,
"Cebuana Lhuillier Pawnshop -Poblacion, Talibon,Bohol",Pawn shop,"CPG Avenue, Poblacion, Talibon",4.3,(7),Open until 5:00 pm,(038) 515 5224,Source for tools & supplies
MR.DIY,Hardware store,Mactan Town Center Lapu-Lapu City,1.0,(2),Open until 9:00 pm,(02) 8463 0855,
"Banilad Cebu Tradecenter, Inc.",Building materials store,"Unit 1-2 Dona Carmen Bldg, Gov. M. Cuenco Ave",3.6,(5),Open until 5:00 pm,(032) 232 3876,
