section-result-title,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,cards-rating-score,section-result-num-ratings,section-result-info 2
A-Z Link Money Transfer,Carbon St,(032) 266 4908,https://locations.westernunion.com/ph/cebu/minglanilla/3e92603871fa9e5e5b13690963d3e655,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(2),Open until 7:00 pm
M Lhuillier,"Benigno Bldg, Fuente Cirae",(032) 412 1048,,,,5.0,(1),Open until 5:00 pm
Cebuana Lhuillier,Toledo - Manipis Rd,(032) 491 5881,http://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.0,(8),
Palawan Pawnshop,Natalio B. Bacalso Ave,(032) 268 2748,http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 6:30 pm
Bayad Center,Camella Road,(032) 511 6010,http://www.bayadcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 6:30 pm
Cebuana Lhuillier,"TCC Arcade, Rabaya",(032) 272 2684,https://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.3,(3),Open until 6:30 pm
LBC Express Visayas Incorporated,10 Gorordo Avenue,(035) 422 8014,,,,5.0,(1),Open until 9:00 pm
Palawan Express Pera Padala,"Reynes Building, Cebu South Road",0917 928 1381,,,,3.4,(5),Open until 5:30 pm
M Lhuillier,"Angeles Do Bldg., Fuente Osmeña Cir",324124,,,,2.8,(13),Open until 6:30 pm
Palawan Pawnshop,Gorordo Ave,(032) 263 3408,http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(2),Open until 6:00 pm
Coinstar Money Transfer,"477 Lipata Street, Poblacion West, Minglanilla",(032) 273 6732,,,,1.0,(1),Open until 6:00 pm
Palawan,Natalio B. Bacalso Ave,(032) 414 0210,http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 5:30 pm
Mlhuillier,Laray,(032) 238 8574,,,,1.0,(1),
Sunrise Remittance,"Bacayan, Talamban",(032) 417 6030,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.9,(7),Open until 8:30 pm
Bayad Center,"2nd Level, Robinsons Cybergate, Don Gil Garcia Street",(032) 479 9500,,,,,,
Unified Product & Services,Sangi,(032) 236 2881,http://unifiedproductsservices.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 6:00 pm
Lbc Express Visayas Incorporated,"933 V. Rama Avenue, Guadalupe",(032) 467 8157,,,,5.0,(1),Open until 6:00 pm
M Lhuillier,"National Highway, Amacao",(02) 416 3505,,,,1.0,(1),Open until 9:00 pm
Visayan Electric Company Bill Payments,"UnionBank, Gaisano Country Mall, Camp Lapu-lapu Road, Banilad",(032) 416 2883,,,,3.0,(2),Open until 8:30 pm
M Lhuillier,Salinas Dr,(032) 253 7209,,,,2.0,(4),Open until 8:00 pm
M. Lhuillier B. Rodriguez,B. Rodriguez Street (Infront of Vicente Sotto Hospital),(032) 253 4912,,,,4.0,(2),Open until 7:00 pm
Visayan Electric Company Bill Payments,"Ground Floor, Banco de Oro, Insular Life Cebu Business Centre, General Arcadio Maxilom Avenue, corner Gorordo Avenue",(032) 266 0971,,,,5.0,(1),Open until 5:00 pm
Sunrise Remittance,"Cebuana Lhuillier, A. Del Rosario Avenue corner Ceniza Street",(032) 346 9783,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.0,(8),
Western Union - D' Oriental Gold Pawnshop-M. L. Quezon,"G/F Maguikay Market Place, M. L. Quezon Street (beside Jollibee), Maguikay",(032) 346 4082,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 6:30 pm
TrueMoney Philippines,"Villa Leyson Subdivision,Bacayan",(02) 7718 9999,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 6:00 pm
Xpress Money,"G-Xchange Inc., Prime Asia Pawn and Jewelry Shop, Villa Leyson Subdivision, Bacayan",(032) 417 6265,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.3,(3),Open until 6:30 pm
G Moneygram Money Transfer,"S & F Arcade, Maximo V. Patalinghug Jr. Avenue",(032) 495 9275,http://www.moneygram.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 9:00 pm
Universal Storefront Services Corporation,"National Highway, M. Frasco Road corner, Poblacion, Liloan",(032) 424 4717,,,,3.4,(5),Open until 5:30 pm
Western Union - Petnet-A. C. Cortes,"Brookside Square, A. C. Cortes Avenue",(032) 340 7316,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.8,(13),Open until 6:30 pm
Rd Cash Padala Incorporated,Central Nautical Highway,0910 550 7811,,,,5.0,(2),Open until 6:00 pm
Sunrise Remittance,"Cebuana Lhuillier, Poblacion, Consolacion",(032) 423 9536,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(1),Open until 6:00 pm
Xpress Money,"Metro Bank, Barangay Cansaga, Consolacion",(032) 423 9229,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 5:30 pm
USSC,"Pacific Mall, M.C. Briones St. Corner UN Ave",(032) 520 3436,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),
Coinstar Money Transfer,"Security Bank Corporation, Space C-1 Mactan Marina Mall, Mactan",0918 906 8582,,,,3.9,(7),Open until 8:30 pm
Touchpay APM,"Pacific Mall, M.C. Briones St. Corner U.N. Avenue",(032) 479 9500,http://www.touchpay.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
U22 Money Changer,Maximo V. Patalinghug Jr. Avenue,(032) 236 2881,,,,5.0,(1),Open until 5:00 pm
Bayad Center,"National Highway, Ward 4",(032) 268 7191,,,,1.0,(1),Open until 6:00 pm
Cebuana Lhuillier Services Corporation,"Door 5, LHT Development Corporation, 1029 Herman Cortes Street, Suban",(02) 7728 3826,,,,1.0,(1),Open until 9:00 pm
Cebuana Lhuillier Services Corporation,1160 Hernan Cortes Street,(02) 7728 3826,,,,3.0,(2),Open until 8:30 pm
LBC EXPRESS,"3RD LEVEL ROBINSONS PLACE BLDG., F, Fuente Osmeña Cir",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.0,(4),Open until 9:00 pm
LBC EXPRESS,"GAISANO COUNTRY MALL, GAISANO ROAD, BANILAD",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(2),Open until 7:00 pm
LBC EXPRESS,"TGU TOWER, ASIATOWN IT PARK, MARIA DEL MAR, COR Salinas Dr",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 8:30 pm
Pinoy Got Dollars,Cebu City,0922 867 3612,,,,2.0,(8),
LBC EXPRESS,GROUND FLOOR GAISANO CAPITAL TISA,(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 9:00 pm
LBC EXPRESS,"DOOR 3, G/F CINCO CENTRUM BLDG, Fuente Osmeña Cir",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 9:00 pm
LBC EXPRESS,"RIDGES COMMERCIAL BUILDING, F. Cabahug St",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.3,(3),Open until 7:00 pm
LBC EXPRESS,"M. R. CONCEPCION BUILDING, 100 N Escario St",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 8:00 pm
LBC EXPRESS,"GROUND FLOOR (GF-21) ONE PAVILION MALL, R. Duterte St",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(1),Open until 9:00 pm
LBC EXPRESS,"PLARIDEL, COR Progreso St",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.8,(13),Open until 9:00 pm
LBC EXPRESS,"MERCADO BUILDING, NO. 004 G/F, Gorordo Ave",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(2),Open until 9:00 pm
LBC EXPRESS,1675 M. J. Cuenco Ave,(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(1),Open until 5:00 pm
LBC EXPRESS,"UNIT #43 G/F CEBU PARKMALL, QUANO AVE. NORTH RECLAMATION AREA",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 9:00 pm
LBC EXPRESS,"LBC BANK BLDG. COR. GORORDO &, Archbishop Reyes Ave",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 9:00 pm
Cebuana Lhuillier Services Corporation,"1 Room 8, Pueblo Aznar, M. J. Cuenco Avenue, Corner General Maxilom Avenue Extension",(032) 412 9241,,,,5.0,(1),Open until 8:30 pm
LBC EXPRESS,"Ground Floor, Cebu IT Park",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(1),
LBC Express - Gaisano South Branch,"2Nd Floor, Gaisano Capital South Cor. Colon, Leon Kilat St",(032) 236 2881,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(2),Open until 5:00 pm
LBC Express - Subangdaku Branch,"Friendship 2 Bldg, Door 2",(032) 268 7191,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(2),Open until 6:00 pm
LBC EXPRESS,"PORT CENTRE, APM Shopping Mall, ANDRES SORIANO JR. AVENUE",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(1),Open until 9:00 pm
Cebuana Lhuillier Services Corporation,"Jorgi Go Building, Quezon National Highway, Pajo",(032) 495 3498,https://www.cebuanalhuillier.com/pera-padala/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.5,(2),Open until 8:30 pm
LBC Express - Colonnade Branch,"Colonnade Mall, 2Nd, Colon St",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.0,(4),Open until 9:00 pm
LBC EXPRESS,"MDE-GFS-13 G/F STALL GAISANO GRAND MALL, CENTRO BLDG. A DEL ROSARIO ST",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(2),Open until 9:00 pm
