section-result-title,section-result-details,section-result-location,section-result-info,section-result-info 2,cards-rating-score,section-result-num-ratings,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute-content 3,section-result-description
Daiso Japan,General store,"Level 3 Cebu Business Park, ayala center cebu, Archbishop Reyes Ave",(032) 232 7245,Open until 9:00 pm,4.1,(43),"""They are already familiar with me since i do my",groceries,"almost ...""","Japanese gifts, housewares & snacks"
Rose Pharmacy,Homeopathic pharmacy,,Open until 10:00 pm,(032) 236 3106,2.8,(5),"""... the basic medicinal needs and a little bit more of light",groceries,".""",
Shamrock Pasalubong Center,Bakery,"Honoria Paras Bldg, Fuente Osmeña Cir",(032) 238 5464,Open until 10:00 pm,4.2,(398),"""I like the place quick and easy",groceries,"store .""","Pit stop for snacks, drinks & sundries"
Robinsons Department Store - Fuente,Department store,Fuente Osmeña Cir,(032) 255 5590,Open until 8:00 pm,4.0,"(2,063)","""Always get",groceries,"here. And we always get ...""",
Herbalife,Health food store,"Medical Arts Bldg. 1, M. P. Yap St",(02) 338 4763,Open until 11:00 pm,5.0,(2),"""... being near to the Mactan Economic Zone 1, shopping for",groceries,"...""","Pit stop for snacks, drinks & sundries"
Robinsons Department Store Cebu Fuente,Department store,"2nd level, Robinsons Place Cebu, Fuente Osmeña cor. Jones Ave.",(032) 255 4552,Open until 7:00 pm,5.0,(3),"""Your ultimate sources of Japanese products and",groceries,".""","Pit stop for snacks, drinks & sundries"
Bo's Coffee Club BTC,Coffee shop,,(032) 345 2342,Open until 12:00 am,4.1,(92),Dine-in,Delivery,,"Pit stop for snacks, drinks & sundries"
The Assembly By Zerothreetwo,Clothing store,935 M Salinas Dr,0956 531 3296,Open until 6:00 pm,5.0,(1),"""Perfect place to get all indian",groceries,".""","Pit stop for snacks, drinks & sundries"
Lahug Market,Market,964d Cebu Veterans Dr,(032) 243 4004,Open until 9:00 pm,3.6,(157),"""You can buy stuff here where JY Square",groceries,"can't sell by piece ...""","Pit stop for snacks, drinks & sundries"
Cupcaken,Coffee shop,305 R. Duterte St,(032) 254 5503,Opens at 2:00 pm,4.1,(56),Dine-in,Delivery,,"Pit stop for snacks, drinks & sundries"
ONO All-Natural Skin Care,Health and beauty shop,"V Rama Avenue, cor B. Rodriguez St",(032) 328 3028,Open until 5:00 pm,5.0,(1),"""I like doing",groceries,"here instead of the bigger stores because it's ...""","Pit stop for snacks, drinks & sundries"
