section-result-title,section-result-details,section-result-location,cards-rating-score,section-result-num-ratings,section-result-info,section-result-info 2,e0HygkTYhQy__attribute-content,section-result-cost,section-result-description
Dunkin' Donuts,Donuts,,4.0,(1),Temporarily closed,Open until 8:00 pm,"""... selection of delicious food.""",₱,Chain known for donuts & coffee
Zark's Burgers,Hamburger,"SM City Cebu, Upper Ground",4.0,(426),Temporarily closed,Open until 9:00 pm,"""Locals will find it a bit expensive but they serve great food that ...""",₱₱,Lively American restaurant & bar chain
Le Village,2-star hotel,,4.0,(123),Temporarily closed,Open until 8:00 pm,10 Most Romantic Restaurants in Mactan,,Iconic Seattle-based coffeehouse chain
Balbacuahan ni Cons,Bar,13 R. Landon St,4.0,(5),Temporarily closed,Open until 9:00 pm,Takeaway,,
Que Pasa Tapas Bar,Bar,Cebu Veterans Dr,4.8,(9),Temporarily closed,Open until 12:00 am,10 Most Romantic Restaurants in Mactan,,Korean fried chicken specialist
Fruit Magic,Juice,"Park Mall, Ouano Avenue",4.1,(281),Closed,Open until 9:00 pm,"""The food were also decent and the drinks were...""",,Modern cafe for global comfort cooking
Coconut Pension House,3-star hotel,,3.9,(164),Temporarily closed,Open until 9:00 pm,Delivery,,Chain coffee bar known for frozen drinks
Landers Superstore,Supermarket,"23 Minore Park, Cardinal Rosales Ave. cor Pope John Paul II Ave (formerly J, Luna Ave",4.4,"(2,416)",Closed,Open until 9:00 pm,Delivery,,Iconic Seattle-based coffeehouse chain
Zagu,Bubble Tea,"Gaisano Fiesta Mall, South National Highway",5.0,(1),Temporarily closed,Open until 9:00 pm,Delivery,₱,"Grilled meats, seafood & Filipino plates"
Sollie's Food & Beverage House,Middle Eastern,Consolacion-Tayud-Liloan Road,4.3,(6),Temporarily closed,Open until 9:00 pm,Takeaway,,Chain coffee bar known for frozen drinks
Bread Talk,Bakery,"SM Seaside City, Lower Ground Floor, Mountain Wing, Cebu, SRP",4.5,(2),Temporarily closed,Open until 10:00 pm,Cebu eats: 5 unique dining destinations in Mactan,₱₱,
Big+Plus Mart,Korean grocery store,Salinas Dr,4.0,(168),Temporarily closed,Open until 9:00 pm,Takeaway,,Source for Asian groceries & home goods
7-Eleven,Convenience store,2 E Benedicto St,2.8,(5),Temporarily closed,Open until 7:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,₱,"Pit stop for snacks, drinks & sundries"
Blended Brews Milktea Corner,Bubble Tea,381 Natalio B. Bacalso Ave,5.0,(2),Closed,Open until 9:30 pm,Takeaway,,Chain known for donuts & coffee
Palm Grass The Cebu Heritage Hotel,3-star hotel,"Barangay Kalubihan 68 General, Junquera St",4.1,(379),Closed,Open until 10:00 pm,10 Most Romantic Restaurants in Mactan,,Down-to-earth lodging with a rooftop bar
