section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-description,section-result-info 3
Simple Elegant Dress Shop,5.0,(2),Bridal shop,Temporarily closed,,0908 900 1197,,Open until 9:30 pm
Ann Taylor,1.0,(2),Department store,Temporarily closed,ParkMall Cebu,(032) 663 9571,,Open until 7:00 pm
Under Armour,4.8,(4),Sportswear store,Temporarily closed,"Suite # 1250, Ayala Center Cebu,, 176 Archbishop Reyes Ave. Cebu Business Park",(032) 254 9306,,Open until 10:00 pm
Vans,2.7,(7),Shoe store,Temporarily closed,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",(032) 415 6120,"Clothing, food & housewares stores",Open until 7:00 pm
Kentify Printing Shop,5.0,(1),Clothing store,Temporarily closed,"Blk 2 Lot 1, La Aldea Buena Mactan, Timpolok Rd",(032) 479 4707,,
Clarks,3.0,(1),Shoe store,Temporarily closed,"ayala center cebu, Archbishop Reyes Ave. Cebu Business Park",(032) 231 5342,Trendy mall with familiar offerings,Open until 8:00 pm
Sinugatan Gift Shop,4.7,(3),Gift shop,Temporarily closed,64 Junquera St,(032) 412 2438,,
Converse,4.5,(8),Shoe store,Temporarily closed,"ayala center cebu, Cebu Business Park, Archbishop Reyes Ave",(032) 234 4240,,
The Body Shop,5.0,(3),Beauty supply store,Temporarily closed,Archbishop Reyes Ave.Cebu Business Park,(032) 233 7485,,Open until 9:00 pm
NYX,4.2,(33),Cosmetics store,Temporarily closed,"SM Seaside, Cor Mambaling Cor SRP Road",(032) 494 1300,Large shopping mall with a cinema,Open until 10:00 pm
Nike store,3.8,(16),Shoe store,Temporarily closed,"Sm Seaside, SRP Mambaling Rd., Cor. CSCR",(032) 238 4313,,
Aldo,4.0,(3),Shoe store,Temporarily closed,"SM Seaside, SRP Corner F Vestil",(032) 230 7927,,Open until 9:00 pm
Fila,5.0,(1),Shoe store,Temporarily closed,"Park Mall, Ouano Avenue",(032) 231 7843,,Open until 9:00 pm
Skechers,5.0,(2),Shoe store,Temporarily closed,"Cebu Business Park,Archbishop Reyes Avenue,, Metro Cebu, Cardinal Rosales Ave",(02) 8736 5853,Mall with a food court & restaurants,Open until 9:00 pm
Payless,4.0,(5),Shoe store,Temporarily closed,"SM City Cebu, Juan Luna Ave. Cor. Cabahug And Kaoshiung St.",(032) 231 0557,Shopping mall with casual eateries,Open until 8:00 pm
Fila Italy,5.0,(1),Shoe store,Temporarily closed,"Robinsons Fuente Building, Fuente Osmeña Cir",(032) 268 8372,Large modern mall with a cinema,
THE FACE SHOP,4.8,(4),Beauty supply store,Temporarily closed,"Stall E109, Lower Ground Floor, Ayala",(032) 238 1871,"Shopping, dining & entertainment complex",Open until 8:00 pm
Heavenly Wedding Shop,1.0,(1),Bridal shop,Temporarily closed,"455, Osmena Boulevard",(032) 253 8403,,Open until 6:00 pm
Lacoste Footwear,5.0,(6),Shoe store,Temporarily closed,2 Archbishop Reyes Ave,(032) 232 5455,Pet-friendly mall with shops & eateries,Open until 9:00 pm
Adidas,4.4,(5),Sporting goods store,Temporarily closed,"L 165, SM City Cebu, Juan Luna Ave. Cor. Cabahug And Kaoshiung St.",(032) 268 4957,Modern shopping mall with a cinema,Open until 11:00 pm
Alliance Vape Shop,3.9,(7),Store,Temporarily closed,"inside The Toybox, Borromeo Arcade, F. Ramos St",0923 512 9893,,Open until 9:30 pm
Skechers,4.0,(2),Shoe store,Temporarily closed,"SM City Cebu, Juan Luna Ave, Cor. Cabahug And Kaoshiung St.",(032) 412 6273,,Open until 7:00 pm
TBS The Bead Shop,4.8,(4),Fashion accessories store,Temporarily closed,"ayala center cebu, Cebu Business Park, Archbishop Reyes Ave",(032) 233 5813,,Open until 10:00 pm
Valentino,2.7,(7),Cosmetics store,Temporarily closed,"Upper Ground Floor Rustans Ayala Center, Bohol Avenue",(032) 231 5641,"Clothing, food & housewares stores",Open until 7:00 pm
Skechers,4.5,(6),Shoe store,Temporarily closed,"SM Seaside, cor Mambaling cor SRP Rd",(032) 479 4707,,
Payless Shoesource,4.5,(4),Shoe store,Temporarily closed,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",(032) 231 5342,Trendy mall with familiar offerings,Open until 8:00 pm
Converse,5.0,(2),Shoe store,Temporarily closed,"Level 2,Paseo Ciudad,Ayala Center Cebu,Cebu Business Park,Archbishop Reyes Avenue,Cebu City 6000,Metro Cebu",(032) 234 4240,,
Converse,4.5,(8),Shoe store,Temporarily closed,"2nd Floor J Center Mall, A. S. Fortuna St",(032) 260 0953,,
Kakkoii Outdoor Shop,5.0,(7),Outdoor sports store,Temporarily closed,5 General Maxilom Ave,0917 722 2979,,Open until 9:00 pm
JKV Vape Shop,4.2,(33),Vaporizer store,Temporarily closed,0770 Cebu Veterans Dr,0922 411 5125,Large shopping mall with a cinema,Open until 10:00 pm
Payless,5.0,(1),Shoe store,Temporarily closed,General Maxilom Ave Ext,(032) 238 4313,,
Converse,5.0,(1),Shoe store,Temporarily closed,"Central Bloc, V. Padriga St",(032) 230 7927,,Open until 9:00 pm
Gialmor Hobby Shop,4.1,(10),Toy store,Temporarily closed,583 V Rama Ave,(032) 417 2814,,Open until 9:00 pm
Pompom Pet Shop,5.0,(1),Pet store,Temporarily closed,336 Dionisio Jakosalem St,0919 966 3115,Mall with a food court & restaurants,Open until 9:00 pm
recuerdos de cebu souvenir shop,3.3,(3),Souvenir store,Temporarily closed,M. L. Quezon St,0932 485 8123,Shopping mall with casual eateries,Open until 8:00 pm
The Coffee Shop,5.0,(1),Coffee shop,Temporarily closed,"The Golden Peak Hotel & Suites, Escario St Cor Gorordo Ave",(032) 233 8111,Large modern mall with a cinema,
M.A.C Cosmetic SM Seaside Cebu,4.4,(5),Cosmetics store,Temporarily closed,Cebu South Coastal Rd,(032) 238 1871,"Shopping, dining & entertainment complex",Open until 8:00 pm
Skechers,2.8,(8),Shoe store,Temporarily closed,"2/F Active Zone, Ayala Center, Bohol Ave",(02) 8736 5853,,Open until 6:00 pm
Flower Shop in Cebu | Flowershopcebu.ph,4.7,(15),Florist,Temporarily closed,"Mindanao Avenue, corner Biliran Rd",0932 876 4288,Pet-friendly mall with shops & eateries,Open until 9:00 pm
HammerHead Spearfishing / Cortez Dive Shop,3.5,(4),Dive shop,Temporarily closed,"R. Senido Bldg A. C., A. C. Cortes Ave",(032) 238 9583,Modern shopping mall with a cinema,Open until 11:00 pm
RELIANCE MOTORCYCLE PLAZA,3.3,(3),Motorcycle shop,Temporarily closed,114 J Luna Ave Ext,(032) 412 2771,,Open until 9:30 pm
The Pork Shop - Cabancalan 2 Branch,4.0,(2),Meat wholesaler,Temporarily closed,Piazza Elesia Bldg B,(032) 511 9656,,Open until 7:00 pm
The Pork Shop,5.0,(1),Butcher shop,Temporarily closed,Unit 3 MC Briones Building Maguikay Mandaue Cebu City,(032) 233 5813,,Open until 7:00 pm
The Pork Shop- Basak Mandaue Branch,4.5,(4),Meat wholesaler,Temporarily closed,PLDT,(032) 239 0532,"Clothing, food & housewares stores",Open until 8:00 pm
Jadon Upholstery Shop,1.0,(1),Upholstery shop,Temporarily closed,Hipodromo Oval Rd.,0943 436 0913,,
"Shangri-La's Mactan Resort and Spa, Cebu",4.6,"(7,102)",5-star hotel,Temporarily closed,Punta Engaño Rd,(032) 231 0288,Tropical beachfront resort & luxury spa,Open until 8:00 pm
Globe Telecom,2.3,(47),Telecommunications service provider,Temporarily closed,Active Zone Ayala Center,(032) 730 1010,,Open until 10:00 pm
A|X Ayala Mall Cebu,4.0,(1),Boutique,Temporarily closed,"Phase 2B, Archbishop Reyes Ave",(032) 340 2101,,
Guess,5.0,(7),Department store,Temporarily closed,"165, Upper Ground Floor J Centre Mall, AS Fortuna Street, Bakilid",(032) 239 5420,,Open until 9:00 pm
Dior Beauty Counter,4.2,(33),Beauty supply store,Temporarily closed,"ayala center cebu, Ground Floor, Rustan's Cebu Dept. Store",0995 916 0111,Large shopping mall with a cinema,Open until 10:00 pm
Vans,1.0,(1),Department store,Temporarily closed,"165, Upper Ground Floor J Centre Mall, AS Fortuna Street",(032) 239 5420,,
Fossil,3.4,(5),Department store,Temporarily closed,"Level 1, Ayala Center Cebu, Archbishop Reyes Avenue, Cebu Business Park, Cebu",(032) 238 8074,,Open until 9:00 pm
Banana Republic,2.5,(2),Department store,Temporarily closed,ParkMall Cebu,(032) 280 0330,,Open until 9:00 pm
Accessorize,3.8,(5),Department store,Temporarily closed,"Ayala Center Cebu, Archbishop Reyes Avenue, Cebu Business Park, Cebu",(032) 415 7729,Mall with a food court & restaurants,Open until 9:00 pm
Calvin Klein,4.0,(1),Department store,Temporarily closed,"Rustans Ayala Center, Bohol Avenue",(032) 231 5641,Shopping mall with casual eateries,Open until 8:00 pm
Stop & Shop,5.0,(2),Clothing store,Temporarily closed,Canlingo,0955 553 5377,Large modern mall with a cinema,Open until 6:00 pm
Globe Telecom,3.2,(92),Telecommunications service provider,Temporarily closed,"Cyberzone 2nd Level SM City wing, North",(032) 730 1010,"Shopping, dining & entertainment complex",Open until 9:00 pm
Globe Telecom,2.7,(24),Telecommunications service provider,Temporarily closed,"2FF-17 2F Gaisano Grand Fiesta Mall, Hi-way",(02) 7730 1010,,Open until 9:00 pm
EZ Shop,4.1,(11),,Temporarily closed,"L3, the Maze , Ayala Mall Cebu, Archbishop Reyes Avenue , 6000 Cebu City , Cebu",(032) 233 2790,Pet-friendly mall with shops & eateries,Open until 10:00 pm
The Body Shop,5.0,(1),Business center,Temporarily closed,"SM City Cebu, Juan Luna Avenue, Dakbayan sa Sugbu",(032) 238 2245,"Shower gels, creams, soaps & more",Open until 11:00 pm
Globe Telecom,3.0,(4),Telecommunications service provider,Temporarily closed,"201-Q, Cyberzone, 2/F Sm City Consolacion, Lamac",(02) 7730 1010,,Open until 6:00 pm
Samsung Concept Shop,3.0,(1),,Temporarily closed,"GF-2-3 Parkmall, Ouano Avenue, Mandaue City, 6014, Cebu",(032) 236 8988,,Open until 7:00 pm
Pearl Korean Meat Shop & Restaurant,4.1,(222),Korean,Temporarily closed,"Gaisano Country Mall, Gov. M. Cuenco Ave",(032) 343 8272,,Open until 10:00 pm
Sacris Machine Shop,5.0,(2),Machine shop,Temporarily closed,V. Sotto St,(032) 255 5398,"Clothing, food & housewares stores",Open until 8:00 pm
Coldwater Creek,1.0,(1),,Temporarily closed,ParkMall Cebu,(032) 614 3088,,
Lacoste - Waterfront - Cebu,4.6,"(7,102)",Manufacturer,Temporarily closed,"Lobby Shop, Cebu Waterfront Hotel, Archbishop Reyes Avenue, Lahug",(032) 233 5955,Designer polos with crocodile logos,Open until 8:00 pm
Timberland,3.0,(1),Business center,Temporarily closed,"SM City Cebu, Juan Luna Avenue, Dakbayan sa Sugbu",(032) 236 6970,"Stylish, rugged apparel, shoes & gear",Open until 10:00 pm
Armani Exchange,4.0,(1),,Temporarily closed,"L1 , Alaya Mall Cebu, Archbishop Reyes Avenue , 6000 Cebu City , Cebu",(02) 8842 8004,Retailer of high-end designer fashions,
Guess,4.5,(2),,Temporarily closed,"L1, Robinsons Fuente, Osmeña Blvd",Open until 9:00 pm,"Designer jeans, apparel & accessories",(032) 239 5420
S&R New York Style Pizza,4.2,(68),Pizza,Temporarily closed,"4th floor, Ayala Center Cebu, Archbishop Ave",0932 505 7057,Large shopping mall with a cinema,Open until 10:00 pm
Gap,2.0,(2),,Temporarily closed,"L1 , Alaya Mall Cebu, Archbishop Reyes Avenue , 6000 Cebu City , Cebu",(02) 8556 4450,,
Chatime,4.3,(250),Bubble Tea,Temporarily closed,"eBloc 2 Tower, G/F, W Geonzon St",(032) 260 6868,,Open until 3:00 am
Chatime,4.1,(84),Bubble Tea,Temporarily closed,"Third Floor, Ayala Center Cebu, Archbishop Reyes Ave",(032) 231 0848,,Open until 9:00 pm
Shopping Orlando,4.6,(108),Shopping mall,Closed,8296 Vineland Ave #8250,(032) 415 7729,Mall with a food court & restaurants,Opens at 9:00 am
S&R New York Style Pizza,4.2,(226),Pizza,Temporarily closed,Cardinal Rosales Ave,(032) 410 8590,Shopping mall with casual eateries,Open until 11:00 pm
Chatime,4.1,(9),Bubble Tea,Temporarily closed,"SM Seaside, F. Vestil St. Cor. SRP",0955 553 5377,Large modern mall with a cinema,Open until 9:00 pm
Iora,3.2,(92),Business center,Temporarily closed,"SM City Cebu, Juan Luna Avenue, Dakbayan sa Sugbu",(032) 236 3762,"Shopping, dining & entertainment complex",Open until 9:00 pm
Adidas,2.7,(24),Manufacturer,Temporarily closed,"Upper Ground Level, SM City Cebu, Sergio Osmeña Boulevard, North Reclamation Area",(032) 412 0759,,Open until 9:00 pm
Bicester Village,4.2,"(16,437)",Outlet mall,Temporarily closed,50 Pingle Dr,+44 1869 366266,Boutique discount outdoor shopping mall,Open until 10:00 pm
