section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-description,section-result-info 3
Pois Belly & Kids,4.8,(4),Children's clothing store,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Temporarily closed,0917 624 0449,,Open until 9:00 pm
USA Sports,3.8,(6),Sportswear store,"Level 2, Ayala Center Cebu, Archbishop Reyes Avenue, Cebu Business Park, Cebu",Temporarily closed,(032) 232 1854,,Open until 8:30 pm
Chiefvapers Cebu Raintree Mall,4.5,(26),Vaporizer store,"Raintree Mall, 582 General Maxilom Ave",Temporarily closed,(032) 413 2768,"Large, open-air shopping center",Open until 8:00 pm
Outdoor,4.0,(357),Department store,"2nd Level Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,Shopping mall with casual eateries,Open until 9:00 pm
Rainbow Tots,4.6,(12),Children's clothing store,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Temporarily closed,(032) 260 5933,Modern shopping mall with a cinema,Open until 5:30 pm
MLS Michaela Lifestyle Store Ayala Cebu,5.0,(1),Clothing store,"Level 2, Ayala Center",Temporarily closed,(02) 8247 7999,"Shopping, dining & entertainment complex",Open until 9:00 pm
Graco,3.6,(5),Baby store,"2nd Floor Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,Open until 8:00 pm
The Body Shop,2.8,(4),Cosmetics store,"The Body Shop, Unit 113 I/L, Ayala Center Cebu,",Temporarily closed,(032) 328 8264,,Open until 9:00 pm
Bossini,1.0,(1),Department store,"Level 1, Ayala Center Cebu, Archbishop Reyes Avenue, Cebu Business Park, Cebu",Temporarily closed,(032) 233 2607,,Open until 9:00 pm
Vans,2.7,(7),Shoe store,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Temporarily closed,(032) 415 6120,Large modern mall with a cinema,
Samsung,4.7,(3),Cell phone store,General Maxilom Ave Ext,Temporarily closed,0923 858 6890,,Open until 7:00 pm
SM Appliance Center Incorporated,4.5,(2),Electrical supply store,"SM Consolacion, National Highway, Barangay Lamac",Temporarily closed,(032) 260 0078,,Open until 8:00 pm
OWNDAYS Ayala Center Cebu,5.0,(1),Optician,"Level 1, Ayala Center Cebu, Cebu Business Park, Archbishop Reyes Avenue",Temporarily closed,(032) 401 0590,Pet-friendly mall with shops & eateries,Open until 10:00 pm
Lenovo,5.0,(2),Cell phone store,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Temporarily closed,(032) 234 1009,,
Data Blitz,3.1,(11),Video game store,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Temporarily closed,(032) 416 3850,Trendy mall with familiar offerings,Open until 10:00 pm
Blade Auto Center - SM City Cebu,5.0,(2),Auto parts store,"60, SM City Cebu",Temporarily closed,0917 871 5489,Mall with a food court & restaurants,Open until 9:00 pm
Fossil,3.4,(5),Department store,"Level 1, Ayala Center Cebu, Archbishop Reyes Avenue, Cebu Business Park, Cebu",Temporarily closed,(032) 238 8074,"Clothing, food & housewares stores",Open until 8:00 pm
Globe Telecom,2.3,(47),Telecommunications service provider,Active Zone Ayala Center,Temporarily closed,(032) 730 1010,,Open until 10:00 pm
Briquito Silvanas,4.4,(13),Dessert shop,"Level 2, New Expansion Wing, Ayala Center",Temporarily closed,(032) 238 3657,,Open until 10:00 pm
Florsheim,4.4,(225),Shoe store,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Temporarily closed,(032) 231 5386,,Open until 10:00 pm
The Face Shop,4.1,(10),Cosmetics store,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Temporarily closed,(032) 238 3659,,Open until 9:00 pm
For Me,3.8,(6),Clothing store,"2nd Level, SM City Cebu Mall, Kaohsiung St",Temporarily closed,(032) 236 1985,,Open until 8:30 pm
Charles & Keith,3.8,(5),Fashion accessories store,"Ayala Center Cebu, Paseo Verde, Cebu Business Park, Archbishop Reyes Avenue",Temporarily closed,(032) 232 6271,"Large, open-air shopping center",Open until 8:00 pm
Charles & Keith,4.0,(357),Shoe store,Ayala Center,Temporarily closed,(032) 232 6271,Shopping mall with casual eateries,Open until 9:00 pm
Daiso Japan,4.1,(43),General store,"Level 3 Cebu Business Park, ayala center cebu, Archbishop Reyes Ave",Temporarily closed,(032) 260 5933,"Japanese gifts, housewares & snacks",Open until 10:00 pm
Escada,5.0,(1),Cosmetics store,"Upper Ground Floor Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,"Shopping, dining & entertainment complex",Open until 9:00 pm
Lenovo,3.7,(3),Cell phone store,"SM City Cebu, Juan Luna Avenue Corner Cabahug And Kaohsiung Street",Temporarily closed,(032) 236 2961,,Open until 8:00 pm
Ace Hardware,3.8,(19),Hardware store,"U/GF Jmall Centre, AS Fortunata St, V.Albano",Temporarily closed,(032) 520 3224,Source for tools & supplies,Open until 9:00 pm
Globe Telecom,3.2,(92),Telecommunications service provider,"Cyberzone 2nd Level SM City wing, North",Temporarily closed,(032) 730 1010,,Open until 9:00 pm
Robinsons Department Store - Fuente,4.0,"(2,040)",Department store,Fuente Osmeña Cir,Temporarily closed,(032) 255 5590,Large modern mall with a cinema,Open until 8:00 pm
Wg Worship Generation,4.0,(2),Clothing store,"J Centre Bldg, A. S. Fortuna St",Temporarily closed,0923 858 6890,,Open until 7:00 pm
Penshoppe,4.3,(4),Clothing store,,Temporarily closed,(032) 520 8511,,Open until 8:00 pm
Penshoppe,5.0,(1),Clothing store,"Robinsons Galleria, 2f Gen. Maxilom Ext",Temporarily closed,(032) 401 0590,Pet-friendly mall with shops & eateries,Open until 10:00 pm
Globe Telecom,3.0,(9),Telecommunications service provider,"Upper G/F GK16, J. Center Mall, A.S. Fortuna, A.S.Fortuna",Temporarily closed,(032) 730 1010,,Open until 9:00 pm
Globe Telecom,2.7,(24),Telecommunications service provider,"2FF-17 2F Gaisano Grand Fiesta Mall, Hi-way",Temporarily closed,(02) 7730 1010,Trendy mall with familiar offerings,Open until 9:00 pm
"Shangri-La's Mactan Resort and Spa, Cebu",4.6,"(7,102)",5-star hotel,,Temporarily closed,(032) 231 0288,Tropical beachfront resort & luxury spa,Open until 9:00 pm
Forme,3.4,(5),Clothing store,"SM City Cebu, Juan Luna Avenue Corner Cabahug And Kaoshiung St",Temporarily closed,(032) 236 1985,"Clothing, food & housewares stores",Open until 8:00 pm
Charles & Keith,3.0,(2),Fashion accessories store,SM City Cebu,Temporarily closed,(032) 236 1012,,Open until 10:00 pm
ActScents Marketing Corporation,5.0,(1),Perfume store,MGS Kalubihan,Temporarily closed,0922 615 3971,,Open until 10:00 pm
PENSHOPPE,4.4,(225),Clothing store,,Temporarily closed,(032) 231 5386,,Open until 10:00 pm
Penshoppe,4.1,(10),Clothing store,"L1, Robinsons Fuente, 6000 Fuente Osmeña Cir",Temporarily closed,(032) 254 7966,,Open until 9:00 pm
ForMe,3.8,(6),Women's clothing store,"2nd Floor, SM Seaside City Cebu, Cebu South Coastal Rd",Temporarily closed,(032) 236 1985,,Open until 8:30 pm
Surplus,4.2,(5),Clothing store,"SM City Cebu, Juan Luna Ave, Cor. Cabahug And Kaohsiung St",Temporarily closed,(032) 232 6271,"Large, open-air shopping center",Open until 8:00 pm
Gaisano Mall Of Minglanilla,3.8,(160),Department store,,Temporarily closed,(032) 232 6271,Shopping mall with casual eateries,Open until 9:00 pm
The Sports Warehouse,4.5,(28),Sportswear store,"The Walk, Abad St",Temporarily closed,(032) 415 8318,"Japanese gifts, housewares & snacks",Open until 10:00 pm
Robinsons Department Store,4.2,(5),Department store,"Robinsons Galleria Cebu - General Maxilom Ave cor, Sergio Osmeña Jr Boulevard",Temporarily closed,(032) 231 5015,"Shopping, dining & entertainment complex",Open until 9:00 pm
Vans,3.7,(3),Department store,"165, Upper Ground Floor J Centre Mall, AS Fortuna Street",Temporarily closed,(032) 239 5420,,Open until 8:00 pm
Robinsons Place Cebu,4.0,(3),Department store,"Robinsons Fuente Building, Fuente Osmeña Cir",Temporarily closed,(032) 255 5590,Source for tools & supplies,Open until 9:00 pm
"Toys""R""Us Ayala Cebu",4.0,(34),Toy store,"Ayala Business park, Level 3",Temporarily closed,(032) 401 2633,,Open until 9:00 pm
Gaisano Interpace Computer Systems,4.0,(34),Computer store,"APM Shopping Mall, 6000 A. Soriano Ave",Temporarily closed,(032) 505 9529,Large modern mall with a cinema,Open until 8:00 pm
Miniso,3.9,(8),Store,"SM Seaside SRP Mambaling Rd, Cor Cebu South Coastal Rd",Temporarily closed,0923 858 6890,,Open until 7:00 pm
Revlon,4.3,(4),Cosmetics store,"SM City Cebu, SM Department Store, Juan Luna Avenue, F. Cabahug Street",Temporarily closed,(032) 231 0058,,Open until 8:00 pm
Briquito Silvanas,4.8,(4),Dessert shop,SM City Cebu,Temporarily closed,(032) 401 0590,Pet-friendly mall with shops & eateries,Open until 10:00 pm
Ocean Spa Massage,3.7,(280),Massage spa,"APM Shopping Mall, A. Soriano Ave",Temporarily closed,0915 814 5000,,Open until 9:00 pm
Uptown Mall - Uptown Bonifacio,4.5,"(7,221)",Shopping mall,"36th Street, 9th Ave",Temporarily closed,0917 554 1716,Trendy mall with familiar offerings,Open until 11:00 pm
Adidas,4.4,(5),Sporting goods store,"L 165, SM City Cebu, Juan Luna Ave. Cor. Cabahug And Kaoshiung St.",Temporarily closed,(032) 268 4957,Tropical beachfront resort & luxury spa,Open until 9:00 pm
National Book Store - SM Seaside City,4.3,(7),Book store,"Lower Ground Floor, SM Seaside City Cebu SM Seaside Complex, Brgy. Mambaling SM Seaside Complex",Temporarily closed,(032) 410 7277,"Clothing, food & housewares stores",Open until 8:00 pm
Technomarine - SM City Cebu,4.3,(16),Watch store,"G/F SM City Northwing, North Reclamation Area, Mabolo, Cebu City, 6000, Cebu",Temporarily closed,0917 320 1114,,Open until 10:00 pm
Silverworks,4.3,(4),Jewelry store,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaohsiung St",Temporarily closed,(032) 233 6941,,Open until 10:00 pm
PALAWAN PAWNSHOP,3.0,(1),Pawn shop,S. B. Cabahug Street,Temporarily closed,(032) 505 8927,,Open until 8:00 pm
Main Square Mall,3.8,(334),Shopping mall,"City of Bacoor, 102 Molino Boulevard",Temporarily closed,(02) 7908 8000,,Open until 9:00 pm
Ace Hardware SM City Cebu,3.8,(38),Hardware store,U/GF SM City Cebu,Temporarily closed,(032) 231 7120,Source for tools & supplies,Open until 10:00 pm
Lacoste Footwear,4.2,(5),Shoe store,2 Archbishop Reyes Ave,Temporarily closed,(032) 232 5455,"Large, open-air shopping center",Open until 8:00 pm
999 Shopping Mall,4.1,"(5,165)",Shopping mall,1018 Soler St,Temporarily closed,0948 559 5258,Shopping mall with casual eateries,Open until 9:00 pm
168 Shopping Mall,4.1,"(7,196)",Shopping mall,918 Soler St,Temporarily closed,0906 096 1324,"Japanese gifts, housewares & snacks",Open until 10:00 pm
Forme,4.2,(5),Clothing store,SM,Temporarily closed,(032) 260 0091,"Shopping, dining & entertainment complex",Open until 9:00 pm
Venice Grand Canal Mall,4.5,"(11,157)",Shopping mall,"Garden Villas, 1630 Upper McKinley Road McKinley Hill, Cluster B",Temporarily closed,(02) 7624 1971,Italy-themed outdoor shopping center,Open until 11:00 pm
Pacific Mall,4.1,"(3,644)",Stores and shopping,U.N. Ave,Temporarily closed,0943 397 6692,Source for tools & supplies,Open until 9:00 pm
Ali Mall,4.1,"(7,628)",Shopping mall,"13th Avenue, corner P. Tuazon Blvd",Temporarily closed,(02) 8588 4000,Classic retail complex open since 1976,Open until 9:00 pm
Palawan Pawnshop,5.0,(1),Pawn shop,"Door 10, New Cebu Coliseum Commercial Complex, Leon Kilat St",Temporarily closed,0917 301 3868,Large modern mall with a cinema,Open until 7:00 pm
Palawan Pawnshop,4.8,(6),Pawn shop,168 U.N. Ave,Temporarily closed,Open until 7:00 pm,,0923 858 6890
Palawan Pawnshop,3.5,(2),Pawn shop,16 N Escario St,Temporarily closed,(032) 231 0058,,Open until 6:00 pm
Nokia,5.0,(1),Cell phone store,Colon St,Temporarily closed,(032) 401 0590,Pet-friendly mall with shops & eateries,Open until 10:00 pm
Palawan Pawnshop,4.0,(5),Pawn shop,Omega Cor Wilson,Temporarily closed,0915 814 5000,,Open until 7:00 pm
S&R New York Style Pizza,4.2,(68),Pizza,"4th floor, Ayala Center Cebu, Archbishop Ave",Temporarily closed,0932 505 7057,Trendy mall with familiar offerings,Open until 10:00 pm
R Square Mall,4.1,(12),Shopping mall,2166 Taft Ave,Temporarily closed,0917 584 9643,Tropical beachfront resort & luxury spa,Open until 9:00 pm
S&R New York Style Pizza,4.2,(226),Pizza,Cardinal Rosales Ave,Temporarily closed,(032) 410 8590,"Clothing, food & housewares stores",Open until 11:00 pm
Mactan,4.2,(214),Island,,Temporarily closed,Open until 10:00 pm,"Small, vibrant coral island with resorts",0917 320 1114
The Bead Shop,4.3,(4),,Ayala Center Cebu,Temporarily closed,(032) 233 5813,,Open until 10:00 pm
Northgate Centre,4.0,(18),Business center,"Northgate Centre, 6000 Gov. M. Cuenco Ave",Temporarily closed,0915 286 2469,,Open until 2:00 am
Samsung Concept Shop,3.0,(1),,"GF-2-3 Parkmall, Ouano Avenue, Mandaue City, 6014, Cebu",Temporarily closed,(032) 236 8988,,Open until 9:00 pm
Virtual Assistants | VA Platinum,4.3,"(1,167)",Business administration service,"11F eBloc 5 Inez, I. Villa St",Closed today,0908 880 9384,Source for tools & supplies,Open until 10:00 pm
Cebu,4.5,"(1,302)",Island,,Temporarily closed,Open until 8:00 pm,Vibrant island with Cebu City & beaches,(032) 232 5455
Robinsons Place General Santos,4.0,(150),Outlet mall,,Temporarily closed,0948 559 5258,Shopping mall with casual eateries,Open until 8:00 pm
Chatime,4.1,(84),Bubble Tea,"Third Floor, Ayala Center Cebu, Archbishop Reyes Ave",Temporarily closed,(032) 231 0848,"Japanese gifts, housewares & snacks",Open until 9:00 pm
Samsung Service Center -Cebu,3.1,(24),Appliances customer service,"Designer's Square, San Nicolas,G/F Lot 2, Natalio B. Bacalso Ave",Temporarily closed,0915 462 8735,"Shopping, dining & entertainment complex",Open until 5:30 pm
