section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-description,section-result-info,section-result-info 2,section-result-info 3
Topshop,3.0,(2),Clothing store,"L1, Acc-155 , Alaya Mall Cebu, Archbishop Reyes Avenue , 6000 Cebu City , Cebu",,Open until 8:30 pm,(032) 233 4172,Temporarily closed
Vans,4.2,(6),Department store,"165, Upper Ground Floor J Centre Mall, AS Fortuna Street",,,(032) 239 5420,Temporarily closed
Bayad Center,5.0,(2),Store,Gov. M. Cuenco Ave,,Open until 8:00 pm,(032) 418 1083,Temporarily closed
PRG Photo Shop,4.9,(38),Camera store,"Raintree Mall, 2nd Level Unit 223, General Maxilom Ave",Shopping mall with casual eateries,Open until 9:00 pm,0922 700 1971,Closed today
Globe Telecom,2.3,(47),Telecommunications service provider,Active Zone Ayala Center,Pet-friendly mall with shops & eateries,Open until 10:00 pm,(032) 730 1010,Temporarily closed
Blue Magic,5.0,(1),Toy store,"L2, Acc-251 , Alaya Mall Cebu, Archbishop Reyes Avenue , 6000 Cebu City , Cebu",Trendy mall with familiar offerings,Open until 7:00 pm,(032) 231 5792,Temporarily closed
Globe Telecom,3.0,(9),Telecommunications service provider,"Upper G/F GK16, J. Center Mall, A.S. Fortuna, A.S.Fortuna",Large modern mall with a cinema,Open until 9:00 pm,(032) 730 1010,Temporarily closed
Red Ribbon,3.5,(4),Pastries,"ayala center cebu, Cebu Business Park, Archbishop Reyes Cebu","Clothing, food & housewares stores",Open until 10:00 pm,(032) 233 6633,Temporarily closed
Robinsons Department Store - Fuente,4.0,"(2,040)",Department store,Fuente Osmeña Cir,,Open until 8:00 pm,(032) 255 5590,Temporarily closed
The Athletes Foot,3.8,(4),Department store,"Archbishop Reyes Avenue, Ayala Center","Large, open-air shopping center",Open until 9:00 pm,0922 570 5278,Temporarily closed
Bo's Coffee,4.2,(357),Cafe,"Le Gab Cafe, 528 F. Ramos Street",Modern shopping mall with a cinema,Open until 9:00 pm,(032) 412 2932,Temporarily closed
Globe Telecom,2.7,(24),Telecommunications service provider,"2FF-17 2F Gaisano Grand Fiesta Mall, Hi-way",,Open until 9:00 pm,(02) 7730 1010,Temporarily closed
"Shangri-La's Mactan Resort and Spa, Cebu",4.6,"(7,102)",5-star hotel,,Tropical beachfront resort & luxury spa,Open until 7:00 pm,(032) 231 0288,Temporarily closed
Palawan Pawnshop,4.8,(6),Pawn shop,168 U.N. Ave,,Temporarily closed,Open until 9:00 pm,(032) 255 1489
Dillard's,2.0,(1),Department store,ParkMall Cebu,,Open until 8:30 pm,(032) 661 0053,Temporarily closed
Palawan Pawnshop,4.0,(5),Pawn shop,Omega Cor Wilson,,Open until 7:00 pm,(032) 340 1981,Temporarily closed
Palawan Pawnshop,3.5,(2),Pawn shop,16 N Escario St,Mall with a food court & restaurants,Open until 6:00 pm,0975 304 6523,Temporarily closed
Robinsons Place Cebu,4.0,(3),Department store,"Robinsons Fuente Building, Fuente Osmeña Cir",,Open until 9:00 pm,(032) 255 5590,Temporarily closed
Cebu Lumpia House (City Soho Mall branch),3.9,(179),Takeout Restaurant,"2F City Soho Mall B. Rodriguez Street Cebu City Cebu PH 6000, B. Rodriguez St",Filipino bakery selling cakes & pastries,Open until 9:00 pm,(032) 255 8313,Temporarily closed
Robinsons Place General Santos,4.0,(150),Outlet mall,,Large shopping mall with a cinema,Open until 8:00 pm,0943 397 6692,Temporarily closed
Airport Pasalubong Center,3.6,(38),Gift shop,"Mactan-Cebu International Airport, Mactan Cebu International Airport",,Open until 8:30 pm,(032) 233 4172,Temporarily closed
SM Appliance Center,3.4,(39),Appliance store,SM City Cebu - Motorcycle Parking 2,,,(032) 231 3451,Temporarily closed
SM Appliance Center,4.0,(1),Electronics store,,,Open until 8:00 pm,(032) 260 8304,Temporarily closed
Blade Auto Center - SM City Cebu,5.0,(1),Car accessories store,,Shopping mall with casual eateries,Open until 9:00 pm,0917 871 5489,Temporarily closed
Samsung,4.7,(3),Cell phone store,General Maxilom Ave Ext,Pet-friendly mall with shops & eateries,Open until 10:00 pm,(032) 730 1010,Temporarily closed
Blade Auto Center - SM Seaside City Cebu,4.8,(4),Car accessories store,,Trendy mall with familiar offerings,Open until 7:00 pm,0917 624 0449,Temporarily closed
Payless,4.0,(5),Shoe store,"SM City Cebu, Juan Luna Ave. Cor. Cabahug And Kaoshiung St.",Large modern mall with a cinema,Open until 9:00 pm,(032) 231 0557,Temporarily closed
Blade Auto Center - SM City Cebu,5.0,(2),Auto parts store,"60, SM City Cebu","Clothing, food & housewares stores",Open until 10:00 pm,0917 871 5489,Temporarily closed
The Body Shop,4.0,(2),Beauty supply store,"SM Seaside, Upper Ground Level SRP Mambaling Rd, Cor Cebu South Coastal Rd",,Open until 8:00 pm,(032) 255 5590,Temporarily closed
Payless,5.0,(1),Shoe store,General Maxilom Ave Ext,"Large, open-air shopping center",Open until 9:00 pm,0922 570 5278,Temporarily closed
Escada,4.2,(357),Cosmetics store,"Upper Ground Floor Rustans Ayala Center, Bohol Avenue",Modern shopping mall with a cinema,Open until 9:00 pm,(032) 231 5641,Temporarily closed
Miniso,3.9,(8),Store,"SM Seaside SRP Mambaling Rd, Cor Cebu South Coastal Rd",,Open until 9:00 pm,(02) 7730 1010,Temporarily closed
Lenovo,3.7,(3),Cell phone store,"SM City Cebu, Juan Luna Avenue Corner Cabahug And Kaohsiung Street",Tropical beachfront resort & luxury spa,Open until 7:00 pm,(032) 236 2961,Temporarily closed
Angelica Bakeshop,4.3,(135),Bakery,Osmeña Blvd,,Open until 9:00 pm,(032) 412 6003,Temporarily closed
SM Appliance Center Incorporated,2.0,(1),Electrical supply store,"SM Consolacion, National Highway, Barangay Lamac",,Open until 8:30 pm,(032) 260 0078,Temporarily closed
S&R New York Style Pizza,4.2,(68),Pizza,"4th floor, Ayala Center Cebu, Archbishop Ave",,Open until 10:00 pm,0932 505 7057,Temporarily closed
S&R New York Style Pizza,4.2,(226),Pizza,Cardinal Rosales Ave,Mall with a food court & restaurants,Open until 11:00 pm,(032) 410 8590,Temporarily closed
Mango Square Mall,4.0,(8),Bus stop,,,Temporarily closed,Open until 9:00 pm,(032) 255 5590
Samsung Concept Shop,3.0,(1),,"GF-2-3 Parkmall, Ouano Avenue, Mandaue City, 6014, Cebu",Filipino bakery selling cakes & pastries,Open until 9:00 pm,(032) 236 8988,Temporarily closed
Mactan,4.2,(214),Island,,"Small, vibrant coral island with resorts",Temporarily closed,Open until 8:00 pm,0943 397 6692
Chatime,4.3,(250),Bubble Tea,"eBloc 2 Tower, G/F, W Geonzon St",,Open until 3:00 am,(032) 260 6868,Temporarily closed
Mandarin Plaza Hotel,4.0,"(1,406)",3-star hotel,Archbishop Reyes Ave,,,(032) 266 1111,Temporarily closed
Cebu,4.5,"(1,303)",Island,,Vibrant island with Cebu City & beaches,Temporarily closed,Open until 8:00 pm,(032) 260 8304
Chatime,4.1,(84),Bubble Tea,"Third Floor, Ayala Center Cebu, Archbishop Reyes Ave",Shopping mall with casual eateries,Open until 9:00 pm,(032) 231 0848,Temporarily closed
BPO Spaces,4.2,(94),Office space rental agency,"Robinsons Galleria Cebu, Sergio Osmeña Jr Boulevard",Pet-friendly mall with shops & eateries,Open until 10:00 pm,(032) 730 1010,Temporarily closed
Skin911 Facial & Slimming Center,3.0,(2),Skin care clinic,"APM Mall Building, F. Cabahug St",Trendy mall with familiar offerings,Open until 7:00 pm,(032) 231 2961,Temporarily closed
Cebu City,4.0,(5),,,Cebu,Temporarily closed,Open until 9:00 pm,(032) 231 0557
Chatime,4.1,(9),Bubble Tea,"SM Seaside, F. Vestil St. Cor. SRP","Clothing, food & housewares stores",Open until 9:00 pm,0917 871 5489,Temporarily closed
Gaysorn Village,4.3,"(2,940)",Shopping mall,999 Phloen Chit Rd,,Open until 8:00 pm,+66 2 656 1149,Temporarily closed
Samsung Service Center -Cebu,3.1,(24),Appliances customer service,"Designer's Square, San Nicolas,G/F Lot 2, Natalio B. Bacalso Ave","Large, open-air shopping center",Open until 5:30 pm,0915 462 8735,Temporarily closed
Bayshore Shopping Centre,4.3,"(8,200)",Shopping mall,100 Bayshore Dr,Indoor mall with popular brands & dining,Open until 9:00 pm,+1 613-829-7491,Temporarily closed
Irvine Spectrum Center,4.6,"(11,196)",Shopping mall,670 Spectrum Center Dr,Lively outdoor mall with a Ferris wheel,Opens at 11:00 am,+1 949-790-4871,Closed
Overgate Shopping Centre,4.2,"(6,421)",Shopping mall,,Light & stylish modern shopping mall,Open until 7:00 pm,+44 1382 314210,Temporarily closed
The Mall Firenze,4.2,"(5,450)",Outlet mall,"Via Europa, 8",,Open until 6:00 pm,+39 055 865 7775,Temporarily closed
Destin Commons,4.6,"(5,240)",Shopping mall,4100 Legendary Dr,Outdoor shopping center with a multiplex,Opens at 11:00 am,+1 850-337-8700,Closed
