section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,section-result-info,section-result-description,section-result-header-container,section-result-location
Mactan Golden Motel - 1 Star,3.3,(6),1-star hotel,,,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,₱853,Saac 1
Pillows Hotel,4.0,(385),3-star hotel,,,Temporarily closed,Laid-back lodging with a cafe & a gym,"₱1,187","6000, 208 Gov. M. Roa St"
M Citi Suites,3.9,(169),3-star hotel,,,Temporarily closed,,,J. Llorente St
Sunday Hostel,3.5,(39),2-star hotel,,,Temporarily closed,Low-key budget lodging with free Wi-Fi,"₱1,437",Archbishop Reyes Ave
USDA Dormitory Hotel,3.7,(214),2-star hotel,,,Temporarily closed,Laid-back hostel offering breakfast,"₱2,068",Pelaez St
Bluewater Maribago Beach Resort,4.7,"(10,508)",4-star hotel,,,Temporarily closed,Posh seaside retreat with dining & a spa,₱831,"Buyong, Maribago Mactan Island PH"
ABC Hotel Cebu,4.2,(505),3-star hotel,,,Temporarily closed,Casual hotel with a restaurant & Wi-Fi,"₱7,840",107 F. Ramos St
Island Breeze Hostel - Cebu Central - 1 Star,3.7,(55),2-star hotel,,,Temporarily closed,,₱938,"JY Crowne, Apas Lahug, Edison St"
Rublin Hotel Cebu,3.8,(93),Hotel,,,Temporarily closed,,"₱1,034",22 Gov. M. Roa St
Oftana Suites,3.9,(13),3-star hotel,,,Temporarily closed,Casual hotel with dining & event space,"₱1,520",P.Remedio St
Paragon Suites,3.8,(95),3-star hotel,,,Temporarily closed,Modest hotel with a restaurant/bar,"₱1,152",91 Juana Osmeña St
RJC HOSTEL AND KARAOKE BAR,3.8,(345),,,,Temporarily closed,,,BARANGAY SAW-SAWAN
The Partridge Guesthouse - 2.5 Star,4.3,(16),2-star hotel,,,Temporarily closed,Casual property offering European dining,₱724,"St. Barangay, 82 Pedro D Calomarde"
Storyshare Apas,4.0,(26),2-star hotel,,,Temporarily closed,High-end pick with a lavish outdoor pool,₱977,"92 Corner 8th Street, San Antonio Village Rd"
OYO 624 Barrio House Mactan,4.8,(10),Guest house,,,Temporarily closed,,,Casia-Soong Rd
Cebu Hotel Plus,4.3,(189),3-star hotel,,,Temporarily closed,Tropical beachfront resort & luxury spa,"₱1,143",0332 Don Mariano Cui St
Cuarto Hotel Cebu,4.5,(300),3-star hotel,,,Temporarily closed,Laid-back hotel with free breakfast,,"DJ Llorente and DG, Corner, Don Gil Garcia St"
Quest Hotel and Conference Center - Cebu,4.3,"(2,817)",3-star hotel,,,Temporarily closed,Informal lodging with dining & a pool,₱965,Archbishop Reyes Ave
Crimson Resort and Spa Mactan,4.6,"(3,682)",5-star hotel,,,Temporarily closed,Posh retreat with a spa & private beach,,Seascapes Resort Town Mactan Island
Dusit Thani Mactan Cebu Resort,4.5,(655),5-star hotel,,,Temporarily closed,Down-to-earth lodging with a rooftop bar,"₱1,162",Punta Engaño Rd
Cityscape Hotel Cebu and Mandaue (Official),3.6,(220),3-star hotel,,,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,₱853,"Ayala access road (axis), F. Cabahug St"
Sarrosa International Hotel & Residential Suites,3.9,(556),3-star hotel,,,Temporarily closed,Laid-back lodging with a cafe & a gym,"₱1,187","Ayala access road (axis), Kasambagan, F. Cabahug St"
Summit Galleria Cebu,4.3,(554),3-star hotel,,,Temporarily closed,Trendy lodging with a pool & dining,,General Maxilom Ave Ext
Resort Cebu,3.9,(57),3-star hotel,,,Temporarily closed,Laid-back hotel with dining & a pool,"₱1,437","Cebu - North Coastal Rd, Aranas Street"
The Golden Peak Hotel & Suites,3.9,(347),3-star hotel,,,Temporarily closed,Laid-back hostel offering breakfast,"₱2,068","corner Philippines, Gorordo Ave"
Cebu Grand Hotel,3.7,(286),3-star hotel,,,Temporarily closed,Posh seaside retreat with dining & a spa,₱831,64 N Escario St
Plantation Bay Resort and Spa,4.5,"(2,745)",4-star hotel,,,Temporarily closed,Waterfront retreat with dining & a spa,"₱7,840","Marigondon, Mactan Island"
ZEN Rooms Zapatera,5.0,(2),2-star hotel,,,Temporarily closed,,₱938,49 Gen. Sepulveda St
Metro Park Hotel - Cebu City,3.2,(56),2-star hotel,,,Temporarily closed,,"₱1,034","Saint Lawrence Street, La Guardia St"
Harolds Hotel Cebu,4.4,"(1,193)",4-star hotel,,,Temporarily closed,Casual hotel with dining & event space,"₱1,520",C. Rosal St
Cebu White Sands Resort and Spa,4.0,"(1,024)",4-star hotel,,,Temporarily closed,Modest hotel with a restaurant/bar,"₱1,152","Cebu White Sands Resort & Spa, M.L. Quezon National Highway"
BlueFins Resort,3.7,(208),3-star hotel,,,Temporarily closed,,,"Hadsan Cove Resort, Brgy. Agus, Mactan Island"
Cebu Backpackers' Place,4.7,(7),2-star hotel,,,Temporarily closed,Casual property offering European dining,₱724,"Urban Deca Homes, Tipolo, Mandaue City Bldg 3"
Chiasti Capsule Hostel,1.0,(1),Hostel,,,Temporarily closed,High-end pick with a lavish outdoor pool,₱977,"in.between BIR and Petron station 6000, Archbishop Reyes Ave"
S Hotel & Residence,4.2,(274),3-star hotel,,,Temporarily closed,,,827 M. Velez St
Waterfront Hotel & Casino Cebu City,4.3,"(4,434)",4-star hotel,,,Temporarily closed,Grand hotel with a casino & 24/7 dining,"₱1,143",Salinas Dr
The Henry Hotel Cebu,4.3,(444),4-star hotel,,,Temporarily closed,Laid-back hotel with free breakfast,,"One Paseo Compound, Ma, Paseo Saturnino"
Dulcinea Hotel and Suites Cebu,4.0,(195),3-star hotel,,,Temporarily closed,Casual hotel with a free airport shuttle,₱965,404 M.L. Quezon National Highway
Cebu Westown Lagoon,4.2,"(1,225)",3-star hotel,,,Temporarily closed,Posh retreat with a spa & private beach,,mo2 entertainment complex
Verbena Hotel,4.0,(141),2-star hotel,,,Temporarily closed,Down-to-earth lodging with a rooftop bar,"₱1,162",584 Don Gil Garcia St
Eastland Hotel and Residences,4.2,(39),3-star hotel,,,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,₱853,#43 Pres. Roxas St
Asia Light Hotel,4.0,(67),3-star hotel,,,Temporarily closed,Laid-back lodging with a cafe & a gym,"₱1,187",79 Don Gil Garcia St
EGI Resort and Hotel,3.5,(598),3-star hotel,,,Temporarily closed,Trendy lodging with a pool & dining,,Unnamed Road
Cebu City Center Inn - IT Park,4.1,(9),2-star hotel,,,Temporarily closed,Laid-back hotel with dining & a pool,"₱1,437",78 Edison St
OYO 182 Countess Pension House,4.0,(53),2-star hotel,,,Temporarily closed,Laid-back hostel offering breakfast,"₱2,068","0, North Road, Liloan"
Pacific Cebu Resort International,3.9,"(1,254)",4-star hotel,,,Temporarily closed,Posh seaside retreat with dining & a spa,₱831,
Vista Mar Beach Resort & Country Club,3.9,(338),3-star hotel,,,Temporarily closed,Waterfront retreat with dining & a spa,"₱7,840","Dapdap, Mactan Lapu-Lapu City"
Tsai Hotel and Residences,4.1,(464),3-star hotel,,,Temporarily closed,Modest hotel with free breakfast,₱938,11 Wilson St
Vacation Hotel Cebu,3.9,(97),3-star hotel,,,Temporarily closed,,"₱1,034",35 Juana Osmeña St
"Jpark Island Resort and Waterpark, Cebu",4.4,"(3,088)",5-star hotel,,,Temporarily closed,Laid-back beachfront resort with dining,"₱1,520",M.L. Quezon National Highway
Marco Polo Plaza Cebu,4.5,"(2,615)",3-star hotel,,,Temporarily closed,Low-key hotel with dining & pools,"₱1,152","Nivel Hills, Cebu Veterans Dr"
RedDoorz Plus near Cebu Capitol,3.9,(46),3-star hotel,,,Temporarily closed,,,N Escario St
Coconut Pension House,3.9,(164),3-star hotel,,,Temporarily closed,Casual property offering European dining,₱724,"Bagumbayan Uno, Maribago"
Balai Flordeliza Guest House,1.0,(1),Lodging,,,Temporarily closed,High-end pick with a lavish outdoor pool,₱977,Unnamed Road
CEBU BUDGETEL - IT PARK CITY CENTER,3.4,(7),2-star hotel,,,Temporarily closed,,,
Lapu-Lapu Cottages & Restaurant,4.2,(125),,,,Temporarily closed,Grand hotel with a casino & 24/7 dining,"₱1,143",
RedDoorz Plus near Mango Avenue Cebu,3.9,(16),Hotel,,,Temporarily closed,Laid-back hotel with free breakfast,,Juana Osmeña St
Mactan District Budgetel-Lapu-Lapu Cebu,2.6,(8),2-star hotel,,,Temporarily closed,Casual hotel with a free airport shuttle,₱965,5 Mustang Rd
Citadines Cebu City,4.8,(35),3-star hotel,,,Temporarily closed,Posh retreat with a spa & private beach,,"Baseline Center, Juana Osmeña St"
Zen Life Guest House,5.0,(13),Hotel,,,Temporarily closed,Down-to-earth lodging with a rooftop bar,"₱1,162",F. Gochan St
OYO 569 Alt Complex,4.2,(39),Hotel,,,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,₱853,Kinalumsan street Gun-ob Lapu-lapu city
Frankfurter Deluxe Inn,4.3,(85),2-star hotel,,,Temporarily closed,Laid-back lodging with a cafe & a gym,"₱1,187",Imus Ave
In & Go Hotel,3.7,(20),Hotel,,,Temporarily closed,Trendy lodging with a pool & dining,,"E Sabellano, Corner Granada Streets"
The Bellavista Hotel,3.7,(340),3-star hotel,,,Temporarily closed,Laid-back hotel with dining & a pool,"₱1,437",
Red Planet Cebu,4.0,"(1,055)",2-star hotel,,,Temporarily closed,Laid-back hostel offering breakfast,"₱2,068",36 Archbishop Reyes Ave
Summit Circle Cebu,3.9,(323),3-star hotel,,,Temporarily closed,Posh seaside retreat with dining & a spa,₱831,Fuente Osmeña Cir
Hotel Elizabeth Cebu,4.1,(777),4-star hotel,,,Temporarily closed,Waterfront retreat with dining & a spa,"₱7,840",Archbishop Reyes Ave
RedDoorz Plus near Camella La Brisa Lapu-Lapu,4.3,(16),Guest house,,,Temporarily closed,Modest hotel with free breakfast,₱938,Mahayahay
Alto Pension House,3.5,(2),Hotel,,,Temporarily closed,,"₱1,034",Dionisio Jakosalem St
Pacific Cebu Resort,4.0,(251),4-star hotel,,,Temporarily closed,Laid-back beachfront resort with dining,"₱1,520",154 Suba-Basbas - Marigondon Beach Rd
Tropical Hostel Cebu,3.4,(50),1-star hotel,,,Temporarily closed,Low-key hotel with dining & pools,"₱1,152","JY Crown Palace, 2nd floor, Apas, Edison St"
Bert's Condotel,4.1,(15),3-star hotel,,,Temporarily closed,,,M. C. Briones St
Caza Cebu Apartelle,3.8,(10),Serviced apartment,,,Temporarily closed,Casual property offering European dining,₱724,M.L. Quezon National Highway
Nanaymo Hostel & Specialty Coffee,4.9,(24),Cafe,,,Temporarily closed,High-end pick with a lavish outdoor pool,₱977,8 - 2 Julio Diaz St
La Moreneta Homestay,5.0,(1),Homestay,,,Temporarily closed,,,
Cebu Fiesta,3.8,(50),2-star hotel,,,Temporarily closed,Grand hotel with a casino & 24/7 dining,"₱1,143","Cebu Fiesta 127 A. Bonifacio St, Cor Dionisio Jakosalem St"
