section-result-title,section-result-details,section-result-location,section-result-info,cards-rating-score,section-result-num-ratings,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,section-result-info 2
Labelle Pharmacy,Pharmacy,Basak Road,(032) 422 9007,4.3,(4),,,,Open until 7:00 pm
ZOLEI PHARMACY,Pharmacy,,(032) 505 5921,4.0,(1),,,,Open until 9:00 pm
Alfar Pharmacy,Pharmacy,Saac - 1,0905 596 0466,5.0,(1),,,,Open until 10:30 pm
Rose Pharmacy,Pharmacy,Sangi,(032) 273 5135,5.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
TGP The Generics Pharmacy,Pharmacy,"#215 F. LLAMAS ST., PUNTA PRINSESA, CEBU CITY",(032) 232 0608,1.0,(1),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose Pharmacy,Pharmacy,2141 Looc-Basak Rd,(032) 412 2108,2.7,(6),,,,Open until 12:00 am
Lieble Pharmacy,Pharmacy,Buaya,(032) 495 9231,5.0,(1),,,,Open until 11:00 pm
SOUTHSTAR DRUG,Pharmacy,"ROBINSONS SUPERMARKET, ROBINSONS PLACE FUENTE",(032) 254 2018,3.3,(4),http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
H3N3 Pharmacy and Gen. Mdse.,Pharmacy,Tagunol St,0923 969 8380,3.0,(2),,,,Open until 9:00 pm
ICC Pharmacy and General Merchandise,Pharmacy,"57, E. Sabellano Street",(032) 272 9276,5.0,(1),,,,Open until 9:00 pm
Three Sixty Pharmacy,Pharmacy,E Sabellano Street,(032) 417 9726,3.0,(2),https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Trifon.Corey Pharmacy and General Merchandise,Pharmacy,Mactan Circumferential Rd,(032) 238 9181,5.0,(1),,,,Open until 9:00 pm
ThreeSixty Pharmacy,Pharmacy,"North Road Plaza Building, North Road",(032) 520 8063,3.0,(1),,,,Open until 11:00 pm
The Generic Pharmacy,Pharmacy,Mactan,(032) 342 0472,3.6,(5),,,,Open until 8:00 pm
The Generics Pharmacy - Urgello Branch,Pharmacy,J. Urgello St,(032) 511 8781,1.0,(1),,,,Open until 9:00 pm
Rose Pharmacy,Pharmacy,Prince Warehouse Club - Bulacao Bulacao Pardo,(032) 272 0018,2.2,(5),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
TGP The Generics Pharmacy,Pharmacy,"DOOR NO. 4 SPECTRUM COMMERCIAL ARCADE, OLANGO, STA. ROSA ISLAND, LAPULAPU CITY C",(032) 268 8707,5.0,(1),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
TGP The Generics Pharmacy,Pharmacy,"ZARILL BUILDING, G.Y. DE LA SERNA ST., POBLACION, LAPU-LAPU CITY, MACTAN, CEBU",(032) 496 8335,4.4,(8),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
TGP The Generics Pharmacy,Pharmacy,"POBLACION, MINGLANILLA, CEBU",(032) 236 4390,4.0,(2),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Dial's Pharmacy,Pharmacy,"52, Rizal Avenue Extension, San Nicolas, Basak",(032) 418 9920,5.0,(1),,,,Open until 10:00 pm
ThreeSixty Pharmacy,Pharmacy,"H Mall, Kagudoy",(032) 495 2748,5.0,(1),http://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Salud-Mar Pharmacy,Pharmacy,,(032) 505 5921,4.0,(1),,,,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"Gaisano Capital Casuntingan, M. L. Quezon Ave",(032) 236 1471,5.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Ann Ver Pharmacy and General Merchandise,Pharmacy,Mactan Street,(032) 493 4024,5.0,(1),,,,Open until 9:00 pm
Rose Pharmacy- Gun-ob,Pharmacy,"FFG Arcade, A. Tumulak St",(032) 232 0608,1.0,(1),,,,Open until 9:30 pm
Aloe Pharmacy & General Merchandise,Pharmacy,Eduarda Manales Building,(032) 341 1789,2.7,(6),,,,Open until 12:00 am
TGP The Generics Pharmacy,Pharmacy,"DOOR 8 E & P ARCADE, MAXIMO V. PATALINGHUG JR., AVE., BASAK, LAPU-LAPU CITY, CEB",(032) 495 9231,5.0,(1),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Jes Pharmacy & Gen. Merchandise,Pharmacy,Candido Padilla St,(032) 262 2192,3.3,(4),,,,Closing soon: 5:00 pm
Threesixty Pharmacy,Pharmacy,Maximo V. Patalinghug Jr. Avenue,(032) 341 0526,3.0,(2),http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
SOUTHSTAR DRUG,Pharmacy,"ROBINSONS SUPERMARKET MACTAN, MEZ 2,",(032) 266 3080,3.5,(2),http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
TGP The Generics Pharmacy,Pharmacy,"RABAYA ST., TABUNOK, TALISAY CITY, CEBU",(032) 417 9726,3.0,(2),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
TGP The Generics Pharmacy,Pharmacy,"G.Y. DELA SERNA ST., POBLACION, LAPU-LAPU CITY, CEBU",(032) 238 9181,5.0,(1),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
ThreeSixty Pharmacy,Pharmacy,Pajo St,(032) 239 2253,4.0,(3),http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
TGP The Generics Pharmacy,Pharmacy,"ONE BLDG., 242 MAGALLANES ST., LAPU-LAPU CITY, CEBU",(032) 342 0472,5.0,(2),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Bestway Pharmacy,Pharmacy,S Jayme St,(032) 511 8781,1.0,(1),,,,Open until 9:00 pm
LN Pharmacy,Pharmacy,G.Y. Dela Serna St,(032) 272 0018,2.2,(5),,,,Open until 10:00 pm
Rose Pharmacy,Pharmacy,Gaisano Tisa Labangon,(032) 262 7387,4.0,(2),,,,Open until 8:30 pm
Threesixty Pharmacy,Pharmacy,"Sangi Road, Dumlog, Talisay City Philippines",(032) 268 2358,4.0,(2),http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose Pharmacy,Pharmacy,,(032) 236 4390,4.0,(2),,,,Open until 10:00 pm
La Nueva Pharmacy,Pharmacy,,(032) 401 2621,2.5,(2),,,,Open until 11:00 pm
Alfar Pharmacy,Pharmacy,Tabada St,0926 242 3891,5.0,(1),,,,Open until 9:00 pm
MedExpress,Pharmacy,,(032) 505 5921,5.0,(1),http://www.medexpress.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"Super Metro, M.L. Quezon National Highway",(032) 260 4277,5.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
TGP The Generics Pharmacy,Pharmacy,"SAN ROQUE, TALISAY CITY, CEBU",(032) 493 4024,5.0,(1),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
SOUTHSTAR DRUG,Pharmacy,"ROBINSONS SUPERMARKET, G/F TALAMBAN TIME SQUARE",(032) 232 0608,1.0,(1),http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
JBRG Pharmacy,Pharmacy,Francisco Llamas St,(032) 414 3325,2.7,(6),,,,Open until 12:00 am
Shep's Pharmacy and General Merchandise,Pharmacy,"Boy Scouts of the Philippines Cebu Council, Natalio B. Bacalso Ave",(032) 418 6437,5.0,(1),,,,Open until 9:00 pm
Rose Pharmacy,Pharmacy,6015 G.Y. Dela Serna St,(032) 230 5050,1.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
The Generics Pharmacy,Pharmacy,P.C.Sulco,0932 415 6715,5.0,(1),,,,Open until 10:00 pm
La Nueva Pharmacy - Minglanilla,Pharmacy,Brgy,(032) 256 2898,3.3,(3),,,,Open until 8:00 pm
TGP The Generics Pharmacy,Pharmacy,"PAJAC-BANKAL RD., LAPU-LAPU CITY, CEBU",(032) 417 9726,3.0,(2),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"GF Gaisano Capital SRP Mall, Highway San Roque",(032) 260 7007,5.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:30 pm
D'Five Pharmacy,Pharmacy,Belgium Street,(032) 261 3091,4.0,(3),,,,Open until 11:30 pm
Twin Life Pharmacy,Pharmacy,Cebu S Rd,(032) 342 0472,5.0,(2),,,,Open until 10:00 pm
Kat Pharmacy and General Merchandise,Pharmacy,"Maximo V. Patalinghug Jr Avenue, Basak, Mepz",(032) 341 2665,1.0,(1),,,,Open until 9:00 pm
ThreeSixty Pharmacy,Pharmacy,,(032) 272 0018,2.2,(5),,,,Open until 10:00 pm
Threesixty Pharmacy,Pharmacy,Basak-Cagodoy-Bankal-Buaya Road,(032) 494 1310,3.8,(4),http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
TGP The Generics Pharmacy,Pharmacy,"LOT NO. 344 & 345 #276 KATIPUNAN ST., TOLEDO CITY, CEBU",(032) 268 2358,4.0,(2),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
TGP The Generics Pharmacy,Pharmacy,"CADASTRAL LOT NO. 4, NATIONAL HIGHWAY (INTERIOR), BASAK, MANDAUE CITY, CEBU",(032) 236 4390,4.0,(2),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
TGP The Generics Pharmacy,Pharmacy,"South Pole Pension House, V Rama Ave",(032) 401 2621,4.0,(1),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
The Generics Pharmacy,Pharmacy,Talamban Hoghway,0926 242 3891,5.0,(1),http://www.tgf.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Vive Pharmacy,Pharmacy,"858 Katipunan St., Tisa Cebu City",0947 309 1923,5.0,(1),,,,Open until 10:00 pm
Rose Pharmacy,Pharmacy,"Alpha Arcade, M.L., M.L. Quezon National Highway",(032) 341 3378,5.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
La Nueva Pharmacy,Pharmacy,Magallanes St,(032) 236 7382,3.0,(1),,,,Open until 8:00 pm
Rose Pharmacy,Pharmacy,Maximo V. Patalinghug Jr Ave.,(032) 236 4985,4.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Dr. Iben Ting Pharmacy,Pharmacy,V. Urgello St,(032) 414 3325,2.7,(6),,,,Open until 8:00 pm
Alfar Pharmacy Jagobiao,Pharmacy,H. Abellana St,(032) 418 6437,5.0,(1),,,,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"Gaisano Grandmall, UG-M 14 & 15",(032) 272 9702,2.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Three Sixty Pharmacy - Legaspi,Pharmacy,"Legaspi Street corner Colon, Cebu City, Cebu",(032) 254 8601,5.0,(1),https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 12:00 am
Three Sixty Pharmacy,Pharmacy,727 A. S. Fortuna St,(032) 420 1901,3.7,(3),http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
La Nueva Pharmacy,Pharmacy,G.Y. Dela Serna St,0917 359 0354,1.0,(1),,,,Open until 8:00 pm
Rose Pharmacy- Pardo,Pharmacy,"SVB Building, GF-1486",(032) 238 2214,4.0,(1),https://www.rosepharmacy.com/store-finder/pardo-branch/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Rose Pharmacy,Pharmacy,"Star Mall, N.Bacalso Nat Highway",(032) 261 3091,4.0,(3),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:30 pm
Three Sixty Pharmacy,Pharmacy,Marigondon Beach Rd,(032) 494 2658,3.8,(5),,,,Open until 10:00 pm
Rose Pharmacy- Tabunok Market,Pharmacy,"Tabunok Administrative Bldg., 12B Toledo - Tabunok Rd",(032) 273 3583,1.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 6:00 am
TGP The Generics Pharmacy,Pharmacy,"SITIO SAAK, LAPULAPU CITY, CEBU",(032) 272 0018,2.2,(5),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
GnJ Pharmacy and General Merchandise,Pharmacy,S.B.Cabahug,(032) 494 1310,3.8,(4),,,,Open until 11:00 pm
Watsons Pharmacy,Pharmacy,"Ground Floor Savemore Market Basak, 31 National Highway, Barangay Basak",(02) 7902 8888,5.0,(1),http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
TGP The Generics Pharmacy,Pharmacy,"GF# 02 ZEREP COMMERCIAL CENTER, NO. 731-A M.L. QUEZON ST., CABANCALAN II, MANDAU",(032) 236 4390,4.0,(2),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Bing Pharmacy,Pharmacy,,0932 307 6360,5.0,(1),,,,Open until 11:00 pm
Rose Pharmacy,Pharmacy,"CPG Arcade, Central North Highway",(032) 564 2358,1.5,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Watsons,Pharmacy,"SM City Cebu Juan Luna Ave. Corner Cabahug, Kaohsiung St",(032) 232 0762,4.7,(3),http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
MED Express Drugstore,Drug store,"Medical Art Building 2 Cebu Doctors, Gov. M. Roa St",(032) 239 5800,1.0,(1),http://www.medexpress.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Rose Pharmacy,Pharmacy,Barangay Cogon Poblacion,(032) 564 2391,5.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Watsons SM City Cebu Mall 2,Health and beauty shop,"Outlet 2 Near Spmkt SM City North Reclamation Area, Mabolo Cebu City",(032) 231 7516,4.0,(1),http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Stop & Shop,Clothing store,,(032) 414 3325,2.7,(6),,,,Open until 8:00 pm
Purchaser's Pharmacy,Pharmaceutical company,Mohon Rd,0923 608 2066,5.0,(3),,,,Open until 9:00 pm
Reroma'S Pharmacy,,,(032) 272 3255,5.0,(1),,,,Open until 9:00 pm
Zuellig Pharma Corporation Cebu Warehouse,Pharmaceutical company,,(032) 345 6231,4.3,(10),https://www.zuelligpharma.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Mazda Cebu,Mazda dealer,Juan Luna Ave Ext,(032) 238 2222,4.4,(74),http://www.mazda.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Watsons Robinsons Galleria Cebu,Health and beauty shop,General Maxilom Ave Ext,0917 634 3121,5.0,(4),http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Mae Ann Pharmacy,,Francisco Llamas St,(032) 262 2545,4.0,(1),,,,Open until 10:00 pm
Rose Pharmacy,,888 Hernan Cortes St,(032) 340 7880,4.0,(3),,,,Open until 11:30 pm
Threesixty Pharmacy - Llorente Street,,J. Llorente Street 6000,(032) 412 4151,3.7,(3),,,,Open until 10:00 pm
The Generics Pharmacy (Lapu-Lapu City),,"Lapu-Lapu Polyclinic, G.Y. dela Cerna St., Lapu-Lapu City 6015",(032) 236 2225,4.3,(12),,,,Open until 11:00 pm
"The Generics Pharmacy - Basak Lapu-Lapu City, Cebu",,"Door 8, G/F E & P Arcade, Maximo V. Patalinghug Avenue, Basak, Lapu-Lapu City, Cebu",(032) 272 0018,4.0,(1),,,,Open until 7:00 pm
Watsons SM City Cebu Annex Northwing,Health and beauty shop,Northwing 2/L SM City Cebu North Reclamation Area Mabolo Cebu City,(032) 238 9427,4.0,(1),http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Watsons Gaisano Country Mall Banilad,Health and beauty shop,Banilad Rd,0917 834 6683,2.7,(3),http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose International Institute Of Beauty Inc. (Doing Business Under The Tradename Of Rose Institute Of Cosmetology And Pharmacy),,16 Emilio Osmeña St,(032) 415 9422,4.0,(2),,,,Open until 9:00 pm
Big+Plus Mart,Korean grocery store,Salinas Dr,(032) 239 1095,4.0,(168),,,,Open until 11:00 pm
Salon De Rose,Beauty salon,"Gaisano Grand Mall, Corner Basak-Sisi-Agus Rd",(032) 238 8998,3.2,(9),http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Profood Gallery Giftshop,Souvenir store,V.Albano,(032) 520 9349,4.8,(12),http://www.profoodcorp.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Goldilocks Bakeshop - Gaisano Mactan,Bakery,"Upper Ground Floor Gaisano Mactan, Pusok, Lapulapu City, 6015, Cebu",(032) 340 6428,4.2,(6),http://www.goldilocks.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
GENERIKA DRUGSTORE,Wholesale drugstore,G.Y. Dela Serna St,(032) 410 8639,4.3,(3),http://www.generika.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Reactive Medical Clinic Laboratory,Medical laboratory,Mondejar Building,(032) 341 1163,4.0,(1),,,,Open until 10:00 pm
Rose Institute,Training centre,Osmena Boulevard Corner Colon St.,(032) 254 0705,5.0,(1),https://www.facebook.com/RoseInstitutePH/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Shakey's Pizza Parlor,Pizza,F. Cabahug St,(032) 260 1353,4.2,(490),https://www.shakeyspizza.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 12:00 am
Chong Hua Hospital,Hospital,Mantawe Ave,(032) 233 8000,2.3,(52),http://www.chonghuahospital.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Optum Global Solutions,Corporate office,,(02) 8588 3200,4.0,(34),https://www.optum.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 pm
Perpetual Succour Hospital,General hospital,Gorordo Ave,(032) 233 8620,3.4,(125),https://www.perpetualsuccourcebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Robinson's Cybergate,Shopping mall,132 Don Mariano Cui St,(032) 505 8955,4.0,"(1,965)",http://www.robinsonsmalls.com/mall-info/robinsons-cybergate-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Gaisano Capital Tisa,Shopping mall,417 Francisco Llamas St,(032) 262 7777,3.7,(571),http://www.gaisanocapital.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Cebu Doctors' University (CDU),Private university,North Reclamation Area Mandaue City Cebu,(032) 238 8333,4.0,(21),http://www.cebudoctorsuniversity.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:30 pm
University of Cebu,Private university,Sanciangko St,(032) 255 7777,4.2,(96),http://uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
IDP Philippines,Educational consultant,"Keppel Center, Ground Floor, Cardinal Rosales Ave",(032) 236 2758,4.4,(12),http://idp.com/philippines,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
University of Cebu - Banilad Campus,School,6000 Gov. M. Cuenco Ave,(032) 233 8116,4.0,(39),https://www.finduniversity.ph/universities/university-of-cebu-banilad-campus/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 7:00 pm
Stop & Shop,Clothing store,Canlingo,0955 553 5377,4.0,(1),,,,Open until 10:00 pm
The Realmed Pharmacy,,196 Kaliraya Rd,0917 834 6683,2.7,(3),,,,Open until 9:00 pm
Outpatient Pharmacy,Pharmacy,55 Fruit St,+1 617-724-3100,2.3,(13),http://www.massgeneral.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:30 am
