section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,section-result-info,section-result-location,section-result-header-container
"Henann Resort Alona Beach, Bohol",4.5,"(2,964)",5-star hotel,Plush beachfront resort with fine dining,Pool,Spa,Temporarily closed,,
Rebecca's Pension House,4.5,(23),Hotel,,,,Closed today,,
Shacene Pension House and Restaurant,3.7,(51),Hotel,Modest budget hotel with a patio,,,Temporarily closed,National Highway,₱831
Mikasa Pension House,4.2,(19),Hostel,Grand hotel with a casino & 24/7 dining,,,Temporarily closed,,"₱2,309"
Leila Pension House,4.0,(5),Travellers lodge,,,,Closed,,"₱1,506"
Maravilla Beach Club (No Day Use/No Tents/No Cottage),4.2,(160),Resort,,Free parking,Free breakfast,Temporarily closed,,
Pink City Pension Hotel,3.9,(50),Hotel,,,,Temporarily closed,,
Danielle's Pension House,3.3,(16),Inn,,Free parking,Free Wi-Fi,Temporarily closed,,
Super M Pension House,4.2,(6),Resort,"Small, vibrant coral island with resorts",,,Temporarily closed,"Balete Drive, Zone II, Pinamalayan",
Oops Pension House,4.7,(9),Hotel,Simple budget hotel with bayside dining,,,Temporarily closed,San Pedro Extension Street,₱750
Famous Pension House Ii,5.0,(1),,,,,Temporarily closed,,
Apple Tree Resort & Hotel,3.9,(474),3-star hotel,Casual beachfront lodging with dining,Pool,Free parking,,,
Guerrera Restaurant/Guerrera Rice Paddy Villas,4.5,(267),3-star hotel,,Free breakfast,,,,
Sugar Pension House,3.5,(196),Hotel,Casual hotel with a cafe & city views,,,Temporarily closed,,"₱1,437"
Deo's Pension House,4.2,(252),,Unassuming hotel with a restaurant,,,Temporarily closed,,"₱1,421"
Ednel's Pension House,3.8,(352),Hotel,Low-key hotel with free breakfast,,,Temporarily closed,,₱763
Shacene by the Sea,3.8,(128),Hotel,,,,Temporarily closed,,
OYO 553 Ednel’s Pension House,3.6,(60),Hotel,Airport with nearby lodging & gaming,,,Temporarily closed,,
Jm Pension House,4.9,(13),Bank,Unpretentious hotel with a rooftop deck,,,Temporarily closed,Virac,"₱1,205"
Sundown Resort,4.2,(114),3-star hotel,Unassuming budget hotel with a cafe,,,Temporarily closed,,
Bohol,4.7,(585),Island,Modest hotel with a restaurant/bar,,,Temporarily closed,,₱999
Pinewood Pension House,3.3,(4),Guest house,,,,Temporarily closed,Baguio,₱853
