section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 3
Flawless Face and Body Clinic - SM City Cebu,4.3,(18),Health and beauty shop,"3rd Juan Luna Avenue Extension Floor, SM Seaside City Cebu",Temporarily closed,(032) 238 9605,https://flawless.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Thery's,5.0,(3),Beauty salon,Jose Rizal St,Temporarily closed,(032) 491 3177,,,,
Meridian Spa,4.3,(77),Beauty salon,F. Ramos St,Temporarily closed,(032) 516 4311,,,,
Slimmers World Face & Skin Clinic - Cebu,4.1,(8),Beauty salon,"2/F Main Mall, SM City Cebu, Archibishop Reyes Avenue",Temporarily closed,(032) 236 2956,http://slimmersworld.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Juliana Beauty Parlor Inayawan,5.0,(3),Beauty salon,F. Jaca St,Temporarily closed,0932 153 5030,,,,
Cut Encarnacion Group Of Salon,3.7,(21),Beauty salon,Osmeña Blvd,Temporarily closed,(032) 253 3423,http://www.facebook.com/CutSalonEncarnacionGroupOfSalon,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Salon De Rose,3.2,(12),Beauty salon,1 Salinas Dr,Temporarily closed,(032) 260 2009,https://www.facebook.com/salonderose/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
887 Rebonding Digital Beauty Chatean,3.8,(29),Beauty salon,"MRDC Bldg, William Senio",Temporarily closed,(032) 511 4245,,,,
Beauty Bar,3.0,(1),Beauty supply store,2 Archbishop Reyes Ave,Temporarily closed,(032) 234 1045,,,,
CUT,2.9,(20),Beauty salon,M. L. Quezon Ave,Temporarily closed,0906 370 0177,,,,
Arielle Salon,4.0,(5),Hair salon,Gonzales Compound,Temporarily closed,0942 027 9461,,,,Open until 10:00 pm
Jude Gabato Salon,4.0,(3),Beauty salon,,Temporarily closed,0925 788 8863,http://www.facebook.com/judiegabato,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Franzy Hair Salon,2.9,(8),Beauty salon,Gaisano Mall,Temporarily closed,(032) 341 5586,,,,
Jude Gabato Salon V. Rama,4.4,(24),Beauty salon,713 V Rama Ave,Temporarily closed,0925 788 8863,https://www.faebook.com/judiegabato/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Lohas Skin + Slimming,4.6,(5),Beauty salon,Paseo Saturnino,Temporarily closed,(032) 266 1737,,,,
Cut,3.0,(17),Beauty salon,"MSG Square, Calle Moriones",Temporarily closed,(032) 231 4204,,,,
Cut Mabolo,4.1,(50),Beauty salon,9 Pope John Paul II Ave,Temporarily closed,(032) 416 1434,,,,
Beauty Getaway - Ayala Central Bloc,5.0,(3),Facial spa,"Central Bloc, 3/F Wellness Zone, Ayala, W Geonzon St",Temporarily closed,(032) 326 8385,https://www.facebook.com/beautygetawayayala,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Mr. Bar's,3.6,(17),Beauty salon,Basak-Marigondon Rd,Temporarily closed,(032) 495 9030,,,,
The Face Shop,3.0,(1),Beauty supply store,"SM Seaside, F Vestil St Cor SRP",Temporarily closed,(02) 8546 1387,,,,
Avon,3.6,(25),Beauty supply store,"Binamira Building, Colon St",Temporarily closed,(032) 255 3565,,,,
L'Occitane en Provence - Cebu,2.0,(2),Beauty supply store,"Rustan's Ayala Center, Cebu Business Park, Archbishop Reyes Avenue",Temporarily closed,(032) 231 5641,http://ph.loccitane.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Benefit Cosmetics Boutique & BrowBar lounge,2.0,(1),Waxing hair removal service,"SM Seaside City Cebu, South Road Properties, Brgy Mambaling, Cebu City 6000 Upper Ground Level, City Wing",Temporarily closed,0920 681 3083,https://www.benefitcosmetics.com/ph/en/beauty-services,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Watsons,4.7,(3),Beauty supply store,"SM City Cebu Juan Luna Ave. Corner Cabahug, Kaohsiung St",Temporarily closed,(032) 232 0762,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Dior Beauty Counter,5.0,(3),Beauty supply store,"ayala center cebu, Ground Floor, Rustan's Cebu Dept. Store",Temporarily closed,0995 916 0111,https://www.dior.com/en_int,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Royale,3.0,(1),Beauty supply store,"Pacific Mall, M.C. Briones St. Corner UN Ave.",Temporarily closed,0917 902 0903,http://www.royalebusinessclub.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
The Face Shop,4.0,(5),Beauty supply store,"SM City Cebu, Juan Luna Ave. Cor. Cabahug And Kaoshiung St.",Temporarily closed,(032) 238 3659,http://international.thefaceshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Tony & Jackey - SM Cebu,3.5,(8),Hair salon,"SM Cebu, 2nd Floor Northwing Main Mall, Juan Luna Ave Ext",Temporarily closed,(032) 236 5201,http://www.bangsprimesalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Frank Lou Hair Salon,5.0,(1),Hair salon,,Temporarily closed,0966 817 8470,,,,
Beauty and Beyond,5.0,(3),Skin care clinic,"Streetscape Strip Mall, Paseo Saturnino",Temporarily closed,(032) 236 7432,http://www.beautyandbeyondphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Dolce Vita Salon For Men And Women,1.8,(6),Hair salon,Banilad Rd,Temporarily closed,0942 027 9461,,,,Open until 10:00 pm
Jumbo Nail Café,4.0,(3),Nail salon,2 M.L. Quezon National Highway,Temporarily closed,(032) 232 3122,,,,
Minkz 2 Salon,5.0,(1),Hair salon,Rahmann St,Temporarily closed,(032) 326 3441,http://www.facebook.com/Minkz2Salon,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Beauty Centrale - Medical Aesthetics Clinic,2.5,(2),Health and beauty shop,Poblacion,Temporarily closed,(032) 490 1275,https://m.facebook.com/Beautycentrale,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Kizuna Aesthetic Center by Dr.Select,5.0,(2),Hair salon,B2 Robinsons Galleria Cebu General Maxilom Avenue,Temporarily closed,(032) 266 1737,,,,
Beauty and Beyond Mango Avenue,3.0,(17),Skin care clinic,"Mango, Unit 202 Manros Place",Temporarily closed,(032) 231 4204,http://www.beautyandbeyondphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Loveli Skin Beauty Centre,4.3,(28),Skin care clinic,1080 VSC bldg. Hernan Cortes St.,Closed,0925 888 0250,http://www.loveliskin.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Platinum Beauty and Slimming Center,5.0,(3),Health and beauty shop,3rd Ave,Temporarily closed,(032) 268 5519,,,,Open until 9:00 pm
Rustan's The Beauty Source,5.0,(1),Department store,Bohol Ave,Temporarily closed,(02) 8231 5641,https://rustans-thebeautysource.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Selina's Castle of Beauty and Wellness by ML CALAYAN,5.0,(2),Skin care clinic,2nd floor West Strip Main Mall Parkmall,Temporarily closed,(032) 420 9702,http://www.mlcalayan.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Kairi Skin Care & Nail Lounge,4.0,(2),Health and beauty shop,,Temporarily closed,0917 715 1199,,,,Open until 8:00 pm
Watsons SM City Cebu Mall 2,4.0,(1),Health and beauty shop,"Outlet 2 Near Spmkt SM City North Reclamation Area, Mabolo Cebu City",Temporarily closed,(032) 231 7516,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Watsons Island Central Mactan,3.0,(3),Health and beauty shop,"Island Central Mactan, MEPZ1, Ibo,, Lapu-lapu City (Opon), Cebu",Temporarily closed,0917 594 8747,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
The Body Shop,2.8,(4),Cosmetics store,"The Body Shop, Unit 113 I/L, Ayala Center Cebu,",Temporarily closed,(032) 328 8264,http://www.thebodyshop.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Revlon,5.0,(3),Cosmetics store,"SM City Cebu, SM Department Store, Juan Luna Avenue, F. Cabahug Street",Temporarily closed,(032) 231 0058,,,,
The Body Shop,3.0,(1),Cosmetics store,"The Body Shop, B153 SM City Cebu",Temporarily closed,(032) 410 7691,http://www.thebodyshop.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Go Bloom & Glow,5.0,(2),Health and beauty shop,"Unit 13 & 14 Retail Building, Belmont One, Upper",Temporarily closed,(032) 238 3659,https://gobloomandglow.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 7:00 pm
VerXen iStore Authorized Human Heart Nature Dealer,3.5,(8),Health and beauty shop,"Deca Homes Mactan 4, Block 15 Lot 16",Temporarily closed,0916 523 4848,https://humanheartnature.com/buy/verxenistore2019,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Watsons Robinsons Galleria Cebu,5.0,(4),Health and beauty shop,General Maxilom Ave Ext,Temporarily closed,0917 634 3121,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Wondernails,3.2,(22),Nail salon,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaohsiung St",Temporarily closed,0906 529 1358,,,,Open until 10:00 pm
Watsons SM City Cebu Annex Northwing,4.0,(1),Health and beauty shop,Northwing 2/L SM City Cebu North Reclamation Area Mabolo Cebu City,Temporarily closed,(032) 238 9427,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Clarins,4.0,(3),Cosmetics store,"Upper Ground Floor Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,,,
Dior,5.0,(1),Cosmetics store,"Upper Ground Floor Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,,,
Bobbi Brown,2.5,(2),Cosmetics store,,Temporarily closed,(032) 490 1275,,,,Open until 8:00 pm
Frontrow International - Cebu Main/Greenery/Lapu-Lapu Office,5.0,(1),Health and beauty shop,M.L. Quezon National Highway,Temporarily closed,0921 852 8127,https://frontrowinternationalcebu.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Chanel,3.0,(17),Cosmetics store,"Upper Ground Floor Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,,,
Giorgio Armani,4.3,(28),Cosmetics store,"Upper Ground Floor Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,,,Open until 8:00 pm
Burberry,5.0,(3),Cosmetics store,"Upper Ground Floor Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,,,Open until 9:00 pm
Hairshoppe Beauty Square,5.0,(1),,,Temporarily closed,(032) 346 9256,,,,
Get It Beauty! Korean Salon,5.0,(2),,Salinas Dr,Temporarily closed,(032) 420 9702,,,,Open until 9:00 pm
Skin Perfection Body Contouring & Spa,3.0,(4),Day spa,"2nd Floor One Mango Bldg. General Maxilom Ave., Cebu City",Temporarily closed,(032) 254 0725,,,,Open until 8:00 pm
Kevlo Skin Clinic,3.5,(11),Skin care clinic,"Bonifacio District & Faustina Center, F. Cabahug St",Temporarily closed,0916 794 0456,https://www.facebook.com/kevloskinclinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Purok Beauty In The Sky,4.5,(10),,Timpolok Rd,Temporarily closed,0917 594 8747,,,,Open until 10:00 pm
Avon,4.4,(12),Cosmetics store,"GSO Bldg, M.L. Quezon National Highway",Temporarily closed,(032) 238 7246,http://www.avon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Revlon,5.0,(3),Cosmetics store,"Robinsons Cybergate, Don Gil Garcia St",Temporarily closed,(032) 231 0058,http://www.revlon.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
NYX,3.0,(1),Cosmetics store,"SM Seaside, Cor Mambaling Cor SRP Road",Temporarily closed,(032) 410 7691,http://www.nyxcosmetics.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Avon,3.5,(10),Cosmetics store,"avon plaza, Osmeña Blvd",Temporarily closed,0998 160 7117,http://www.avon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 7:00 pm
BAMBOO Massage & Wellness,1.0,(1),Massage spa,Basak-Marigondon Rd,Temporarily closed,0915 760 2580,,,,
Maybelline,3.0,(1),Cosmetics store,SM,Temporarily closed,0917 634 3121,http://www.maybelline.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Revlon,3.2,(22),Cosmetics store,"Gasalo Mactan Island Mall, M.L. Quezon National Highway",Temporarily closed,0906 529 1358,http://www.revlon.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
M.A.C Cosmetic SM Seaside Cebu,4.4,(5),Cosmetics store,Cebu South Coastal Rd,Temporarily closed,(032) 238 9427,http://maccosmetics.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Beauty & Veins,5.0,(1),Physician,"DR Jose Cecilio Borromeo Bldg, Gov. M. Roa St",Temporarily closed,(032) 268 3467,http://www.beautyandveins.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
The Face Shop,4.1,(10),Cosmetics store,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Temporarily closed,(032) 238 3659,http://www.thefaceshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Hortaleza Vaciador & Beauty Supply,1.0,(1),,Colon St,Temporarily closed,(032) 255 6943,,,,Open until 8:00 pm
Snoe Beauty,5.0,(1),Beauty product supplier,"2/F Ayala Center Cebu, Archbishop Reyes Ave",Temporarily closed,0999 888 7685,http://www.snoebeauty.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Avon,3.3,(19),Cosmetics store,Natalio B. Bacalso Ave,Temporarily closed,(032) 231 5641,http://www.avon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Annie's Beauty World,4.3,(28),,"Ground Level, Ayala Center Cebu, Cebu City, Cebu",Temporarily closed,(032) 231 0926,,,,Open until 10:00 pm
Avon,4.1,(16),Cosmetics store,M. C. Briones St,Temporarily closed,(032) 231 5641,http://www.avoncompany.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Maybelline,5.0,(2),Cosmetics store,"SM City Cebu, SM Department Store, Juan Luna Avenue, F. Cabahug Street",Temporarily closed,(032) 231 0058,,,,
"Nu Skin Enterprises Philippines, LLC - Cebu",4.8,(16),Wholesaler,"Unit 902 Insular Life Cebu Business Centre Building, Mindanao Avenue corner Biliran Road, Cebu Business Park, Cebu City, 6000, Cebu",Temporarily closed,(032) 266 2077,https://www.nuskin.com/content/nuskin/en_PH/home.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Human Heart Nature,4.4,(42),Cosmetics store,52 Jones Ave,Temporarily closed,(032) 412 9696,https://humanheartnature.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Beauty & Butter Nail Lounge SM Bacolod,3.5,(11),Nail salon,"North Wing Reclamation Area, SM City",Temporarily closed,0917 823 0179,https://www.facebook.com/BeautyandButter,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Bobbi Brown,4.5,(10),Cosmetics store,"SM City Cebu, 2F Cyberzone area",Temporarily closed,0917 594 8747,,,,Open until 10:00 pm
Nathiña Enterprises Beauty Products Cebu City,4.4,(12),Beauty product supplier,,Temporarily closed,0916 703 3124,https://nathina-enterprises-beauty-products.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Royale Beauty. Health. Opportunity. Wealth,5.0,(3),Business center,86 F. Ramos St,Temporarily closed,(032) 231 0058,http://www.royalebusinessclub.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Skin Perfection Body Contouring & Spa,3.0,(1),Skin care clinic,,Temporarily closed,(032) 410 7691,,,,
Skin Perfection,4.0,(1),Spa,"One Mango Avenue, General Maxilom Ave",Temporarily closed,(032) 254 0725,,,,Open until 7:00 pm
Fresh,4.5,(2),Perfume store,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Temporarily closed,(032) 260 7299,http://www.fresh.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Kiehl's,3.0,(3),Perfume store,2 Archbishop Reyes Ave,Temporarily closed,0917 634 3121,http://www.kiehls.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Watsons SM Hypermarket Cebu,3.2,(22),Pharmacy,"SM Hypermarket, M. Logarta Ave",Temporarily closed,(032) 238 9181,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Fresh,4.4,(5),,"L2 , Alaya Mall Cebu, Archbishop Reyes Avenue , 6000 Cebu City , Cebu",Temporarily closed,(032) 231 5342,http://www.fresh.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
KEVLO Skin Clinic SM City - Cebu,2.8,(5),Skin care clinic,Kevlo Skin Clinic - SM Branch,Temporarily closed,(032) 342 7090,http://kevloskinclinic.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
AVON,4.1,(10),Cosmetics and perfumes supplier,P. Burgos St,Temporarily closed,(032) 238 3659,,,,
Uratex,5.0,(1),Furniture store,"2nd floor, Juan Luna Avenue, North Reclamation Area, North Wing, Mabolo",Temporarily closed,(032) 236 2252,https://www.uratex.com.ph/industrial-institutional/events-2/cebu-con,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Marites Añosa Residence,5.0,(1),Cosmetics and perfumes supplier,Pilit,Temporarily closed,0906 862 2563,https://www.avon.ph/ph-home,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Thyraj Salon,5.0,(2),,98 D Gorordo Ave,Temporarily closed,0942 062 2318,,,,
Dermcare - Cebu,4.3,(28),,"Colonnade Mall Oriente Colon, Cebu City, 6300, Cebu",Temporarily closed,(032) 254 3827,http://www.dermcareprofessional.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Beauty & Butter Nail Lounge SM Megamall,3.6,(5),Nail salon,"5th FLOOR MEGAMALL BRIDGE WAY EDSA CORNER, Doña Julia Vargas Ave",Temporarily closed,(02) 8470 4239,https://www.facebook.com/BeautyandButter,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
