section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,e0HygkTYhQy__attribute-content,section-result-info,section-result-info 2
Andok's,3.3,(4),₱,Fast Food,"Andok's Building, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,Delivery,Opens at 4:00 pm,Temporarily closed
Turks Pueblo Verde Outlets Cebu,5.0,(2),,Fast Food,,Fast-food chain with Filipino flavors,Delivery,,Open until 10:00 pm
Leylam Shawarma,3.5,(4),,Fast Food,"2nd Floor Robinsons Cybergate Cebu, Don Gil Garcia Street",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 9:00 pm
ARA Food and Print Express,5.0,(1),,Fast Food,Basak-Cagodoy-Bankal-Buaya Road,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 8:00 pm,
Cebu's Original Lechon Belly,4.0,(1),,Fast Food,"SM Hypermarket Food Area 165 A. S., A. S. Fortuna St",Fast-food chain with Filipino flavors,Delivery,,Open until 8:00 pm
Cebu's Original Lechon Belly,4.7,(6),,Fast Food,"Parkmall Al Fresco 4, Mantawe Avenue",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
Sr. Pedro,5.0,(4),,Fast Food,Hernan Cortes St,Quick stop for familiar Chinese fare,Delivery,,Open until 9:00 pm
Felix Batchoy,4.8,(4),,Fast Food,V Rama Ave,Fast-food chain with Filipino flavors,Delivery,,Open until 11:00 pm
Mang Inasal,3.5,(56),₱,Fast Food,"Osmeña Blvd, corner F. Gonzales St",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,
Chowking,3.5,(29),₱,Fast Food,"Level 1, Starmall Azienda, Lawaan 1, Talisay City",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 9:30 pm
Dimsum Break,4.1,(8),,Fast Food,"G/F, Gaisano Fiesta Mall Tabunok, Cebu S Rd",Fast-food chain with Filipino flavors,Delivery,Open until 8:30 pm,
Mang Inasal,3.5,(20),₱,Fast Food,"SM Seaside City, Cebu South Coastal Rd",Korean fried chicken specialist,Delivery,,Open until 9:00 pm
Jollibee 138 Mall Colon,5.0,(1),,Fast Food,"138 Mall, 138 Colon St",Quick stop for familiar Chinese fare,Delivery,Open until 2:00 am,
Okinawa Heat - SM Foodcourt,5.0,(2),,Fast Food,SM City Cebu,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
Chowking,2.8,(10),,Fast Food,G/F Gaisano Country Mall,Quick stop for familiar Chinese fare,Delivery,Temporarily closed,Open until 10:00 pm
Jollibee,2.9,(11),,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 6:00 pm,Temporarily closed
McDonald's,4.1,(534),₱,Fast Food,Cebu N Rd,Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 6:00 pm,Temporarily closed
Jafar's Shawarma Station,3.1,(16),,Fast Food,Ayala Center Cebu,Quick stop for familiar Chinese fare,Delivery,Closed,Open until 10:00 pm
KFC Fuente Osmeña,3.8,(336),₱,Fast Food,"Doña Luisa Building, G/F, Fuente Osmeña Cir",Fast-food fried chicken chain,Delivery,Open until 10:00 pm,
Chowking,4.1,(66),₱,Hong Kong style fast food restaurant,26 Osmeña Blvd,Iconic fast-food burger & fries chain,Delivery,,Open until 9:00 pm
Chowking,4.3,(60),₱,Fast Food,N. Bacalso Highway,Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Opens at 4:00 pm
Mang Inasal,2.7,(13),₱,Fast Food,G/F Gaisano Fiesta Mall Tabunok 6045,Fast-food chain with Filipino flavors,Delivery,,Open until 8:00 pm
KFC,4.3,(3),₱,Fast Food,SM,Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 9:00 pm
Orange Brutus,4.3,(3),,Fast Food,"SM, National Hwy",Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 9:00 pm
Burger King,2.6,(13),,Fast Food,Mactan Cebu International Airport Terminal 2,Fast-food chain with Filipino flavors,Delivery,Open until 8:00 pm,
KFC Mandaue,4.0,(421),₱,Fast Food,"RAMCAR Building, M. C. Briones Avenue, Maguikay Mandaue",Fast-food fried chicken chain,Delivery,Open until 9:00 pm,
KFC E Bloc 3,3.9,(50),₱,Fast Food,"eBloc 3 Tower, Stall 109 Level 1, G/F",Fast-food fried chicken chain,Delivery,Open until 9:00 pm,
KFC Parkmall,3.7,(75),₱,Fast Food,168 Park Mall Dr,Fast-food fried chicken chain,Delivery,,Open until 10:00 pm
KFC Cebu IT Park,3.9,(67),₱,Fast Food,G/F i2 & i3 Building Asia Town IT Park Apas,Fast-food fried chicken chain,Delivery,Open until 9:00 pm,
Goldilocks Bakeshop,3.0,(2),₱₱,Fast Food,"Tisa Street, Labangon",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 9:30 pm
ArmyNavy Burger + Burrito,4.2,(16),₱₱,Fast Food,"Ayala Center, 176 Archbishop Reyes Ave",Fast-food chain with Filipino flavors,Delivery,,Open until 11:00 pm
해피투게더,4.3,(35),,Fast Food,"E-Zone, F. Cabahug St",Korean fried chicken specialist,Delivery,,Open until 12:30 am
Dimsum Break,3.9,(174),₱₱,Fast Food,"G/F North Arcade, Banilad Town Centre, Gov. M. Cuenco Ave",Quick stop for familiar Chinese fare,Delivery,Open until 2:00 am,
The Burger Joint,4.5,(721),,Hamburger,"The Gallery, Pope John Paul II Avenue, Golam Dr",Fast-food chain with Filipino flavors,Delivery,,Open until 6:00 pm
Tokyo Tokyo,3.3,(8),₱₱,Japanese,"SM Seaside, F Vestil St Cor SRP",Quick stop for familiar Chinese fare,Delivery,Temporarily closed,Open until 9:00 pm
KFC SM Cebu,4.3,(3),₱,Fast Food,Upper G/F Sm City Cebu,Fast-food fried chicken chain,Delivery,Temporarily closed,Open until 10:00 pm
Mr. Potato,3.8,(22),,Takeout Restaurant,M. Logarta St. Inside North Bus Terminal,Iconic fast-food burger & fries chain,Takeaway,Temporarily closed,Open until 7:00 pm
Gerry's Grill - Robinsons Galleria Cebu,4.1,(77),₱₱,Filipino,General Maxilom Ave Ext,Quick stop for familiar Chinese fare,Delivery,Temporarily closed,Open until 10:00 pm
Susan's Place,4.1,(86),,Restaurant,1452 M. J. Cuenco Ave,Fast-food fried chicken chain,Takeaway,,Open until 11:00 pm
KKB Seafood and BBQ Grill - Appleton,4.3,(4),,Restaurant,,Iconic fast-food burger & fries chain,Delivery,Open until 10:00 pm,
Blue Elephant,4.3,(919),₱₱,Lounge,"AppleOne Equicom Tower, Mindanao Ave",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Opens at 4:00 pm
Tokyo Tokyo Philippines,3.6,(22),₱₱,Japanese,"G/F, SM Seaside, Reclamation Area",Fast-food chain with Filipino flavors,Takeaway,,Open until 9:00 pm
Mr. Potato,4.5,(25),,Takeout Restaurant,Mactan,Fast-food chain with Filipino flavors,Takeaway,Temporarily closed,Open until 8:30 pm
Pakû by Chef Binux 2 - Mango Ave.,3.9,(99),,Restaurant,"1st Floor, Sampaguita Suites, Gen. Maxilom Ave. (Mango Ave, Brgy",Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 10:00 pm
Sinjeon Topokki,4.2,(54),,Restaurant,Skyrise 1,Fast-food chain with Filipino flavors,Delivery,,Open until 2:00 am
Mr. Potato,4.4,(48),,Takeout Restaurant,"APM Mall Building, A. Soriano Ave, Nra",Fast-food fried chicken chain,Takeaway,,Open until 9:00 pm
Ama's Choice halal resturant,3.0,(2),,Restaurant,,Iconic fast-food burger & fries chain,Delivery,,Open until 8:00 pm
Mr. Potato,4.1,(19),,Takeout Restaurant,Humay-Humay Rd,Fast-food fried chicken chain,Takeaway,,Open until 8:30 pm
Max’s Restaurant,3.7,(3),₱₱,Filipino,General Maxilom Ave Ext,Chain eatery for Filipino fried chicken,Delivery,Open until 10:00 pm,
O'noodle,4.3,(18),,Noodle Shop,"Colonnade Mall Oriente, Colon St",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 8:00 pm
Zubu Belly,4.1,(77),,Restaurant,"Marina Mall, Mactan",Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Ngohiong Express,3.9,(89),,Restaurant,"Ayala access road (axis), Mactan St",Chain eatery for Filipino fried chicken,Delivery,Open until 10:00 pm,
Pizza Hut Fuente Osmena,3.8,(127),₱₱,Pizza,"Pizza Hut Fuente Osmena, Angeles Du Building 2, Fuente Osmena",Casual pizza chain with wide selection,Delivery,,Open until 10:00 pm
032 Ngohiong House,4.0,(1),,Restaurant,F. Cabahug St,Fast-food chain with Filipino flavors,Delivery,Closed,Reopens at 4:00 pm
Mr. Potato,3.9,(19),,Takeout Restaurant,"Ultra Vistarama, Legaspi St",Fast-food chain for pizza & pasta,Takeaway,Temporarily closed,Open until 7:45 pm
Bigby's Cafe & Restaurant - SM Seaside,4.0,(8),,Restaurant,"Lower Ground Floor, Mountain Wing SM Seaside City",Fast-food fried chicken chain,Delivery,Temporarily closed,Open until 9:00 pm
Special Ngohiong Express,5.0,(1),,Takeout Restaurant,85 Osmeña Blvd,Iconic fast-food burger & fries chain,Takeaway,Open until 7:00 pm,Temporarily closed
Mama Linda Inato BBQ & Seafoods Haus,2.8,(5),,Grill,"Mactan Newtown, Hawkers Center, Newtown Blvd",Quick stop for familiar Chinese fare,Delivery,Temporarily closed,Open until 11:00 pm
Ngohiong Express,3.8,(9),,Restaurant,J Lorente,Fast-food fried chicken chain,Takeaway,,Open until 10:00 pm
KFC Jones Cebu,4.2,(6),,Restaurant,"Barba Press Bldg, 17-C Osmeña Blvd",Iconic fast-food burger & fries chain,Delivery,,Open until 10:00 pm
Bora bay,3.8,(125),,Restaurant,,Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 2:00 am
Zubuchon Drive Thru Pasalubong Center,2.4,(5),₱₱,Restaurant,,Fast-food chain with Filipino flavors,Takeaway,,Open until 11:00 pm
Ngohiong Express,3.6,(56),,Restaurant,J. Luna Avenue,Fast-food chain with Filipino flavors,Takeaway,Open until 8:30 pm,Temporarily closed
Susan's Place,3.9,(99),,Restaurant,"6000, 478 M. J. Cuenco Ave",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 10:00 pm,
Landers Super Store,3.9,(7),,Restaurant,Cardinal Rosales Ave,Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Sugbaboy,3.0,(1),,Restaurant,Robinsons Supermarket,Fast-food fried chicken chain,Takeaway,Open until 9:00 pm,
MACO,3.0,(2),,Restaurant,343 B-2 Sanciangko Brgy,Iconic fast-food burger & fries chain,Delivery,Open until 8:00 pm,
Turks Gaisano Grand Mall Mactan,3.2,(18),,Restaurant,,Fast-food fried chicken chain,Takeaway,,Open until 9:00 pm
Tokyo Tokyo Philippines,2.6,(15),₱₱,Japanese,"G/F, SM City Cebu, Juan Luna Avenue",Chain eatery for Filipino fried chicken,Delivery,,Open until 9:00 pm
Han's Halo-Halo,4.4,(106),,Dessert,,Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 11:00 pm
Melton's Halo-Halo,4.1,(22),,Dessert,"Plaza Margarita, Unit 4, Natalio B. Bacalso South National Highway, 6046, Sandayong",Fast-food chain with Filipino flavors,Delivery,,Open until 11:30 pm
Ayala Center Cebu,4.4,"(13,738)",,Shopping mall,Cardinal Rosales Ave,Large modern mall with a cinema,Delivery,Open until 10:00 pm,
SM City Cebu,4.4,"(15,414)",,Shopping mall,Juan Luna Avenue,Large shopping mall with a cinema,Delivery,,Open until 10:00 pm
Landers Central,4.8,(10),,Food court,"Landers Superstore, Cardinal Rosales Ave",Fast-food chain with Filipino flavors,Delivery,Closed,Open until 10:00 pm
Big City,3.5,(8),,Fast Food,"218, Glorietta - SM Makati Pedestrian Overpass",Fast-food chain for pizza & pasta,Takeaway,Temporarily closed,Open until 10:00 pm
Tropical Hut,4.2,(489),₱,Fast Food,,Fast-food fried chicken chain,Delivery,Open until 9:00 pm,Temporarily closed
Tapa King,3.9,(159),,Fast Food,7 Pioneer St,Iconic fast-food burger & fries chain,Delivery,Temporarily closed,Open until 2:00 am
Bigby's,3.6,(8),,,"L2 , Alaya Mall Cebu, Archbishop Reyes Avenue , 6000 Cebu City , Cebu",Quick stop for familiar Chinese fare,Delivery,Open until 11:00 pm,Temporarily closed
SM Seaside City Cebu,4.5,"(8,541)",,Shopping mall,Juan Luna Avenue,Fast-food fried chicken chain,Takeaway,,Open until 7:00 pm
Robinsons Galleria Cebu,4.5,"(1,711)",,Shopping mall,"Gen. Maxilom Avenue Extension, Sergio Osmeña Jr Boulevard",Iconic fast-food burger & fries chain,Delivery,Temporarily closed,Open until 10:00 pm
Chowking SM City Marilao,3.4,(10),₱,Fast Food,"SM City Marilao, Manila N Rd",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 9:00 pm
