section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-description,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 2,section-result-info 3,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute-content 3
Avis Rent-A-Car,2.5,(10),Car rental agency,"Flagship Store, Marina Mall, 2nd Floor Islands, Lapu-Lapu Airport Rd",,0917 573 2516,http://www.avis.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 9:00 pm,"""... in and out at Bai Hotel, parking ang lobby feels like a mini",airport,":)"""
Go Dong Ni,4.3,(3),Restaurant,Lapu-Lapu Airport Rd,,(032) 340 2553,,,,Temporarily closed,Open until 11:00 pm,"""... and the driver met us at the",airport,"and drove to his office, and at ..."""
Gulf Air Cebu,5.0,(1),,"Unit 104 Raintree Mall, 528 General Maxilom Avenue, Cebu City, 6000, Cebu",,(032) 253 3922,http://www.gulfair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,"""***Mactan-Cebu International",Airport,"Note: Buses going to MCIA ..."""
Portville Prime,3.9,(13),Housing development,Mactan Airport Rd,,0923 324 4978,,,,Temporarily closed,,,,
Marco Polo Plaza Cebu,4.5,"(2,615)",3-star hotel,,Low-key hotel with dining & pools,(032) 253 1111,https://www.marcopolohotels.com/en/hotels/philippines/cebu/marco_polo_plaza/index.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Plaza Premium Lounge,4.5,(69),Lounge,"Level 1, International, Pre Departure Terminal 2, Mactan Cebu International Airport",Iconic Seattle-based coffeehouse chain,(032) 494 7792,https://www.plazapremiumlounge.com/en-uk/find/asia/philipines/cebu/mactan-cebu-international-airport/plaza-premium-lounge-arrivals-terminal-2?utm_source=google&utm_medium=organic&utm_campaign=mybusiness&utm_content=CEBDepT2,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,"""Location is near the",airport,"."""
Jollibee,3.6,(53),Fast Food,Aéroport international de Mactan-Cebu,Fast-food chain with Filipino flavors,(032) 239 0565,,,,Temporarily closed,Opens at 8:00 am,"""He was early to the",airport,"to pick us up and even dropped us off at ..."""
"Panalpina World Transport (Philippines), Inc. - Cebu",4.0,(466),Logistics service,"2/F Galco Building, Mactan Cebu International Airport Cargo Complex, Mactan, Lapu-Lapu City, 6015, Cebu",,(032) 341 5241,http://www.panalpina.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 1:00 am,,,
Radisson Blu Cebu,4.5,"(2,918)",5-star hotel,,High-end pick with a lavish outdoor pool,(032) 505 1700,https://www.radissonhotels.com/en-us/hotels/radisson-blu-cebu?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:seap+h:PHLRDCE,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 1:00 am,"""... you need in walking distance, also 30 mins taxi ride from",airport,"."""
Scape Skydeck,4.4,(703),Restaurant,"Roof Deck, Azon Residences, M.L. Quezon National Highway",Stylish open-air spot for pub fare,(032) 410 3331,http://www.scapeskydeck.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 12:00 am,"""Booked a ride with them from the port to Cebu Mactan",airport,"."""
Cebu Pacific Air,3.0,(46),Travel agency,"Robinsons Fuente Bldg, Fuente Osmeña Cir",,(032) 230 8888,http://www.cebupacificair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 10:00 pm,"""Convenient place as it is just on the main road and near the",airport,"."""
Malaysia Airlines,4.0,(4),,"Unit 312, 3rd Floor, Ayala Center,, Cebu Business Park, Cebu City, Cebu","Small, vibrant coral island with resorts",(032) 231 3887,,,,Temporarily closed,Open until 10:00 pm,,,
Bayfront Hotel Cebu,4.1,"(2,277)",3-star hotel,,Casual lodging with dining & water views,,,,,,,,,
Cebu White Sands Resort and Spa,4.0,"(1,024)",4-star hotel,,Understated beachfront resort with pools,,,,,,,,,
Express Inn Lapu-Lapu,3.3,(425),3-star hotel,,Airport with nearby lodging & gaming,(032) 520 2823,http://www.expressinnph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Opens at 8:30 am,"""going to",Airport,"or Maribago you can ride here much easier."""
The Bellavista Hotel,3.7,(340),3-star hotel,,,(032) 340 7821,http://www.thebellavistahotel.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Potato Corner,3.4,(8),Snack bar,"Mactan-Cebu International Airport Lapu-Lapu Airport Road, International Departure",,(02) 8534 5845,http://www.potatocorner.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Opens at 8:00 am,Takeaway,,
Islands Stay Hotels,3.2,(217),2-star hotel,M.L. Quezon Ave Lapu-lapu City,Casual hotel with a restaurant & Wi-Fi,(032) 518 4915,http://www.islandsstay.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 12:00 am,,,
G.P.Travel Inc.,3.7,(221),,"Waterfront Airport Hotel & Casino, Lower Ground Area, Lapu-Lapu Airport Rd",,(032) 340 2113,,,,Temporarily closed,,,,
Chambre Hotel Mactan,3.8,(304),2-star hotel,UA Ybanez St,,(032) 341 0066,http://www.thechambrehotelph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Eloisa Royal Suites,4.0,(530),3-star hotel,Maximo V. Patalinghug Jr. Avenue,Grand hotel with a casino & 24/7 dining,(032) 492 1913,https://www.eloisaroyalsuites.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,Delivery · Takeaway,,
Portville Mactan,3.8,(45),Real estate developer,"Brgy. Buaya, Mactan, Lapu-lapu City",High-end airport hotel with a casino,(032) 266 6190,http://johndorfventures.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,"""Online booking but arrived from",airport,"earlier but rescheduling ..."""
Stats Sports Adventure Travel Services Cebu Pacific,3.6,(11),Travel agency,Gov. M. Cuenco Ave,,(032) 702 0888,http://www.cebupacificair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 9:00 pm,"""... in and out at Bai Hotel, parking ang lobby feels like a mini",airport,":)"""
Philippine Airlines,4.3,(7),Travel agency,"Yusing, F. Ramos St",,0977 756 6327,http://www.philippineairlines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,"""... and the driver met us at the",airport,"and drove to his office, and at ..."""
Friends Rent-A-Car,5.0,(1),Car rental,"Mactan Cebu International Airport, Airport Road",,(032) 340 5729,,,,Temporarily closed,,"""***Mactan-Cebu International",Airport,"Note: Buses going to MCIA ..."""
Dulcinea Hotel and Suites Cebu,4.0,(195),3-star hotel,404 M.L. Quezon National Highway,Casual hotel with a free airport shuttle,(032) 495 2741,http://www.dulcineahotel.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Transit Point Mactan Hostel - 1 Star,3.6,(83),2-star hotel,,Low-key hotel with dining & pools,0917 560 1718,,,,Temporarily closed,,,,
Connecting Flight Mactan Cebu Hostel,3.9,(44),Hotel,,Iconic Seattle-based coffeehouse chain,0917 136 0602,https://www.booking.com/hotel/ph/connecting-flight-mactan-cebu-cebu-hostel.en-gb.html?aid=356980;label=gog235jc-1DCAsotAFCKWNvbm5lY3RpbmctZmxpZ2h0LW1hY3Rhbi1jZWJ1LWNlYnUtaG9zdGVsSDNYA2i0AYgBAZgBCbgBGMgBDNgBA-gBAYgCAagCBA;sid=f9476ba4f0d92df9e8e7a75a75e61bfd;dist=0&keep_landing=1&sb_price_type=total&type=total&,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,"""Location is near the",airport,"."""
Palmbeach Resort & Spa,3.6,(262),3-star hotel,"Punta Engano, Mactan Island, Punta Engaño, 6015",Fast-food chain with Filipino flavors,(032) 495 1213,,,,Temporarily closed,Opens at 8:00 am,"""He was early to the",airport,"to pick us up and even dropped us off at ..."""
Toyoflex Cebu Medical Factory,5.0,(1),Medical equipment manufacturer,"Mactan-Cebu International Airport (CEB, Airport Rd",,(032) 341 5241,,,,Temporarily closed,Open until 1:00 am,,,
Tablea Chocolate Cafe,4.5,(2),Cafe,"L1 , Mactan-Cebu Domestic Airport, Airport Road , 6016 Lapu-Lapu City , Cebu",High-end pick with a lavish outdoor pool,(032) 343 6669,,,,Temporarily closed,Open until 1:00 am,"""... you need in walking distance, also 30 mins taxi ride from",airport,"."""
RedDoorz @ Humayhumay Road Lapulapu,3.9,(43),3-star hotel,,Stylish open-air spot for pub fare,(02) 8249 8745,https://www.reddoorz.com/en-ph/hotel/philippines/lapu-lapu/lapu-lapu-city/reddoorz-humayhumay-road-lapulapu?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 12:00 am,"""Booked a ride with them from the port to Cebu Mactan",airport,"."""
Island Trek Car Rental,4.9,(11),Car rental agency,"Dawis Rd Sta Theresa, 3 Village",,(032) 462 1382,http://www.islandtrekcars.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,"""Convenient place as it is just on the main road and near the",airport,"."""
Hotel Sogo - Cebu,3.9,(335),2-star hotel,Sanciangko St,"Small, vibrant coral island with resorts",0922 699 3899,http://www.hotelsogo.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 10:00 pm,,,
Shamrock Pasalubong Center,4.2,(398),Bakery,"Honoria Paras Bldg, Fuente Osmeña Cir",Airport with nearby lodging & gaming,(032) 238 5464,http://shamrockotap.com/contact,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 10:00 pm,"""going to",Airport,"or Maribago you can ride here much easier."""
Philippine National Bank ATM,3.7,(340),ATM,"Waterfront Mactan Casino Hotel, 1 Airport Road",,(032) 340 0029,,,,Temporarily closed,,,,
BonChon,2.5,(4),Fast Food,"Mactan Cebu International Airport Terminal, 2",Korean fried chicken specialist,(02) 8534 5845,http://bonchon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Opens at 8:00 am,Takeaway,,
Hertz,3.2,(217),Car rental agency,Lapu-Lapu Airport Rd,Casual hotel with a restaurant & Wi-Fi,0999 678 4330,"https://www.hertz.com/rentacar/reservation/,https://www.hertz.com/rentacar/location",https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,,,
McDonald's,4.0,(576),Fast Food,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,(02) 86236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,Delivery,,
OYO 493 Bria Mactan,4.0,(25),Hotel,,,0915 447 4874,https://www.oyorooms.com/h/88369/?utm_source=GMB_PH&utm_medium=Organic&utm_campaign=PP_CBU032&latitude=10.280145&longitude=123.95821&locale=en,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Amaris Bed & Breakfast,4.4,(203),3-star hotel,,Grand hotel with a casino & 24/7 dining,(032) 262 1812,https://www.amarisbnb.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,Delivery · Takeaway,,
1st Avenue Apartelle,3.5,(104),Inn,,High-end airport hotel with a casino,(032) 494 0134,http://1stavenueapartelle.blogspot.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,"""Online booking but arrived from",airport,"earlier but rescheduling ..."""
Sotogrande Hotel & Resort,3.4,(297),3-star hotel,Angasil Rd,,(032) 238 6592,http://www.sotograndehotelresort.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 9:00 pm,"""... in and out at Bai Hotel, parking ang lobby feels like a mini",airport,":)"""
Garces Budget Apartelle,4.0,(4),Hotel,,,0917 332 0568,http://www.facebook.com/garcesapartelle,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,"""... and the driver met us at the",airport,"and drove to his office, and at ..."""
Air Asia Zest Ticketing Office,3.5,(92),Tour agency,"3rd floor Elizabeth Mall, Leon Kilat St, Cor Natalio B. Bacalso Ave",,(032) 742 2742,http://www.airasia.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,"""***Mactan-Cebu International",Airport,"Note: Buses going to MCIA ..."""
1521 Hostel,4.4,(68),2-star hotel,,Casual hotel with a free airport shuttle,0977 728 7951,http://www.1521hostelmactan.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
ACE Penzionne,3.7,(115),3-star hotel,,Low-key hotel with dining & pools,(032) 341 1140,http://www.acepenzionne.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Golden Prince Hotel and Suites,4.2,"(1,133)",3-star hotel,Acacia St,Iconic Seattle-based coffeehouse chain,(032) 230 1500,http://www.goldenprincehotel.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,"""Location is near the",airport,"."""
The Coffee Bean & Tea Leaf,3.7,(17),Coffee shop,,Chain coffee bar known for frozen drinks,(032) 495 1213,https://www.coffeebean.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 8:00 pm,"""He was early to the",airport,"to pick us up and even dropped us off at ..."""
Wellcome Hotel,3.9,(585),3-star hotel,18 Molave St,,0917 318 6252,http://www.wellcomehotel.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 1:00 am,,,
Dollar Rent A Car,4.5,(2),Car rental agency,"2nd Flr, Punta Engaño Rd",High-end pick with a lavish outdoor pool,0999 678 4330,https://www.dollar.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 1:00 am,"""... you need in walking distance, also 30 mins taxi ride from",airport,"."""
USDA Dormitory Hotel,3.7,(214),2-star hotel,Pelaez St,Laid-back hostel offering breakfast,(032) 254 9340,http://facebook.com/usdrcebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 12:00 am,"""Booked a ride with them from the port to Cebu Mactan",airport,"."""
Appleton Boutique Hotel Cebu,3.9,(375),3-star hotel,M Maximo V. Patalinghug Jr. Avenue,Understated lodging with 2 restaurants,(032) 520 8888,http://appletonhotel.strikingly.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,"""Convenient place as it is just on the main road and near the",airport,"."""
Thrifty Car Rental,3.9,(335),Car rental agency,"2ND FLR, Punta Engaño Rd","Small, vibrant coral island with resorts",0999 678 4330,https://www.thrifty.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 10:00 pm,,,
MACTAN BREEZE,4.2,(36),2-star hotel,Pajac-Maribago Rd,Airport with nearby lodging & gaming,0917 309 0866,https://www.facebook.com/mactan.breeze?fref=ts,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 10:00 pm,"""going to",Airport,"or Maribago you can ride here much easier."""
Southpole Central Hotel,3.8,(194),3-star hotel,,,(032) 234 7777,https://www.southpolecentralhotel.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Lylie Hotel,3.9,(86),2-star hotel,,Low-key budget lodging with free Wi-Fi,(032) 345 2848,http://lyliehotel.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Opens at 8:00 am,Takeaway,,
Hertz,3.2,(217),Car rental agency,"2ND FLR, Punta Engaño Rd",Casual hotel with a restaurant & Wi-Fi,0999 678 4330,https://www.hertz.com/rentacar/location,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,,,
Charles & Keith,4.0,(576),Shoe store,Ayala Center,Iconic fast-food burger & fries chain,(032) 232 6271,,,,Temporarily closed,,Delivery,,
Cebu Budget Hotel - City Center,3.6,(7),Hotel,Edison St. JY Crowne Building (beside St. Therese Church,,0965 295 8200,,,,Temporarily closed,,,,
Cathay,5.0,(1),Hardware store,Legaspi St,Grand hotel with a casino & 24/7 dining,(032) 520 5082,,,,Temporarily closed,Closing soon: 6:00 pm,Delivery · Takeaway,,
Dee Guesthouse,3.9,(28),2-star hotel,B0031 Helenville Rd,High-end airport hotel with a casino,(032) 495 0345,,,,Temporarily closed,,"""Online booking but arrived from",airport,"earlier but rescheduling ..."""
Civil Aviation Authority of the Philippines - Ormoc Airport,5.0,(1),Government office,"Ormoc Airport, Brgy. Airport",,(053) 561 0606,http://www.caap.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 9:00 pm,"""... in and out at Bai Hotel, parking ang lobby feels like a mini",airport,":)"""
Civil Aviation Authority of the Philippines - Bacolod Airport,5.0,(2),,"Bacolod Airport, Bacolod City, Negros Occidental",,(034) 212 3343,http://www.caap.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,"""... and the driver met us at the",airport,"and drove to his office, and at ..."""
Eden Resort,4.4,(5),,,,(032) 480 9321,http://eden.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,"""***Mactan-Cebu International",Airport,"Note: Buses going to MCIA ..."""
Cebu Pacific,2.3,(8),E-commerce service,2Nd Airport Road,Casual hotel with a free airport shuttle,(038) 411 3615,http://www.cebupacificair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Bohol,3.7,(115),,,Low-key hotel with dining & pools,(032) 341 1140,,,,Temporarily closed,,,,
Air Asia,2.7,(11),Travel agency,"Airport Building, Airport Road",Iconic Seattle-based coffeehouse chain,(038) 412 0108,http://www.airasia.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,"""Location is near the",airport,"."""
Cebu Pacific Air Ticketing Office,2.7,(6),Travel agency,"Tarsier Tours and Travel Services Gallares Building, Graham Avenue",Chain coffee bar known for frozen drinks,(038) 235 3541,,,,Temporarily closed,Open until 8:00 pm,"""He was early to the",airport,"to pick us up and even dropped us off at ..."""
Days Hotel by Wyndham Cebu-Toledo,2.8,(95),3-star hotel,,Relaxed hotel with cafe & a gym,(032) 322 5885,https://www.wyndhamhotels.com/days-inn/cebu-philippines/days-hotel-cebu-toledo/overview?CID=LC:DI::GGL:RIO:National:46139&iata=00093796,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 1:00 am,,,
RMS Travellers Inn,4.3,(36),2-star hotel,,High-end pick with a lavish outdoor pool,0917 135 4287,,,,Temporarily closed,Open until 1:00 am,"""... you need in walking distance, also 30 mins taxi ride from",airport,"."""
Panglao,3.7,(214),,,Bohol,(032) 254 9340,http://panglao.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 12:00 am,"""Booked a ride with them from the port to Cebu Mactan",airport,"."""
Ubay,3.9,(375),,,Bohol,(032) 520 8888,http://www.ubaybohol.byethost3.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,"""Convenient place as it is just on the main road and near the",airport,"."""
Chocolate Hills,4.5,(654),Karst,,Geological formation for hikes & photos,0999 678 4330,,,,Temporarily closed,Open until 10:00 pm,,,
Mangodlong Paradise Beach Resort,4.3,(306),3-star hotel,Cebu City,Airport with nearby lodging & gaming,0917 631 5903,https://www.mangodlong.cunahotels.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 10:00 pm,"""going to",Airport,"or Maribago you can ride here much easier."""
San Carlos City,3.8,(194),,,Negros Occidental,(032) 234 7777,http://www.sancarloscity.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Mangodlong Beach,5.0,(7),Beach,,Low-key budget lodging with free Wi-Fi,(032) 345 2848,,,,Temporarily closed,Opens at 8:00 am,Takeaway,,
Hertz,3.2,(217),Car rental agency,,Casual hotel with a restaurant & Wi-Fi,0995 948 4933,https://www.hertz.com/rentacar/location,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 10:00 am,,,
Silay City,4.0,(576),,,Negros Occidental,(032) 232 6271,http://www.silaycity.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,Delivery,,
Eden Resort - 3.5 Star,4.4,(105),3-star hotel,Santander,,(032) 480 9321,http://eden.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Darwin International Airport,3.7,(277),Airport,Eaton,Airport serving the Northern Teritory,+61 8 8920 1811,http://www.darwinairport.com.au/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Closing soon: 6:00 pm,Delivery · Takeaway,,
Dubai International Airport,4.5,"(21,080)",Airport,,Major hub for international flights,+971 4 224 5555,http://www.dubaiairports.ae/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,"""Online booking but arrived from",airport,"earlier but rescheduling ..."""
Dallas/Fort Worth International Airport,3.8,"(6,199)",Airport,DFW Airport,Airport serving North Texas,+1 972-973-3112,https://www.dfwairport.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 9:00 pm,"""... in and out at Bai Hotel, parking ang lobby feels like a mini",airport,":)"""
Chandigarh International Airport,4.2,"(1,997)",International airport,Sahibzada Ajit Singh Nagar,,+91 172 224 2004,https://www.aai.aero/en/airports/contact-us/chandigarh,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,"""... and the driver met us at the",airport,"and drove to his office, and at ..."""
Portland International Airport,4.5,"(2,683)",Airport,Portland,"Hub with rail service, artwork & music",+1 503-460-4234,https://www.flypdx.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,"""***Mactan-Cebu International",Airport,"Note: Buses going to MCIA ..."""
Toronto Pearson International Airport,3.6,"(7,575)",Airport,Mississauga,Airport with a variety of art displays,+1 416-247-7678,http://www.torontopearson.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Oakland International Airport,3.7,"(1,194)",Airport,Oakland,Airport by an aviation museum,+1 510-563-3300,http://www.oaklandairport.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Phoenix Sky Harbor International Airport,4.0,"(3,612)",Airport,Phoenix,Airport with a sizable art collection,+1 602-273-3300,http://www.skyharbor.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,"""Location is near the",airport,"."""
Minneapolis−Saint Paul International Airport,4.0,"(2,702)",Airport,,Airport with direct rail service,+1 612-726-5555,https://www.mspairport.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 8:00 pm,"""He was early to the",airport,"to pick us up and even dropped us off at ..."""
Wellington International Airport,4.1,(606),Airport,Wellington,Hub airport for New Zealand's capital,+64 4-385 5100,https://www.wellingtonairport.co.nz/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 1:00 am,,,
San Diego International Airport,3.9,"(2,765)",Airport,San Diego,Hub serving Southern California,+1 619-400-2404,https://www.san.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 1:00 am,"""... you need in walking distance, also 30 mins taxi ride from",airport,"."""
Spokane International Airport,3.9,(369),Airport,Spokane,Regional airport with local artwork,+1 509-455-6455,https://www.spokaneairports.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 12:00 am,"""Booked a ride with them from the port to Cebu Mactan",airport,"."""
San Antonio International Airport,4.1,"(1,205)",Airport,San Antonio,Airport featuring global flights,+1 210-207-3433,https://www.sanantonio.gov/sat/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,"""Convenient place as it is just on the main road and near the",airport,"."""
Ontario International Airport,4.2,"(1,096)",Airport,,San Bernardino & Riverside-area airport,+1 909-544-5300,https://www.flyontario.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 10:00 pm,,,
Gerald R. Ford International Airport,4.1,(557),Airport,Grand Rapids,Hub for Western Michigan,+1 616-233-6000,https://www.grr.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 10:00 pm,"""going to",Airport,"or Maribago you can ride here much easier."""
Charleston International Airport,4.1,(523),Airport,North Charleston,Airport serving the Southeast,+1 843-767-7000,https://www.iflychs.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
St. Louis Lambert International Airport,3.6,"(1,065)",Airport,St. Louis,Airport serving southern Arizona,+1 314-890-1333,http://www.flystl.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Opens at 8:00 am,Takeaway,,
Richmond International Airport,4.1,(638),Airport,Richmond,Virginia-based hub with domestic flights,+1 804-226-3000,https://flyrichmond.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 10:00 am,,,
