section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 3
Golden Success College,4.8,(6),Private school,Singson Rd,Temporarily closed,(032) 261 8210,http://www.golden-success.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
SME,2.5,(4),School,Tres Borces,Temporarily closed,0948 401 4519,,,,
Benedicto College,2.7,(3),College,"Benedicto, A. S. Fortuna St",Temporarily closed,(032) 422 2700,http://www.benedictocollege.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
MISNet-Education Cebu,5.0,(1),Trade school,Sergio Osmeña Jr Boulevard,Temporarily closed,(02) 8231 1618,,,,
Indiana School Of Hotel & Tourism,5.0,(1),School,Kagodoy Rd.,Temporarily closed,(032) 238 5128,http://www.iau.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Emo Language Studies Corporation,5.0,(6),University,"3rd Floor Samantabhadra Institute, Archbishop Reyes Avenue corner Juan Luna Avenue, Mabolo",Temporarily closed,(032) 505 8052,http://www.e-mo.co.kr/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
EV English Academy,4.2,(16),English language school,Nasipit 6000,Temporarily closed,(032) 505 3201,http://www.evenglish.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
ZA English,4.7,(6),English language school,"President, Ramon Magsaysay Ext",Closed today,(032) 384 6917,http://www.za-english.com/?page_id=9392,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
Cebu Languages ESL School- English Study Center- IELTS- TOEIC- Business English- Tour Philippines,4.3,(4),English language school,"Hadsan Cove Resort, Agus",Temporarily closed,0917 501 3286,http://www.cebulanguages.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Zapatera Elementary School,3.3,(6),Elementary school,Sikatuna St,Temporarily closed,(032) 412 6625,,,,
Cebu Eastern College,4.4,(24),College,Leon Kilat St,Temporarily closed,(032) 254 2761,,,,
University of San Carlos,4.2,(101),Private university,Gov. M. Cuenco Ave,Temporarily closed,(032) 230 0100,http://www.usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
College of Technological Sciences - Cebu,4.3,(11),College,Natalio B. Bacalso Ave,Temporarily closed,(032) 256 1302,,,,
Academy for Creating Enterprise,5.0,(2),School,8 Street Michael Rd,Temporarily closed,(032) 491 3798,https://academyforenterprise.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
University of the Philippines Cebu,4.6,(47),Public university,,Temporarily closed,(032) 232 2642,https://upcebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Salazar Colleges of Science and Institute of Technology,3.9,(15),College,Natalio B. Bacalso Ave,Temporarily closed,(032) 261 3036,http://www.scsit.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Sacred Heart School - Ateneo de Cebu,4.5,(57),Catholic school,H Abellana,Temporarily closed,(032) 345 4378,http://www.shs-adc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
"St. Cecilia's College - Cebu, Inc.",4.4,(14),Catholic school,Natalio B. Bacalso S National Hwy,Temporarily closed,(032) 490 8511,http://stceciliascollegeedu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
St. Francis of Assisi School (SFAS),3.2,(6),School,"Peace Valley, Wisdom St",Temporarily closed,(032) 410 5895,https://www.sfas.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
CIEC GLOBAL,5.0,(4),School,,Temporarily closed,0917 601 9171,http://www.ciecglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
University of Cebu,4.2,(96),Private university,Sanciangko St,Temporarily closed,(032) 255 7777,http://uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Department of Physics - University of San Carlos,2.5,(4),College,"College of Arts and Sciences, 5th Floor, Philip Van Engelen Building, Talamban Campus, Governor M. Cuenco Avenue, Talamban",Temporarily closed,(032) 346 4614,,,,
St. Theresa's College,4.8,(29),School,21 Juana Osmeña St,Temporarily closed,(032) 253 6337,http://www.stccebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
ITTI - International TEFL Training Institute Philippines,5.0,(5),School,"3/F Ranulfo Lim Building, F. Ramos St",Temporarily closed,0966 874 1896,https://ittiphilippines.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Babag 1 Elementary School,4.0,(4),Elementary school,Purok Butterfly,Temporarily closed,(032) 238 5128,http://www.deped.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
UP Cebu Professional Schools,5.0,(3),Public university,,Temporarily closed,0927 958 8109,https://up-professional-schools.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"AMA Computer College, Cebu Campus",3.3,(4),College,"AMA Bldg., 46 S. Cabahug Cor. Pres. Roxas St. Casals Village, Mabolo, Cebu City, 6000, Cebu",Temporarily closed,(032) 340 6461,,,,
Lyceum of Cebu,4.4,(14),School,Capitol Hills,Temporarily closed,(032) 255 1981,http://lyceum.cebucficoop.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
"Cebu Technological University - Cebu City Medical Center, College of Nursing",4.3,(4),Nursing school,17 D. Jakosalem St,Temporarily closed,(032) 256 2523,,,,
Adventist Academy Cebu,4.9,(26),School,Natalio B. Bacalso Ave,Temporarily closed,(032) 272 3226,http://www.evacademy.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
STI College - Cebu,3.0,(2),School,"Salinas Dr.,Lahug, Cebu City 6000",Temporarily closed,(032) 231 4984,http://www.sti.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
University of Cebu - Banilad Campus,4.0,(39),School,6000 Gov. M. Cuenco Ave,Temporarily closed,(032) 233 8116,https://www.finduniversity.ph/universities/university-of-cebu-banilad-campus/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Ibo Elementary School,4.0,(2),Elementary school,2633 M.L. Quezon National Highway,Temporarily closed,0926 572 6428,,,,
"University of San Jose - Recoletos, Main",4.4,(94),Private university,,Temporarily closed,(032) 253 7900,http://usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
University of the Visayas - Mandaue Campus,4.4,(5),Private university,"225 Plaridel Street, Mandaue City, 6014, Cebu",Temporarily closed,(032) 346 0941,https://www.finduniversity.ph/universities/university-of-the-visayas-mandaue-campus/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
University of San Carlos - South Campus,4.0,(15),Private university,J. Alcantara St,Temporarily closed,(032) 254 0117,http://usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Technological University - Main,2.0,(1),University,,Temporarily closed,(032) 256 2172,,,,Closing soon: 6:00 pm
Cebu Pelis Institute (CPI),4.2,(29),Language school,"Holy Family Road, Nivel hills",Temporarily closed,(032) 414 1784,https://www.facebook.com/cebucpi,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"People's Educational Supply, Incorporated",4.2,(45),Educational supply store,138 Colon St,Temporarily closed,(032) 255 4471,,,,
University Of The Philippines Open University,5.0,(2),University,"A.S Bldg, Gorordo Ave",Temporarily closed,(032) 231 3086,http://upcebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
CAP College Cebu,4.1,(8),Distance learning center,Osmeña Blvd,Temporarily closed,(032) 418 7378,http://www.capcow.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:30 pm
Southwestern University PHINMA,4.4,(53),Private university,Urgello Street,Temporarily closed,(032) 416 4680,http://swu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
University Of The Visayas - Registrars Office,4.8,(29),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 256 2630,https://www.universityofthevisayas.com/p/contact-us.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"St. Paul College Foundation, Inc.",2.7,(3),School,F. Ramos St,Temporarily closed,(032) 417 3845,,,,Open until 9:00 pm
Oprra National High School,3.0,(10),High school,Unnamed Road,Temporarily closed,(032) 520 5955,,,,
Cebu Educational Supply,5.0,(4),Educational supply store,"P. Del Rosario St, Cor. Don Pedro Cui",Temporarily closed,(032) 514 3668,,,,
Cebu Medical Review Center,3.3,(4),Nursing school,2nd Flr. ABG Bldg. Osmeña Blvd,Temporarily closed,(032) 245 4521,,,,
University of Cebu Lapu-Lapu & Mandaue,4.0,(3),Private university,"Main Building, University of Cebu Lapu-Lapu Mandaue, A. C. Cortes Ave",Temporarily closed,(032) 346 7461,http://lm.uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
University of the Visayas - Banilad Campus,4.0,(22),Private university,,Temporarily closed,(032) 416 1539,http://www.universityofthevisayas.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Globalization ESL Center Banilad Inc Campus,3.9,(12),School,Paseo Saturnino,Temporarily closed,(032) 234 3267,http://www.cebucg.com/jp/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
University Of The Visayas - Maritime College Office,5.0,(3),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 416 7884,http://uv.edu.ph/college-of-maritime-education/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Indiana Aerospace University,4.2,(18),School,"Magellan Business Park, Kagudoy Rd., Basak, Lapu-Lapu City, 6015, Cebu",Temporarily closed,(032) 340 0771,http://iau.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Cleverlearn Caregiver Training Center,4.3,(4),Learning center,"Cleverlearn Residences, Saac II,",Temporarily closed,(032) 495 9955,http://www.celicg.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Matias H. Aznar Memorial College of Medicine, Inc.",4.0,(5),Medical school,"MHAM Bldg, R. Duterte St",Temporarily closed,(032) 253 7900,http://www.mham.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
Tesda,4.4,(5),School,Lower Calajoan,Temporarily closed,(032) 346 0941,https://tesdacourse.com/Provincial-Training-Center---Cebu-Minglanilla-3418.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Don Bosco Technical College,4.7,(43),School,Pleasant Homes Subdivision,Temporarily closed,(032) 273 1127,http://www.dbtc-cebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Velez College,4.4,(9),College,41 F. Ramos St,Temporarily closed,(032) 253 1871,http://www.velezcollege.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
University Of Cebu - Lapu-Lapu and Mandaue,4.2,(96),Private university,A. C. Cortes Ave,Temporarily closed,(032) 345 6666,http://www.uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Indiana Aerospace University,4.2,(39),University,,Closed,(032) 236 2771,http://www.iau.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 10:00 am
"Southwestern University, School of Medicine",4.5,(68),School,J. Urgello St,Temporarily closed,(032) 416 4680,http://swu.edu.ph/home/schoolofmedicine,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Doctors' University,4.0,(36),University,1 Potenciano Larazzabal Avenue,Temporarily closed,(032) 238 2333,http://www.cebudoctorsuniversity.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:30 pm
University of Cebu - Mambaling Campus,4.6,(34),Private university,Alumnos St,Temporarily closed,(032) 253 0774,http://uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
TESDA,4.0,(1),University,General Maxilom Ave Ext,Temporarily closed,(032) 231 7276,,,,
Cebu Technological University - Main Campus,4.3,(73),Public university,"M.J. Cuenco Ave, Cor R. Palma Street",Temporarily closed,4121399,http://www.ctu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
SpectraPedia - Mandaue,5.0,(1),Occupational therapist,"Prestige Bldg, 1 P.J.Burgos",Closed today,0916 375 9861,https://spectrapedia-mandaue.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
MTM Korean School,5.0,(3),College,"Second Floor JY Square Mall, No. 1 Salinas Drive, Lahug",Temporarily closed,(032) 417 2378,,,,
TESDA Accredited Competency Assessment Center,4.4,(5),University,"University Of Southern Philippines Foundation, Incorporated, Salinas Drive, Lahug",Temporarily closed,(032) 414 8777,,,,
HIS Holy Infant School Montessori,4.0,(3),School,Bankal Road,Temporarily closed,(032) 505 0746,,,,Closing soon: 6:00 pm
Tubod Elementary School,5.0,(2),Elementary school,"Tubod, Purok 1, Minglanilla",Temporarily closed,0909 346 2559,,,,
Global Art,5.0,(2),Art school,"BTC Bldg, 2nd Floor, Gov. M. Cuenco Ave",Temporarily closed,(032) 316 8418,http://www.globalart.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Planet Montessori Int'l Educational Materials,5.0,(1),Educational supply store,002 Mansanitas Drive,Closed today,(032) 383 3186,https://montessoriphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Mandaue City College,5.0,(3),College,"Mandaue City Cultural and Sports Complex, Don Andres Soriano Ave., Centro, Mandaue City",Temporarily closed,(032) 236 5520,http://www.facebook.com/MANDAUECITYCOLLEGE,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Sandiego Dance Arts Studio,5.0,(1),College,"24, Kamuning Street, Capitol Site",Temporarily closed,(032) 262 6938,,,,
St. Paul College Foundation-Mandaue,4.0,(1),School,"Highway, Maguikay",Temporarily closed,(032) 253 7900,http://www.spcfi.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
University of San Carlos - Department of Political Science,4.0,(1),University,P. del Rosario Street,Temporarily closed,(032) 253 7193,,,,
Singapore School Cebu,4.3,(11),School,F.E. Zuellig Ave,Temporarily closed,(032) 236 5772,http://singaporeschoolcebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Navicare Maritime Online Review & Training Center,5.0,(3),Educational institution,"Room 306C, 3rd Floor, GMC Plaza Bldg, (In front of Plaza Independencia, Beside AA BBQ), Legaspi Extension",Temporarily closed,(032) 230 7652,http://fb.com/navicare2014,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
University of San Carlos - North Campus,4.3,(13),Private university,General Maxilom Ave,Temporarily closed,(032) 231 4012,http://www.usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
QQ English,3.6,(18),School,V. Padriga St,Temporarily closed,(032) 236 2771,http://www.qqeng.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 10:00 am
Gullas College of Medicine,4.4,(84),Medical school,,Closed,(032) 416 1539,https://gcm.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 7:30 am
Public Employment Service Office - Cebu Educational Development Foundation for Information Technolog,4.0,(36),Government office,"Asiatown IT Park, Jose Maria Del Mar Street, Apas, Lahug",Temporarily closed,(032) 412 7694,,,,Closing soon: 5:30 pm
TESDA Accredited Competency Assessment Center,3.5,(12),University,"Mezzanine Floor, FCB Financial Center, Center For Healthcare Professions, Incorporated, AC Cortes Avenue corner P. Burgos Street, Alang-Alang",Temporarily closed,(032) 420 1880,https://www.tesda.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Badjao Community,2.5,(2),School,,Temporarily closed,0942 216 1875,,,,
Baptist Theological College/Cebu Graduate School of Theology,4.6,(9),College,910 A. S. Fortuna St,Temporarily closed,(032) 345 0148,http://btccgst.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
"Ripple Kids Educational Services, Inc.",5.0,(1),English language school,"901, Keppel Bldg, Cardinal Rosales Avenue Cor Samar Loop",Temporarily closed,(032) 520 3549,http://www.ripple-kidspark.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
CIEC Village House,5.0,(2),English language instructor,"MINOZA ST. TALAMBAN, CEBUCITY",Temporarily closed,0917 601 9171,http://www.cebuivy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Uni - Star Educational and Office Supplies,5.0,(3),School supply store,438 Marciano Quizon,Temporarily closed,(032) 268 9959,,,,
"Educational Research and Development Assistance Foundation, Incorporated",4.0,(3),Non-profit organization,"Ismael Business Center, Lim Kakeng Building, M. J. Cuenco Avenue",Temporarily closed,(032) 253 8467,,,,Closing soon: 6:00 pm
"English Fella 1-Cebu English Academy, Cebu language School",4.5,(25),School,Hi-Way 11,Temporarily closed,(032) 343 3871,http://www.englishfella.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Department of Education - Divisional Offices (Lapu-Lapu City),5.0,(2),Education,B.M. Dimataga St,Temporarily closed,(032) 340 7887,http://www.deped.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
SMEAG 2nd Campus | CLASSIC,4.4,(58),Education,F. Gochan St,Closed today,(032) 231 6077,http://www.smenglish.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
"Minoza St., Brgy. Tigbao, Talamban, Cebu City, Cebu 6000, Philippines",4.3,(4),Pool academy,"Brgy. Tigbao, Talamban Rd",Temporarily closed,(032) 238 9302,http://www.cebuivyedu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Visayan Educational Supply Corporation,3.5,(8),School supply store,Magallanes St,Temporarily closed,(032) 256 0875,,,,
Visayan Educational Supply Corp.,4.3,(10),School supply store,,Temporarily closed,(032) 420 2292,,,,Closing soon: 6:00 pm
CIJ Sparta,4.3,(7),School,"08-302 PUROK MABINI, 6002",Temporarily closed,(032) 424 1299,http://www.cijacademy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Engineering For Kids,4.3,(11),Tutoring service,"BTC Building, Gov. M. Cuenco Ave",Temporarily closed,(032) 231 1529,https://engineeringforkids.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
IELTS Cebu,5.0,(3),Educational testing service,"Keppel Center, GF, Cardinal Rosales Ave",Temporarily closed,(032) 236 2758,http://www.idp.com/philippines/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
Eye Level,4.3,(13),Tutoring service,"MLD Bldg, Gov. M. Cuenco Ave",Temporarily closed,(032) 231 9736,http://www.myeyelevel.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Eye Level,3.6,(18),Learning center,"Chatswood Bldg, H. Cortes St. Cor A.S Fortuna St.",Temporarily closed,(032) 236 7800,http://www.myeyelevel.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 10:00 am
Grolier In Home Learning Expert,4.4,(84),Learning center,SM,Temporarily closed,(032) 416 1539,http://www.grolier-asia.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 7:30 am
IELTS,4.0,(36),Learning center,"Keppel Bldg, Cardinal Rosales Ave",Temporarily closed,(032) 412 7694,http://www.ielts.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:30 pm
Philippine School Of Culinary Arts,5.0,(3),Culinary school,"The Maxwell Hotel, N. G. Escario St.",Temporarily closed,(032) 505 4645,http://www.pscaculinary.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Doctor's University College of Medicine,5.0,(1),School,North Reclamation Area Mandaue City Cebu,Temporarily closed,(032) 253 4919,https://cebudoctorsuniversity.edu/college-of-medicine-requirements/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Compostela Science and Technology High School,4.7,(7),High school,Cogon,Temporarily closed,(032) 345 0148,https://www.edukasyon.ph/schools/compostela-science-technology-high-school,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
"Center For Educational Measurement, Inc.",4.2,(5),Student housing center,"Unit 104, Arbor Ville Building, 308-A Osmeña Blvd",Temporarily closed,(032) 256 3082,http://www.cem-inc.org.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Grolier,5.0,(2),Learning center,"SM City Cebu, Juan Luna Ave Corner Cabahug And Kaoshiung St",Temporarily closed,0922 849 1914,http://www.grolier-asia.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Kumon A.C. Cortes (Mandaue) Center,5.0,(3),Learning center,"Door 5 Rozen Building, A.C. Cortes Avenue",Temporarily closed,(032) 511 9069,http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Tesda Specialista Desk,3.0,(2),Educational testing service,"Robinsons Fuente Bldg., Fuente Osmeña Cir",Temporarily closed,(032) 887 7777,http://www.tesda.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
"Primary Structures Educational Foundation, Inc.",3.8,(4),,"SKILLS Campus, General Maxilom Ave",Temporarily closed,(032) 234 6102,https://www.skills.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
DepEd - Division of Mandaue City,5.0,(7),Government office,Jose L.Briones,Closed today,(032) 345 0545,http://www.depedmandaue.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Mynimo.com,4.2,(32),Employment center,"CIFC Tower, Juan Luna Ave Ext",Closed today,(032) 231 1252,http://www.mynimo.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rotary Club Of Mandaue East,4.3,(4),Government office,"2nd Floor Mango Square Mall, General Arcadio Maxilom Avenue",Temporarily closed,0922 880 5522,,,,Open until 9:00 pm
Rotary Club,1.0,(1),Government office,"YMCA Cebu, Osmeña Boulevard",Temporarily closed,(032) 414 9330,,,,
Rotary Club - Cebu Gloria Maris,4.3,(10),Government office,"Casino Espanol de Cebu, Ramos Street",Temporarily closed,(032) 340 3009,,,,Closing soon: 6:00 pm
Philippine Statistics Authourity,4.3,(7),Government office,"Gaisano Capital South, Colon St",Temporarily closed,(032) 256 0592,https://psa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
CIJ Classic,4.3,(11),English language school,J. Abad Santos St,Temporarily closed,(032) 236 3345,http://www.cijacademy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Technological University - Argao Campus,4.4,(8),University,Isidro Kintanar St,Temporarily closed,(032) 367 1714,http://www.ctu.edu.ph/tag/ctu-argao/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
Feed The Children,4.3,(13),Non-governmental organization,110 Gorordo Ave,Closed today,(032) 231 3310,http://www.feedthechildren.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Ramon Aboitiz Foundation Inc.,4.5,(56),Foundation,35 Eduardo Aboitiz St,Temporarily closed,(032) 411 1700,http://www.rafi.org.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:30 pm
Sun Life Financial,4.4,(84),Financial planner,"The North Atrium, M. C. Briones St",Closed,(032) 849 9888,http://www.sunlife.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am
"Rotary Club of El Pardo Foundation, Incorporated",4.0,(36),Non-profit organization,"Groundfloor, Mercedes Hotel, Pelaez Street",Temporarily closed,(032) 254 0033,,,,Closing soon: 5:30 pm
"Eternal Plans, Inc. - Cebu",1.8,(4),,"2nd Floor, Fortune Life Building, Osmena Boulevard, Cebu City, 6000, Cebu",Temporarily closed,(032) 416 8255,http://www.eternalplans.net.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Kumon Private (Cebu) Center,3.0,(1),Learning center,"Unit 102, JDC Building, J. Alcantara Street",Temporarily closed,(032) 418 1553,http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Insular Life Cebu Business Centre,4.7,(7),,"2/F Insular Life Cebu Business Centre, Mindanao Avenue Corner Biliran Road, Cebu Business Park, Cebu City, 6000, Cebu",Closed,(032) 230 1818,https://www.insularlife.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am
Kumon F. Cabahug (Kasambagan) Center,4.2,(5),Learning center,"Unit 2-5 2nd Floor, East Wing, Bonifacio District, F. Cabahug St",Temporarily closed,(032) 318 3656,http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"MISNet Education, Inc.",5.0,(2),School,"Unit 2402 Antel Corporate Center 121 Valero Street, Village, Salcedo",Temporarily closed,(02) 8846 8300,,,,
