section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-info 2,section-result-info 3,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-location
Mideast Scientific Medical Equipments and Services Inc.,2.2,(6),Medical supply store,Closed,Open until 12:00 am,(032) 234 5557,http://www.mideast.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"VR Apartelle, #575 Englis V Rama Ave"
Berovan Medical Supplies,1.3,(6),Medical supply store,,Open until 8:00 pm,(032) 520 9181,http://www.berovan.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"GF , Insular Square , 31 JP Rizal Street , Tabok , 6014 Mandaue City , Cebu"
De Asis Medical Clinic,5.0,(1),Medical clinic,Closed today,Closing soon: 6:00 pm,(032) 239 0068,https://de-asis-medical-clinic.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Tagunol St
Medic-Aid Distributor Incorporated,5.0,(1),Medical supply store,,Open until 8:00 pm,(032) 233 8298,,,,General Maxilom Avenue
D. Scribe Medical Transcription Services,2.3,(3),General practitioner,Closed,Opens at 9:00 am,(032) 254 9977,,,,"Dionisio Jakosalem Street, corner Pantaleon Del Rosario"
"Margaret S. Modequillo, MD @ Cebu City Medical Center",3.7,(22),Physician,Closed,Opens at 8:00 am,(032) 255 7141,,,,"Cebu City Medical Center, N. Bacalso Avenue, Cebu City, Cebu"
Diversified Medical Equipment Incorporated,3.8,(17),Medical supply store,Closed,Opens at 6:00 am,(032) 261 4945,,,,Salvador Extension
Saint Peter and Paul Medical Clinic Incorporated,5.0,(2),General practitioner,Closed today,Open until 9:00 pm,(082) 412 1197,,,,"3rd Floor, Aurelio Manor Building, 117-A Vicente Gullas Street"
Velez Medical Arts Building,4.5,(2),Hospital,(032) 418 5558,Closed today,Open until 10:00 pm,,,,
"Dennis M. Tudtud, MD@Visayas Community Medical Center",5.0,(3),General practitioner,Temporarily closed,Closing soon: 6:00 pm,(032) 253 1901,,,,"Visayas Community Medical Center, 85 Osmeña Blvd"
Intellicare,1.0,(1),Medical Center,Closed,Opens at 9:00 am,(032) 230 5400,,,,"2nd Level Sm City Cebu, Juan Luna Avenue Extension, North Reclamation Area"
Accredited OFW Medical Clinics & Hospital,5.0,(1),General practitioner,,Closing soon: 6:00 pm,(032) 511 2509,,,,"Zaff Jay Medilines, Incorporated, Annex 1, Century Plaza Commercial Complex, Juana Osmeña Street"
Nozomi Medical Laboratory and Diagnostic Services Incorporated,1.0,(1),General practitioner,Closed,Opens at 9:00 am,(032) 253 5405,,,,0399 Jasmin St
TOTAL HEALTH MEDICAL SERVICE JV CORP.,4.0,(1),Hospital,(032) 255 8520,,Open until 9:00 pm,,,,
Simbajon Medical Clinic,3.3,(8),General practitioner,Closed today,Open until 7:00 pm,(032) 272 4926,,,,"Jr Simbajon Building, Cebu South Road, Tabunoc, 6045"
MT Malazarte Medical Clinic,5.0,(3),Physician,Closed today,Closing soon: 5:30 pm,0917 114 9260,,,,"south national highway corner san roque road, Sandayong"
Dr. Elvira C. Cabarrubias Medical Clinic,5.0,(2),General practitioner,Closed,Closing soon: 6:00 pm,(032) 418 3211,,,,"2, Spolarium Street"
"Berovan Marketing, Inc",2.7,(3),Medical equipment supplier,Closed,Closing soon: 6:00 pm,(032) 254 6228,http://www.berovan.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Colon St
Mangoroban Tower Medical Clinic,3.0,(2),Physician,Closed today,Open until 10:00 pm,(032) 272 8914,,,,
"Richard V. Condor, MD @ Visayas Community Medical Center",3.4,(32),Orthopedic surgeon,Closed today,Opens at 8:00 am,(032) 253 8963,,,,"Visayas Community Medical Center, 85 Osmeña Blvd"
Trish Diagnostics,3.9,(8),Diagnostic center,Closed,Open until 12:00 am,(032) 238 4049,,,,A. Del Rosario St
"Berovan Marketing, Inc.",3.0,(6),Medical supply store,,Open until 6:30 pm,(032) 253 4379,http://www.berovan.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Osmeña Blvd
Berovan Marketing Inc,3.4,(5),Medical equipment supplier,(032) 239 0068,Closed today,Closing soon: 6:00 pm,http://www.berovan.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,16 Emilio Osmeña St
Perpetual Succour Hospital Cebu Cancer Institute,3.6,(5),Cancer treatment center,Closed today,Open until 8:00 pm,(032) 233 9399,https://www.perpetualsuccourcebu.com/cebu-cancer-institute,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"SPC Medical Specialty Center, Gorordo Ave"
Uy Medical Clinic Bldg,2.3,(3),Physician,Closed,Open until 2:30 am,(032) 261 2155,,,,"Corner N. Bacalso, Tres de Abril St"
Dr. Nelson V. Seno,3.7,(22),Occupational medical physician,Closed today,Opens at 8:00 am,(032) 354 9418,,,,J.M.Ceniza
"Jose Rizalito C. Catipay, MD @ Vicente Sotto Memorial Medical Center",3.8,(17),Physician,Closed,Opens at 6:00 am,(032) 253 9882,,,,"Chong Hua Hospital, J. Llorente Street, Cebu City, Cebu"
"Medical Clinic (Marissa Bernabe Tecso, M.D)",5.0,(2),Pediatrician,(082) 412 1197,Closed today,Open until 9:00 pm,,,,Rafael Rabaya Rd
Californian Bloom Medical Spa Cebu Branch,4.5,(2),Dermatologist,Closed today,Open until 8:00 pm,(032) 421 1918,http://californianbloom.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,National Hwy
"Albert L. Rafanan, MD, FCCP, FASSM, FPCP, FPCCP, FPSSM",5.0,(5),Pulmonologist,Temporarily closed,Closing soon: 6:00 pm,0905 339 7629,https://albert-l-rafanan-md-fccp-fassm-fpcp-fpccp-fpssm.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Chong Hua Medical Arts, Room 110, J Llorente St"
Prime Care Cebu by Medgruppe,2.9,(23),Diagnostic center,Closed,Open until 7:00 pm,(032) 232 2273,http://www.primecarecebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Prime Care Cebu @ APM CENTRALE, A. Soriano Ave"
Innogen Pharma Group Incorporated,5.0,(1),Medical supply store,,Closing soon: 6:00 pm,(032) 345 3890,,,,"766, Plaridel Street, Cambro"
"Blue Sky Trading Co., Inc.",1.0,(1),Medical supply store,Closed,Opens at 9:00 am,(032) 253 1361,http://www.bluesky.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,56-60 Plaridel St
Chase Dental Corporation,4.0,(1),Medical supply store,,Open until 9:00 pm,(032) 340 1772,,,,
Dr. Jocelyn P. Tunacao,5.0,(2),Pediatric clinic,Closed today,Open until 7:00 pm,(032) 232 2411,,,,"Mactan Community Hospital, Maximo V. Patalinghug Jr Avenue"
Uykingtian Dental Clinic,5.0,(3),Dental clinic,Closed today,Closing soon: 5:30 pm,(032) 256 3562,,,,"Rm. 210, Chong Hua Medical Arts Center, J. Llorente St., Cebu City"
Gonzales Dental Clinic Cebu,5.0,(4),Dental clinic,Closed,Closing soon: 6:00 pm,(032) 255 8368,,,,J.Lhorente Street Fuente Osmeña Chonghua Medical Arts Room 307 Cebu
Globo Asiatico Enterprises Inc.,4.0,(1),Medical supply store,Closed,Closing soon: 6:00 pm,(032) 412 0160,http://www.globoasiatico.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Gorordo Ave
Alpha Diagnostic Center,2.4,(8),Diagnostic center,Closed,Opens at 7:00 am,(032) 254 7305,https://www.facebook.com/Alpha-Diagnostic-Center-205202759529/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Corner General, F. Ramos st, Echavez Ext"
HighPoint Medical Clinic,3.4,(32),Medical clinic,(032) 253 8963,Closed today,Opens at 8:00 am,,,,
Sto. Nino Diagnostic Clinic,4.0,(3),Diagnostic center,Closed,Opens at 8:30 am,(032) 254 9485,,,,"A&D Building, B. Rodriguez St"
"Chong Hua Hospital Internal Medicine Department - General Medicine, Mejia, Athena Marjulie M.D.",4.3,(4),Physician,,Open until 6:30 pm,(032) 253 8868,http://www.chonghua.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Room #104, Chong Hua Medical Arts, Chong Hua Hospital, Fuente Osmeña, Cebu City, Cebu"
Dr. Michael Robert Dennis D. Fajatin Medical Clinic,3.4,(5),Medical supply store,Closed today,Closing soon: 6:00 pm,(032) 346 4907,,,,Talamban Road
"Matias H. Aznar Memorial College of Medicine, Inc.",4.0,(5),Medical school,Temporarily closed,Open until 8:00 pm,(032) 233 9399,http://www.mham.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"MHAM Bldg, R. Duterte St"
Kaiser Medical Center Inc. - SM Cebu,1.0,(1),Medical laboratory,Closed,Open until 8:00 pm,(032) 342 7133,http://kaiserhealthgroup.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"SM City Cebu, 2nd"
"Athena Marjulie C. Mejia, MD",3.7,(22),Physician,Closed today,Opens at 8:00 am,(032) 255 8000,http://chonghua.com.ph/index.php/Doctors/profile/138,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Room 301, Medical Arts Building, Chong Hua Hospital, J. Llorente Street, Cebu City, Cebu"
Cuizona Children's Medical Clinic,3.8,(17),Medical clinic,Closed,Opens at 6:00 am,(032) 511 1348,,,,"East Plaza Arcade, N. Bacalso ST. National Highway"
Jaca Billy C. Optical,5.0,(1),Ophthalmologist,Closed today,Open until 9:00 pm,(032) 253 5283,,,,"Chong Hua Medical Arts Center, 5Th Street, Capitol Site"
Mom and Kids Clinic,4.7,(11),Women's health clinic,Closed today,Closing soon: 6:00 pm,(032) 495 3725,https://www.facebook.com/momandkidstamiya/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"2nd Floor, E&P Arcade, Maximo V. Patalinghug Jr. Avenue, Lapu-Lapu City, Cebu, Maximo V. Patalinghug Jr. Avenue"
Myscribe Medical INc.,5.0,(5),Corporate office,0905 339 7629,Temporarily closed,Closing soon: 6:00 pm,http://www.myscribemedical.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"The North Atrium, M. C. Briones St"
Mendero Medical Center,2.4,(57),Hospital,Closed,Open until 7:00 pm,(032) 239 7151,http://www.menderohospitals.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Cebu N Rd
Reactive Medical Clinic Laboratory,5.0,(1),Medical laboratory,,Closing soon: 6:00 pm,(032) 341 1163,,,,Mondejar Building
Cebu Institute of Medicine,4.8,(24),Medical school,Temporarily closed,Opens at 9:00 am,(032) 253 6891,http://cim.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,F. Ramos Street
Juana Clinic Maternity & Medical Surgical Clinic,5.0,(1),Medical clinic,,Open until 9:00 pm,0923 431 2397,,,,Central Nautical Hwy
Fresenius Medical Care,5.0,(2),,(032) 232 2411,Closed today,Open until 7:00 pm,,,,800 M. P. Yap St
Lorenzo Diagnostic Laboratory,5.0,(3),Medical laboratory,Closed today,Closing soon: 5:30 pm,(032) 490 4870,,,,"Ward 1,Poblacion 6046"
Hi-Precision Diagnostics,4.2,(115),Medical laboratory,Closed,Closing soon: 6:00 pm,(032) 256 0151,https://www.hi-precision.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Wes Bldg., 28 J. Llorente St"
"Cebu Medical Supply, Inc.",5.0,(1),,Closed,Closing soon: 6:00 pm,(032) 254 2261,http://www.cebumedicalsupplyinc.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"2nd Floor Gallardo Bldg., 313 General Maxilom Ave. 6000"
MILOC Mega International Liquid Oxygen Corporation,2.4,(8),Oxygen equipment supplier,Closed,Opens at 7:00 am,(032) 344 2885,,,,728 M. L. Quezon Ave
Standford Medical And Diagnostic Clinic,3.4,(5),,Closed today,Opens at 8:00 am,(032) 253 9359,,,,"avon plaza, 80 Osmeña Blvd"
NEAC Medical Exams Application Center CEBU,4.0,(3),Business center,Temporarily closed,Opens at 8:30 am,(02) 3254 6623,https://www.medexamcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"212, Raintree Mall, 528 General Maxilom Ave"
Visayas Community Medical Center,3.9,(535),Community center,,Open until 11:59 pm,(032) 253 1901,http://vcmc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,85 Osmeña Blvd
Cebu Medical Society,4.0,(6),Association or organization,Closed today,Closing soon: 6:00 pm,(032) 232 4013,https://www.qcmedicalsociety.org/19-main-page/103-pma-109th-annual-convention.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Gov. M. Cuenco Ave., Banilad Road 6000"
Acusis,1.0,(1),Medical transcription service,Temporarily closed,Open until 8:00 pm,(032) 232 2924,http://www.acusisphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"2 Quad Bldg., Cardinal Rosales Ave"
Beauty Centrale - Medical Aesthetics Clinic,2.5,(2),Health and beauty shop,Closed,Open until 8:00 pm,(032) 490 1275,https://m.facebook.com/Beautycentrale,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Poblacion
Reactive Medical Laboratory and Xray,3.7,(22),,Closed today,Opens at 8:00 am,(032) 341 1163,,,,"Block B-3, 2nd Avenue, Mactan Export Processing Zone 6015, LApu Lapu City, Cebu"
Jivescribe,3.8,(17),Medical transcription service,(032) 511 1348,Closed,Opens at 6:00 am,http://www.jivescribe.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"106, Krizia Bldg, 110 Gorordo Ave"
N & M Medical Supply,5.0,(1),,(032) 253 5283,Closed today,Open until 9:00 pm,,,,17 F. Manalo St
JAC Medical Distributors,3.0,(1),Distribution service,Closed today,Closing soon: 6:00 pm,(032) 231 4766,,,,"Bliss Land Building, Pres. Aguinaldo St Villa Aurora"
Chong Hua Hospital,2.3,(52),Hospital,Temporarily closed,Closing soon: 6:00 pm,(032) 233 8000,http://www.chonghuahospital.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Mantawe Ave
VSMMC Lying-In Birthing Center,2.4,(57),Birth center,(032) 239 7151,Closed,Open until 7:00 pm,http://vsmmc.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,B. Rodriguez St
College Of Medical Technology,5.0,(1),College,Temporarily closed,Closing soon: 6:00 pm,(032) 341 1163,,,,"Matias, Urgello Street"
Shearwater Health,5.0,(1),Medical office,Temporarily closed,Open until 12:00 am,(032) 260 1275,https://swhealth.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"15F Lot 8, Block 1 Mabuhay Tower, Cebu IT Park"
Bodyworx Medical Spa,5.0,(1),Medical spa,,Open until 9:00 pm,(032) 479 2081,http://www.bodyworxmedicalspa.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Retail Unit 1, ground floor, Solinea residences tower 1, cebu business park, Cardinal Rosales Ave"
Perpetual Succour Hospital,3.4,(125),General hospital,Closed today,Open until 7:00 pm,(032) 233 8620,https://www.perpetualsuccourcebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Gorordo Ave
Ruflo Dental Clinic,4.8,(11),Dental clinic,Closed today,Open until 7:00 pm,(032) 415 5338,,,,"Unit 219, Colon Development Corp. Building, Osmeña Blvd"
Eye Optimal Optical Clinic,4.4,(14),Eye care center,Closed,Open until 9:00 pm,(032) 414 1600,,,,"JY Square IT Center, G/f, 1 Salinas Dr"
Asia Renal Care-Llorente,5.0,(1),Hospital,Closed,Closing soon: 6:00 pm,0917 592 7883,http://www.freseniusmedicalcare.asia/en/home/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,175 J. Llorente St
Women and Children’s Protection Unit or Pink Center,2.4,(8),Hospital,Closed,Opens at 7:00 am,(032) 253 9891,http://vsmmc.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,B. Rodriguez St
Dr.joan Lourdes Singidas,3.4,(5),Physician,Closed today,Opens at 8:00 am,(032) 266 0695,,,,"318 A, Mab-2, Gov. M. Roa St"
"Dr. Ignacio M. Cortes General Hospital, Inc.",3.3,(12),General hospital,Temporarily closed,Opens at 8:30 am,(032) 346 7850,,,,S.B. Cabahug
"Dr. Atillo, Eduardo",5.0,(2),Physician,,Open until 11:59 pm,(032) 344 4381,,,,"Perpetual Succour Hospital of Cebu Incorporated, Gorordo Avenue, Cebu City, Cebu"
"Marissa C. Talili, MD",4.0,(6),,Closed today,Closing soon: 6:00 pm,(032) 412 5838,,,,"Room 139, Visayas Community Medical Center, 85 Osmena Boulevard, Cebu City, Cebu"
VSMMC Doh Botica,1.0,(1),Pharmacy,Temporarily closed,Open until 8:00 pm,(032) 253 4423,http://www.vsmmc.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,B. Rodriguez St
Dr. Darwin L. Pitogo,4.8,(8),Pediatrician,Closed,Open until 8:00 pm,(032) 414 3779,,,,Maria Antonio Village
Gullas College of Medicine,4.6,(9),University department,Closed,Opens at 9:00 am,(032) 341 1163,https://www.uvgullasmedicalcollege.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Dionisio Jakosalem St
Grengia Maternity House,3.8,(17),General practitioner,Closed,Opens at 11:00 am,(032) 316 1643,,,,"A.Tumulak Street, Gun‐Ub"
Cebu Sagrada Corazon Health Services Incorporated,3.8,(26),,Closed today,Open until 9:00 pm,(032) 412 2925,,,,"City Savings Financial Plaza, 310 Osmeña Blvd"
Care and Cure Hub,2.9,(11),,Closed today,Open until 10:00 pm,(032) 416 5899,,,,"B2, Acc-PL2B , Alaya Mall Cebu, Archbishop Reyes Avenue , 6000 Cebu City , Cebu"
Dumdum Medical Clinic,3.8,(4),Hospital,Temporarily closed,Closing soon: 6:00 pm,(032) 333 2260,http://www.cebupublications.tumblr.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"F. Narvios St.,"
Velez College,4.4,(9),College,Temporarily closed,Open until 7:00 pm,(032) 253 1871,http://www.velezcollege.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,41 F. Ramos St
Tambut Medical Clinic,5.0,(1),Physician,(032) 341 1163,Temporarily closed,Closing soon: 6:00 pm,,,,Sangi
Kaiser International Health Group,4.3,(8),Health insurance agency,Temporarily closed,Closing soon: 6:00 pm,0935 971 0597,http://www.kaiserhealthgroup.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"2nd Floor, JY Square Mall, Salinas Dr"
UV Gullas College of Medicine,4.7,(23),College,,Closing soon: 5:30 pm,0943 232 6157,http://uvgullascollegeofmedicine.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Banilad, Mandaue City, 6014, Cebu, Philippines"
Acusis,3.4,(125),,Closed today,Open until 7:00 pm,(032) 232 2924,http://www.acusisphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"GF i1 Building, Jose Maria del Mar St"
"EastWest Healthcare, Inc.",4.8,(11),Cosmetics store,Temporarily closed,Open until 7:00 pm,(032) 255 3876,http://www.eastwesthealthcare.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Room 406A, Medical Arts Building II, Cebu Doctors University Hospital, Osmeña Boulevard"
"Shearwater Health Advisors, Inc",4.4,(14),Corporate office,Closed,Open until 12:00 am,(02) 600 1275,https://swhealth.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
PMAXGlobal,4.0,(11),BPO company,Closed,Closing soon: 6:00 pm,(032) 261 0856,http://www.pmaxglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,General Maxilom Ave Ext
Philhealth,2.1,(8),Local government office,Closed,Opens at 7:00 am,(032) 233 3270,http://www.philhealth.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Gorordo Ave
"EastWest Healthcare, Inc.",3.4,(5),Cosmetics store,Temporarily closed,Opens at 8:00 am,(032) 415 9505,http://www.eastwesthealthcare.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Room 12B, Medical Arts Building, Cebu North General Hospital, Kauswagan Road, Talamban"
Cebu Doctors' University (CDU),4.0,(21),Private university,Temporarily closed,Opens at 8:30 am,(032) 238 8333,http://www.cebudoctorsuniversity.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,North Reclamation Area Mandaue City Cebu
Food and Drug Administration,3.8,(21),Laboratory,Closed today,Open until 11:59 pm,(032) 420 9859,http://www.fda.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,North Road Jagobiao
University of Cebu,4.2,(96),Private university,Closed today,Open until 9:00 pm,(032) 255 7777,http://uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Sanciangko St
University of the Visayas - Main Campus,4.3,(66),Private university,Temporarily closed,Open until 8:00 pm,(032) 253 6173,http://uv.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Dionisio Jakosalem St
Dumdum Medical Clinic,5.0,(1),,Closed,Open until 8:00 pm,(032) 367 7342,,,,"M.J. Cuenco Street, Cambuhawe , 6041 Balamban , Cebu"
MGN Industrial Supply,5.0,(3),Trading company,Closed,Opens at 9:00 am,(032) 345 2445,,,,"E.O. Perez Street, FF Cruz Reclamation"
Family Savers,3.8,(17),Drug store,Closed,Opens at 11:00 am,(032) 564 2011,http://www.fda.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,S.B. Cabahug
Belo,3.8,(26),Beauty supply store,Temporarily closed,Open until 9:00 pm,(032) 234 2356,http://www.belomed.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"The Terraces, Ayala Center Cebu, Archbishop Reyes Ave. Cebu Business Park"
Shimadzu Philippines Corporation,5.0,(1),,Closed today,Open until 10:00 pm,(032) 254 9316,,,,Ma Cristina Bldg
Cebu Daily News,4.5,(27),Newspaper publisher,Closed,Opens at 8:00 am,(032) 232 7618,http://cebudailynews.inquirer.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Sergio Osmeña Jr Boulevard
3M,4.4,(9),Distribution service,Temporarily closed,Open until 7:00 pm,(032) 233 6839,http://www.3m.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"203, Cebu Holdings Center Building, Cardinal Rosales Ave"
3M,4.6,(5),General store,Temporarily closed,Closing soon: 6:00 pm,(032) 417 3583,,,,J. Alcantara St
Cebu Doctor's University College of Medicine,5.0,(1),School,Temporarily closed,Closing soon: 6:00 pm,(032) 253 4919,https://cebudoctorsuniversity.edu/college-of-medicine-requirements/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,North Reclamation Area Mandaue City Cebu
NEAC Medical Exams Application Center,4.3,(18),Consultant,Temporarily closed,Closing soon: 5:30 pm,(02) 3485 0853,https://medexamcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"2nd Floor St. Thomas Square Corner Padre Campas Street Espana Boulevard, Sampaloc"
Vanderbilt University Medical Center,3.5,(600),Medical clinic,Closed today,Open until 7:00 pm,+1 615-322-5000,http://vanderbilthealth.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1211 Medical Center Dr
Loma Linda University Medical Center,3.5,(444),Medical clinic,Temporarily closed,Open until 7:00 pm,+1 909-558-4000,https://lluh.org/?utm_source=google-local&utm_medium=organic&utm_campaign=yext,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,11234 Anderson St
Rush University Medical Center,3.8,(591),Hospital,Closed,Open until 12:00 am,+1 312-942-5000,https://www.rush.edu/?utm_source=listing&utm_medium=organic&utm_campaign=yext,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1620 W Harrison St
UW Medical Center - Northwest | Seattle Hospital,3.2,(166),General hospital,Closed,Closing soon: 6:00 pm,+1 877-694-4677,https://www.uwmedicine.org/locations/northwest-hospital?utm_source=google&utm_medium=organic&utm_campaign=local_seo,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1550 N 115th St
Mercy Medical Center,3.2,(176),Medical clinic,Closed,Opens at 7:00 am,+1 516-705-2525,http://mercymedicalcenter.chsli.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1000 N Village Ave
Medical University of South Carolina,3.9,(361),University hospital,Temporarily closed,Opens at 8:00 am,+1 843-792-1414,https://www.muschealth.org/?y_source=1_MTI2NTc3MDQtNzE1LWxvY2F0aW9uLndlYnNpdGU=,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,171 Ashley Ave
Niagara Falls Memorial Medical Center,2.6,(115),General hospital,Temporarily closed,Opens at 8:30 am,+1 716-278-4000,http://www.nfmmc.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,621 10th St
PeaceHealth Southwest Medical Center,2.6,(224),Medical Center,Closed today,Open until 11:59 pm,+1 360-514-2000,http://www.peacehealth.org/southwest,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,400 NE Mother Joseph Pl
Cincinnati Children's Hospital Medical Center,4.1,(472),Children's hospital,Closed today,Open until 9:00 pm,+1 513-636-4200,https://www.cincinnatichildrens.org/?utm_source=local&utm_medium=organic&utm_campaign=gmb,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3333 Burnet Ave
Augusta Regional Clinic,4.5,(10),Medical clinic,Closed,Opens at 8:00 am,+1 540-221-6723,http://augustafreeclinic.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,342 Mule Academy Rd
Hackensack Meridian Health Hackensack University Medical Center,4.2,"(2,359)",Medical Center,Closed,Open until 8:00 pm,+1 551-996-2000,http://www.hackensackumc.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,30 Prospect Ave
