section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,section-result-info 3
Vitadent Dental Clinic,5.0,(3),Dental clinic,332 Junquera St,Closing soon: 6:00 pm,(032) 516 0573,,,,Closed
Fernando Dental Clinic,5.0,(2),Dental clinic,Sitio Sta. Cruz,Closing soon: 5:30 pm,0922 362 7380,,,,Closed
"Point Of Care Acupuncture Clinic, Cebu",5.0,(1),Acupuncture clinic,"Unit 504 Winland Towers Condominium, Juana Osmeña Extension Road",Open until 9:00 pm,0908 862 5387,http://www.acupuncturebohol.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Dr.Daryl Patrick Diez Dental Clinic,1.0,(1),Dental clinic,"Gee Ann JE Building, A. Apostol Street, Calajo-an Minglanilla",Closing soon: 5:30 pm,(032) 254 4568,,,,Closed
Boromeo Dental Clinic,5.0,(1),Dental clinic,Juan Luna Ave Ext,Open until 9:00 pm,(032) 412 8448,,,,Closed today
Doctora Richelita G Acas Dental Clinic,1.0,(4),Dental clinic,"3rd Floor Appliances Building, Cebu South Road, Tabunok",Closing soon: 6:00 pm,(032) 491 1462,,,,
HBS FAMILY DENTAL CLINIC,5.0,(1),Dental clinic,"F. Cabahug corner H. Cortes Streets, Subangdaku",Opens at 9:00 am,0922 693 3055,,,,Closed
Dr. Joanne Florence Paray Alesna Dental Clinic,5.0,(1),Dental clinic,"Room 202 Conchita Bldg.,, 311 Jones Ave",Opens at 5:30 pm,(032) 406 8811,,,,Closed
Marites Castro Dental Clinic,5.0,(2),Dental clinic,497 Lower Pakigne,Opens at 7:00 am,(032) 491 3772,,,,Closed
Tampus Dental Clinic,5.0,(1),Dental clinic,"Ata, Poten, 653 D. Jakosalem St., Cebu City, 6000",Closing soon: 6:00 pm,(032) 415 5197,https://www.facebook.com/Tampusdentalclinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Uykingtian Dental Clinic,4.0,(1),Dental clinic,"Rm. 210, Chong Hua Medical Arts Center, J. Llorente St., Cebu City",Closing soon: 6:00 pm,(032) 256 3562,,,,Closed today
Dr.Cynthia Gayatin,5.0,(3),Dental clinic,LK BUILDING,Opens at 8:00 am,(032) 422 1428,http://ph.near-place.com/dr-cynthia-gayatin-lk-building-subangdaku-mandaue-city,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Affinity Dental Clinics Cebu,4.6,(41),Dental clinic,"eBloc 2 Tower, G/F,Lahug IT Park, W Geonzon St",Open until 7:00 pm,0917 632 5718,http://www.affinitydentalclinics.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Cool and Green Dental Clinic,4.1,(11),Dental clinic,A. Del Rosario St,Open until 8:00 pm,(032) 520 7998,,,,Closed
Metro Dental,1.7,(6),Dental clinic,"2nd Floor, SM City Cebu, Juan Luna Avenue Extension",Open until 9:00 pm,(02) 8548 4788,https://www.metrodental.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Hi-Precision Diagnostics,3.8,(29),Diagnostic center,"Diamond Plaza - Bldg. 2. M.C. Briones National Highway, 6014",Opens at 6:00 am,(032) 888 2222,https://www.hi-precision.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Dentview Dental Clinic,5.0,(1),Dental clinic,F. Cabahug St,Open until 7:00 pm,(063) 512 2493,http://dentview-wordpress.comxa.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Dr. Cliff Joie M. Culanag Dental Clinic,4.8,(11),Dental clinic,"349 A. Del Rosario Street, Guizo",Open until 7:00 pm,(032) 420 2343,,,,Closed
Watin-Gamo Dental Clinic,1.0,(1),Dental clinic,"2nd floor BF Strip Building,M.L. 6015, M.L. Quezon National Highway",Closing soon: 6:00 pm,(032) 342 0132,https://www.dentaldepartures.com/dentist/gamo-dental-clinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Lloyd F. Barino Dental Clinic,2.0,(1),Dental clinic,"Agencia Nino Bldg, 191 Osmeña Blvd",Open until 8:00 pm,(032) 316 4509,,,,Closed today
Ortho-Dental Clinic,5.0,(3),Dental clinic,San Isidro Road,Closing soon: 6:00 pm,(032) 491 7048,,,,Closed
SKIN DOCTORS FACIAL AND COSMETIC CLINIC,4.5,(12),Dermatologist,,Open until 6:30 pm,0943 256 1565,https://www.facebook.com/skindoctorsclinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Johanna Flordelis Dermatology Clinic,5.0,(1),Hospital,"Skin Care Clinic 2nd Floor Perpetual soccur, Gorordo Ave",Open until 9:00 pm,(032) 232 5929,,,,Closed today
Ibon Dental Clinic,1.0,(1),Dental clinic,Katipunan St,Closing soon: 5:30 pm,0932 170 4149,,,,Closed
Dr. Jesus M. Manubag Jr. Dental Clinic,5.0,(1),Dental clinic,"shop 115, raintree mall, 528 General Maxilom Ave",Open until 9:00 pm,(032) 254 1146,,,,Closed today
Dr.Sariah Mia Villanueva San Gabriel Dental Clinic,1.0,(4),Dental clinic,"Level 4 Room 433 Robinsons Cybergate, Osmeña Boulevard, Fuente Osmeña",Closing soon: 6:00 pm,(032) 239 0790,,,,
Dr. Phoebe Omolon-Kilat Dental Clinic,5.0,(1),Dental clinic,"Athecor Building, Lopez Jaena Street",Opens at 9:00 am,(032) 422 5575,,,,Closed
Estrera Dental Clinic,5.0,(17),Dental clinic,Katipunan St,Open until 7:00 pm,0933 191 6488,https://www.facebook.com/pages/Estrera-Dental-Clinic/679390085501459,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Metrodent Dental Clinic,5.0,(1),Dental clinic,"Room 201, Sonrisa Suites Bldg. Juana Osmeña Street Cebu City, Cebu City",Closing soon: 6:00 pm,(032) 262 3966,https://m.facebook.com/Metrodentdentalclinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Buqueron Dental Clinic,5.0,(2),Diagnostic center,J. Llorente St,Opens at 2:00 am,0922 820 2935,https://m.facebook.com/dentalclinicmactan,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Hi-Precision Diagnostics,3.7,(22),Medical diagnostic imaging center,"South National Highway, Tabunok",Opens at 6:00 am,(032) 236 6277,https://www.hi-precision.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Ohana Dental Clinic,5.0,(12),Dental clinic,F. Cabahug St,Open until 6:30 pm,0922 212 0477,https://ohanadentalph.wixsite.com/clinic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Rubbers and Wires Dental Clinic,5.0,(6),Dental clinic,"Unit A6, Cardoc Building, 5 General Maxilom Ave",Opens at 9:00 am,0923 869 4322,https://rubbers-and-wires-dental-clinic.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Dental Clinic,4.1,(11),Dental clinic,Quezon National Hwy,Open until 8:00 pm,(032) 341 8076,,,,Closed
RnB Dental Clinic,5.0,(1),Dental clinic,"G/F Cebu Business Hotel, Colon St",Closing soon: 6:00 pm,(032) 238 5004,https://www.whatclinic.com/dentists/philippines/cebu-city/rnb-dental-clinic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Perpetual Succour Hospital,3.4,(125),General hospital,Gorordo Ave,Opens at 6:00 am,(032) 233 8620,https://www.perpetualsuccourcebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Acas Dental Clinic,5.0,(3),Dental clinic,"Cebu Appliance Center, National Highway",Open until 7:00 pm,(032) 491 7386,,,,Closed
Sparklane Dental Clinic,3.7,(3),Dental clinic,9 Molave St,Open until 7:00 pm,(032) 360 0667,,,,Closed
Acupuncture Clinic - Lim,4.0,(1),Acupuncture clinic,"6000, 207 V Rama Ave",Opens at 10:00 am,(032) 253 6648,,,,Closed
Torres Dental Care,2.0,(1),Dental clinic,Candido Padilla St,Open until 9:00 pm,0920 605 0787,,,,Closed today
Dr. Grauel Dental Clinic,5.0,(3),Dental clinic,"Room 203, marcian building,",Opens at 8:00 am,0942 506 8001,,,,Closed
Garcia Children's Clinic,4.5,(12),Pediatrician,"Arbs Arcade, Jose Rizal St",Open until 6:30 pm,(032) 512 1571,,,,Closed
Tropique Dental Clinic,5.0,(1),Dental clinic,,Closing soon: 6:00 pm,(032) 266 9211,,,,Closed today
Galang Dental Clinic,1.0,(1),Dental clinic,"Rabaya Road, Kimba Consojong",Closing soon: 5:30 pm,(032) 273 3008,,,,Closed
G-T Dental Clinic,4.7,(3),Dental clinic,G.Y. Dela Serna St,Open until 9:00 pm,0926 111 1723,,,,Closed today
Omega Dental Clinic,1.0,(4),Dental clinic,"Suite 205 Level 2 Cocomall, Osmena Boulevard",Closing soon: 6:00 pm,(032) 253 5864,,,,
Happy Teeth,4.2,(6),Dental clinic,Quezon National Hwy,Opens at 9:00 am,(032) 260 8073,,,,Closed
Perpetua Dental Clinic,5.0,(7),Dental clinic,Rafael Rabaya Rd,Open until 7:00 pm,(032) 272 1745,,,,Closed
DMV Dermatology Clinic,4.4,(13),Dermatologist,"The Greenery, Pope John Paul II Ave",Closing soon: 6:00 pm,(032) 415 3927,,,,Closed
Eye-Dental Clinic,5.0,(2),Dental clinic,Buhisan Rd,Opens at 2:00 am,(032) 264 8038,,,,Closed
Bucad Dental Clinic,3.7,(22),Dental clinic,Cebu S Rd,Opens at 6:00 am,(032) 273 0850,,,,Closed
Borromeo Dental Clinic,4.5,(8),Dental clinic,96 F. Ramos St,Closing soon: 6:00 pm,(032) 266 7368,https://www.whatclinic.com/dentists/philippines/cebu-city/borromeo-dental-clinic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Pamela's Dental Clinic and Supply,2.9,(7),Dental clinic,"31 V Sambag 2, Urgello St",Opens at 9:00 am,(032) 253 8650,,,,Closed
Dr mae abella dental clinic,4.5,(6),Dental clinic,J. Alcantara St,Open until 9:00 pm,(032) 416 2939,,,,Closed
Flores Dental Clinic,4.5,(15),Dental clinic,"JL Building, Don Jose Avila St. corner Don Gil Garcia St, 6000 Osmeña Blvd",Closing soon: 6:00 pm,(032) 505 7697,https://dentalimplantholiday.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
CM Dental Clinic,5.0,(2),Dental clinic,Wow St,Closing soon: 6:00 pm,0956 183 3773,,,,Closed today
Cebu Dentist - Dr. Lynnette L. Chu,4.3,(15),Dentist,"Rm 10 Cebu Filipino-Chinese Chamber of Commerce Bldg., J. Llorente Street",Opens at 9:00 am,(032) 412 0067,http://cebudentist.weebly.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Niñal Dental Clinic,2.2,(15),Dental clinic,Urgello St.,Opens at 8:30 am,(032) 253 7861,https://www.facebook.com/pages/Ni%C3%B1al-Dental-Clinic/540655485998778,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Dr. Danilo Q. Munoz Dental Clinic,4.1,(14),Dental clinic,A.S.Fortuna,Opens at 9:00 am,0917 772 7088,,,,Closed
Ruiz & Sabinay Dental Clinic,5.0,(5),Dental clinic,"Mercado Bldg, 10, Gorordo Ave",Open until 6:00 am,(032) 412 9567,https://ruiz-sabinay-dental-clinic.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Alday Dental Clinic,5.0,(2),Dental clinic,31 Ibabao - Gisi - Agus Rd,Opens at 9:00 am,0917 771 7779,,,,Closed
Gonzales Dental Clinic Cebu,5.0,(4),Dental clinic,J.Lhorente Street Fuente Osmeña Chonghua Medical Arts Room 307 Cebu,Open until 6:30 pm,(032) 255 8368,,,,Closed
Vision Express SM Seaside Cebu,3.7,(3),Optician,"2nd Level SM Seaside City Cebu, Reclamation Area, Cebu South Coastal Rd",Open until 8:30 pm,(032) 233 1480,https://www.visionexpress.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Edem Dental Clinic (city time square 2),3.0,(2),Dental clinic,Mantawe Ave,Closing soon: 6:00 pm,(032) 328 0511,https://edemdentalclinic.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Doctor Spencer Nicolas V Lee Dental Clinic,4.4,(5),Dental clinic,"Unit 221, Coco Mall, Osmeña Boulevard",Open until 9:00 pm,0927 384 5576,,,,Closed today
LH Prime Medical Clinic Consolacion,3.5,(20),Medical clinic,"Cansaga, National Highway",Closing soon: 6:00 pm,0917 816 9368,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Bonsol Dental Clinic,5.0,(2),Dental clinic,Gov. M. Cuenco Ave,Opens at 9:00 am,(032) 416 1027,,,,Closed
Majan Dental Clinic,5.0,(1),Dental clinic,18 General Maxilom Ave,Open until 7:00 pm,(032) 233 4760,,,,Closed
Dr. Leilani Tacandong Nuñez Dental Clinic,3.0,(2),Dental clinic,"Pantaleon del Rosario Street, corner Dioniso Jacosalem Street",Opens at 9:00 am,(032) 254 9117,,,,Closed
Dr.Antonio Alfredo Nemenzo Dental Clinic,5.0,(6),Dental clinic,"R Aboitiz Street, St. Patrick Square",Opens at 8:30 am,(032) 253 3206,,,,Closed
Dabad Dental Clinic-Cebu (Official),4.5,(2),Dental clinic,,Closing soon: 6:00 pm,0942 183 9826,,,,Closed
Dr. Annalyn Daclan - Casinay Dental Clinic,5.0,(2),Dental clinic,P. Del Rosario corner Jakosalem Streets,Closing soon: 6:00 pm,(032) 354 9558,,,,Closed today
Pearly Whites Dental Clinic,5.0,(4),Dental clinic,"Hair Cafe, JDA Building Ground Floor, Paradise Village Corner Luce",Closing soon: 6:00 pm,(032) 233 5040,https://pearly-whites-dental-clinic.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Cebu Dental Implants - Zugbu Aesthetic Dental Clinic,5.0,(8),Dental implants periodontist,"2nd floor , 203, Krizia Blg, Gorordo Ave",Open until 5:00 am,(032) 231 4618,http://cebudentalimplants.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Tooth Fairies Dental Clinic,4.5,(15),Dental clinic,Robinsons Cybergate,Closing soon: 6:00 pm,(032) 505 7697,,,,Closed
"Dr. Sandra Villamor, Ophthalmology",4.3,(4),General practitioner,"Room 118, Mactan Doctors Hospital, Maximo V. Patalinhug Jr. Avenue",Closing soon: 6:00 pm,(032) 495 9234,,,,Closed today
Bequilla Dental Clinic- Gaisano Capital SRP,3.8,(253),Dental clinic,"2nd Flr. Gaisano Capital SRP San Roque, SRP Highway",Open until 7:00 pm,(032) 341 4443,https://bequilla-dental-clinic.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
"Dr. Pierre M. Mella - Spine and Orthopaedics Cebu (Minimally Invasive Spine Surgery, Spine Oncology, Orthopedics)",5.0,(11),Medical clinic,Mantawe Drive Chong Hua Hospital Mandaue 9th Floor (Mon -Fri 2-5pm University of Cebu Medical Center ground floor (Mon - Sat 930am -12noon,Opens at 10:00 am,(032) 253 4029,https://dr-pierre-m-mella-minimally-invasive.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Dr. Virgil Urgel,4.1,(14),General practitioner,"2nd Floor Fortune Life Building, Osmeña Boulevard",Opens at 9:00 am,(032) 253 8282,,,,Closed
Dr.Gerry Tan,5.0,(3),Physician,Gov. M. Roa St Cor. M.P. Yap St,Open until 6:00 am,(032) 253 5460,https://docgerrytan.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Grengia Maternity House,5.0,(2),General practitioner,"A.Tumulak Street, Gun‐Ub",Opens at 11:00 am,(032) 316 1643,,,,Closed
Maxicare,5.0,(4),General practitioner,"Pediatric Cardiology, Pediatric Pulmonology, Pediatrics - Rudy A. Amatong, Cebu Velez General Hospital, Incorporated, F. Ramos Street",Open until 6:30 pm,(032) 253 1871,https://www.maxicare.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Maxicare,3.7,(3),General practitioner,"Achilles Cortes - General Surgery, Chong Hua Hospital, Llorente Street, Fuente Osmeña Avenue",Open until 8:30 pm,(032) 254 1460,https://www.maxicare.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
MCA Animal Care Clinic,4.0,(42),Animal hospital,Cebu S Rd,Closing soon: 6:00 pm,(032) 236 6457,,,,Temporarily closed
Chiropractic Clinic,4.2,(5),Chiropractor,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Open until 7:00 pm,(032) 233 1171,http://www.chiropractic.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
LH Prime Medical Clinic Minglanilla,4.2,(6),Medical laboratory,"Corner San Roque, Sandayong",Opens at 6:00 am,(032) 384 4881,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
LR Medical Laboratory and Clinic,3.5,(2),Medical laboratory,"Adela Building, 2nd Floor, General Maxilom Ave",Opens at 8:00 am,(032) 410 7485,,,,Closed
Mabuhay Chiropractic Clinics SM City Cebu,4.8,(22),Chiropractor,"Unit 313, 3rd Floor, North Wing, SM City Cebu",Opens at 10:00 am,0915 163 0047,https://www.chiropractic.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Mabuhay Chiropractic Clinics SM Seaside City Cebu,4.4,(21),Chiropractor,"U-3068, 3rd Floor, SM Seaside City Cebu, South Road Properties",Closing soon: 6:00 pm,(032) 328 8657,https://www.chiropractic.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Pardo Animal Clinic,3.8,(12),Veterinary care,Natalio B. Bacalso Ave,Opens at 8:30 am,(032) 272 0607,,,,Temporarily closed
Pets in the City Veterinary Clinic & Grooming Services,4.6,(32),Veterinarian,,Closing soon: 6:00 pm,(032) 254 8352,https://www.facebook.com/petsinthecitycebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Good News Medical Clinic,4.5,(8),,A.S. Fortuna St,Closing soon: 6:00 pm,(032) 236 0944,http://www.goodnewsmedicalclinic.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Pet in the city,4.0,(7),Pet store,"Nasipit Commercial Plaza, Nasipit Road",Closing soon: 6:00 pm,(032) 236 3834,,,,Temporarily closed
"Health Delivery System, Inc.",5.0,(2),Insurance agency,"General Surgery Department, Dr. Shawn Espina, Chong Hua Hospital, Don Mariano Cui Street, Capitol Site",Open until 5:00 am,(032) 253 9409,https://www.healthfirst.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Metrobank ATM,4.0,(3),ATM,"Osmeña Blvd Cebu City ( within the E.R. Entrance between, Potencia Lazzarabal III and Philip Lazzarabal Clinic near China Bank )",Closing soon: 6:00 pm,(032) 232 1727,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Kevlo Mango Branch Cebu,3.0,(4),Beauty supply store,"2, Josefa Arcade, General Maxilom Ave",Open until 8:00 pm,0932 857 7604,https://www.facebook.com/kevlomangocebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Hygieia Pharmacy,3.8,(253),Pharmacy,Door 3 CT Bldg,Open until 9:00 pm,(032) 512 8658,https://www.facebook.com/ArcibalMedicalClinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
R-beaute Philippines,5.0,(6),Hair salon,"#1 Villalon Drive Capitol Road, cor Providence Street",Opens at 10:00 am,(032) 326 6572,,,,Temporarily closed
Joshua,3.8,(6),Animal hospital,Central Nautical Hwy,Open until 9:00 pm,(032) 424 1794,,,,Closed
The Greenery,4.5,(42),Corporate office,Pope John Paul II Ave,Opens at 9:00 am,(032) 234 0795,,,,Closed
Stuttgart Army Health Clinic,2.9,(15),Medical clinic,Illinoisstraße,Open until 4:30 pm,+49 6371 94642900,https://ermc.amedd.army.mil/stuttgart/index.cfm,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Kent Teen Clinic,4.5,(4),Family planning center,25742 104th Ave SE,Opens at 8:00 am,+1 206-477-6950,http://www.kingcounty.gov/healthservices/health/locations/teenclinics.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Entira Family Clinics - East Side,3.8,(19),Medical clinic,1385 Phalen Blvd,Opens at 7:00 am,+1 651-776-2719,http://www.entirafamilyclinics.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
C. L. Brumback Primary Care Clinics-Belle Glade Clinic,3.1,(7),Medical clinic,941 SE 1st St,Opens at 8:00 am,+1 561-996-6156,https://www.brumbackclinics.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Entira Family Clinics - Inver Grove Heights,4.3,(20),Medical clinic,2980 Buckley Way,Opens at 8:00 am,+1 651-788-4444,http://www.entirafamilyclinics.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
South Hill Opt Clinic,3.5,(8),Reproductive health clinic,1193 Kingsway #202,Closing soon: 6:00 pm,+1 604-731-4252,https://www.optionsforsexualhealth.org/providers/south-hill-opt-clinic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Wasatch Medical Clinic,4.2,(20),Medical clinic,310 E 4500 S Suite 410,Opens at 7:00 am,+1 801-904-3454,http://www.wasatchmedicalclinic.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Vancouver Options for Sexual Health Clinic,2.9,(11),Reproductive health clinic,4500 Oak St,Open until 10:00 pm,+1 604-731-4252,https://www.optionsforsexualhealth.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Mayo Clinic Health System - Franciscan Healthcare,3.4,(8),Medical clinic,1303 S Main St South,Opens at 8:00 am,+1 608-526-3351,http://mayoclinichealthsystem.org/locations/holmen,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Entira Family Clinics - Como/Roseville,3.4,(19),Medical clinic,1050 Larpenteur Ave W,Opens at 8:00 am,+1 651-487-2831,http://www.entirafamilyclinics.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Mayo Clinic Health System,5.0,(1),Medical Center,700 West Ave S,Open until 12:00 am,+1 608-785-0940,https://mayoclinichealthsystem.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
London Women's Clinic,3.6,(68),Fertility clinic,113-115 Harley St,Open until 5:30 pm,+44 20 7563 4309,https://www.londonwomensclinic.com/clinics/harley-street/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Augusta Regional Clinic,4.5,(10),Medical clinic,342 Mule Academy Rd,Opens at 8:00 am,+1 540-221-6723,http://augustafreeclinic.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Mayo Clinic Health System,3.6,(62),Medical clinic,"Luther Campus, 1221 Whipple St",Open until 5:00 am,+1 715-838-3311,http://mayoclinichealthsystem.org/locations/eau-claire?mc_id=&utm_source=yext&utm_medium=l&utm_content=eauclaireluthergeneral&utm_campaign=mchsmarketing&geo=eauclaire&placementsite=nwwi&invsrc=mchsnwwi&cauid=110704,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
