section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 3,section-result-description
Cebu Doctors’ University Hospital,3.8,(96),Medical Center,Osmeña Blvd,Temporarily closed,(032) 255 5555,http://cebudocgroup.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of Cebu Medical Center - UCMed,3.3,(105),General hospital,A1 Ouano Avenue,Temporarily closed,(032) 517 0888,https://ucmed.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,
University of San Carlos - Department of Accountancy,5.0,(3),University department,"P. del Rosario Street, Cebu City, 6000, Cebu",Temporarily closed,(032) 253 5495,http://www.usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Cebu Doctor's University College of Medicine,5.0,(1),School,North Reclamation Area Mandaue City Cebu,Temporarily closed,(032) 253 4919,https://cebudoctorsuniversity.edu/college-of-medicine-requirements/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of the Philippines Cebu Arts and Sciences Building,5.0,(2),University department,,Temporarily closed,(032) 516 7010,http://www.upcebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of the Visayas,5.0,(1),,"A. Soriano Avenue , North Reclamation Area , 6000 Cebu City , Cebu",Temporarily closed,(032) 268 9432,http://uv.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
The University of Western Australia,4.3,(340),University,35 Stirling Hwy,Closed today,+61 8 6488 6000,http://www.uwa.edu.au/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Leading university established in 1911
The University of Queensland,4.5,(581),University,,Closed today,+61 7 3365 1111,http://www.uq.edu.au/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Riverside multi-discipline school campus
University of Calgary,4.1,(373),University,2500 University Dr NW,Temporarily closed,+1 403-220-5110,https://www.ucalgary.ca/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Sizable public research school
College of Computer Studies,3.8,(178),University department,,Temporarily closed,(032) 262 7281,http://www.cit.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 10:00 am,
University of Victoria,4.3,(339),University,,Closed,+1 250-721-7211,https://www.uvic.ca/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:30 am,Midsize public research school
University of Southern California,4.5,"(1,105)",University,,Temporarily closed,+1 213-740-2311,http://usc.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Private university established in 1880
University of Saskatchewan,4.3,(247),University,,Temporarily closed,+1 306-966-4343,http://www.usask.ca/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,Public research school founded in 1907
Princeton University,4.6,(936),University,,Temporarily closed,+1 609-258-3000,http://www.princeton.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Ivy League school founded in 1746
University College London,4.3,(626),University,London,Temporarily closed,+44 20 7679 2000,https://www.ucl.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm,
Stanford University,4.6,"(2,559)",University,Stanford,Temporarily closed,+1 650-723-2300,http://www.stanford.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Private research school founded in 1885
University of London,4.5,(249),University,London,Temporarily closed,+44 20 7862 8000,http://www.london.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Research school with a hillside campus
Western Washington University,4.0,(156),University,Bellingham,Closed,+1 360-650-3000,https://www.wwu.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,
Harvard University,4.5,"(5,239)",University,,Closed,+1 617-495-1000,https://www.harvard.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Private university with mountain views
College Of Nursing,4.1,(439),University department,Cebu City,Temporarily closed,+1 801-581-7200,http://www.cit.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Scenic university known for research
University of Malta,4.3,(142),University,Msida,Temporarily closed,+356 2340 2340,http://www.um.edu.mt/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Research school dating to 1885
Macquarie University,4.2,(367),University,Macquarie Park,Temporarily closed,+61 2 9850 7111,https://www.mq.edu.au/?utm_source=google&utm_medium=localseo&utm_campaign=localplaces,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Learning centre with own train station
University of Mississippi,4.1,(182),University,,Closed,+1 662-915-7211,https://olemiss.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Public research school known for sports
University of Maryland,4.3,(514),University,,Temporarily closed,+1 301-405-1000,http://www.umd.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Research school founded in 1856
University of Hull,4.3,(164),University,Hull,Temporarily closed,+44 1482 346311,http://www.hull.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm,
The University of Adelaide,4.4,(304),University,,Temporarily closed,+61 8 8313 5208,http://www.adelaide.edu.au/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Australia's 3rd oldest university campus
University of San Francisco,4.4,(136),Private university,San Francisco,Closed,+1 415-422-5555,https://www.usfca.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 9:00 am,Hilltop campus established in 1897
University of Strathclyde,4.2,(185),University,Glasgow,Closed today,+44 141 552 4400,https://www.strath.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Leading multi-disciplinary university
"California State University, Northridge",4.3,(450),University,Northridge,Temporarily closed,+1 818-677-1200,http://www.csun.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,University known for arts & sciences
College of Computer Studies,3.8,(178),University department,,Temporarily closed,(032) 262 7281,http://www.cit.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 10:00 am,
University of Victoria,4.3,(339),University,,Closed,+1 250-721-7211,https://www.uvic.ca/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:30 am,Midsize public research school
University of Southern California,4.5,"(1,105)",University,,Temporarily closed,+1 213-740-2311,http://usc.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Private university established in 1880
University of Saskatchewan,4.3,(247),University,,Temporarily closed,+1 306-966-4343,http://www.usask.ca/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,Public research school founded in 1907
Princeton University,4.6,(936),University,,Temporarily closed,+1 609-258-3000,http://www.princeton.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Ivy League school founded in 1746
University College London,4.3,(626),University,London,Temporarily closed,+44 20 7679 2000,https://www.ucl.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm,
Stanford University,4.6,"(2,559)",University,Stanford,Temporarily closed,+1 650-723-2300,http://www.stanford.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Private research school founded in 1885
University of California San Diego,4.4,(544),University,La Jolla,Temporarily closed,+1 858-534-2230,http://www.ucsd.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Research school with a hillside campus
Texas State University - Round Rock,4.1,(16),Public university,Round Rock,Closed,+1 512-716-4001,http://www.rrc.txstate.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,
San Francisco State University,4.0,(330),University,San Francisco,Closed,+1 415-338-1111,http://www.sfsu.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,University with a range of sculptures
University of Southern Indiana,4.3,(81),University,Evansville,Closed,+1 812-464-8600,http://www.usi.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 7:30 am,Scenic university known for research
Ryerson University,4.2,(531),University,Toronto,Temporarily closed,+1 416-979-5000,https://www.ryerson.ca/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Sizable public research university
Oakland University,4.1,(159),Public university,Rochester,Temporarily closed,+1 248-370-2100,http://www.oakland.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Learning centre with own train station
University of Cape Town,4.4,(412),University,,Closed,+27 21 650 9111,https://www.uct.ac.za/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm,School located next to Table Mountain
University of North Texas,4.2,(361),University,Denton,Temporarily closed,+1 940-565-2000,https://www.unt.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Research school founded in 1890
"University of California, Berkeley",3.3,"(1,599)",Public university,,Temporarily closed,+1 510-642-6000,http://www.berkeley.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm,Research school by San Francisco Bay
Brunel University London,4.4,(304),University,Uxbridge,Temporarily closed,+44 1895 274000,http://www.brunel.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Australia's 3rd oldest university campus
The University of Tennessee at Chattanooga,4.3,(62),University,Chattanooga,Closed,+1 423-425-4111,http://www.utc.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Hilltop campus established in 1897
Northeastern University,4.5,(406),University,Boston,Closed today,+1 617-373-2000,https://www.northeastern.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,University with a work/study approach
University of Colorado Denver,3.4,(151),University,Denver,Closed,+1 303-315-5969,http://www.ucdenver.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,University known for arts & sciences
University of Houston-Clear Lake,4.0,(113),University,Houston,Temporarily closed,+1 281-283-7600,https://www.uhcl.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 10:00 am,Ivy League school founded in 1740
Loyola University Chicago,4.4,(209),University,Chicago,Closed,+1 773-274-3000,http://www.luc.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:30 am,Midsize public research school
Swansea University,4.5,(141),University,Swansea,Temporarily closed,+44 1792 205678,https://www.swansea.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Private university established in 1880
The University of Texas at San Antonio,4.1,(302),University,San Antonio,Temporarily closed,+1 210-458-4011,http://www.utsa.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,Public research school founded in 1907
University of Amsterdam,4.2,(166),University,,Temporarily closed,+31 20 525 9111,https://www.uva.nl/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Ivy League school founded in 1746
University of Northumbria,2.6,(5),University,Newcastle upon Tyne,Closed today,+44 191 227 3894,https://www.northumbria.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm,Famed research school founded in 1821
Ball State University,4.2,(160),University,Muncie,Temporarily closed,+1 765-289-1241,http://www.bsu.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Tampa Bay-area research university
University of KwaZulu-Natal,4.2,(201),University,Durban,Temporarily closed,+27 31 260 1111,http://www.ukzn.ac.za/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 4:30 pm,Campus of a comprehensive university
John Carroll University,4.1,(60),University,University Heights,Closed,+1 216-397-1886,http://www.jcu.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,
Florida International University,4.2,(560),University,Miami,Closed,+1 305-348-2000,http://www.fiu.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 9:00 am,University with a range of sculptures
The University of Texas at Dallas,4.3,(500),Public university,Richardson,Closed,+1 972-883-2111,https://www.utdallas.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Scenic university known for research
University of Phoenix,4.0,(981),University,Phoenix,Closed today,+1 844-937-8679,http://www.phoenix.edu/campus-locations/az/phoenix-main-campus.html?channel=socm&init=yext&campus=PhoenixMainCampus,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Sizable public research university
Carnegie Mellon University,4.7,(392),University,Pittsburgh,Closed,+1 412-268-2000,http://cmu.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 9:00 am,Learning centre with own train station
University of Colorado Colorado Springs,3.8,(111),Public university,Colorado Springs,Closed,+1 719-255-8227,http://www.uccs.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm,School located next to Table Mountain
University of Memphis,4.0,(119),Public university,Memphis,Temporarily closed,+1 901-678-2000,http://www.memphis.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Research school founded in 1890
University of Sussex,4.2,(182),University,,Temporarily closed,+44 1273 606755,http://www.sussex.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm,Research school by San Francisco Bay
University of Leeds,4.3,(369),University,,Temporarily closed,+44 113 243 1751,https://www.leeds.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Australia's 3rd oldest university campus
Vanderbilt University,4.4,(289),University,Nashville,Closed,+1 615-322-7311,http://www.vanderbilt.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Research-focused private school
University of London Worldwide,4.2,(27),University,London,Closed today,+44 20 7862 8360,http://www.london.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,University with a work/study approach
University of Wyoming,3.9,(80),Public university,Laramie,Closed,+1 307-766-1121,http://www.uwyo.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Research school founded in 1886
University of Colorado Boulder,4.4,(346),University,,Temporarily closed,+1 303-492-1411,http://www.colorado.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 10:00 am,Public school set amid Rocky Mountains
University of Minnesota,4.4,(268),Public university,,Closed,+1 612-625-5000,https://twin-cities.umn.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:30 am,Research school on the Mississippi River
University of South Carolina,4.1,(249),University,,Temporarily closed,+1 803-777-0169,https://sc.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Private university established in 1880
Monash University,4.3,(476),University,Clayton,Temporarily closed,+61 3 9905 4000,http://monash.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,Public research school founded in 1907
University of Michigan,4.4,(535),Public university,Ann Arbor,Temporarily closed,+1 734-764-1817,https://umich.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Huge public school founded in 1817
St. Edward's University,4.6,(119),University,Austin,Closed,+1 512-448-8400,https://www.stedwards.edu/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Famed research school founded in 1821
Flinders University,4.0,(182),University,Bedford Park,Closed today,+61 8 8201 3911,http://www.flinders.edu.au/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Research university on Aboriginal land
Hofstra University,4.2,(189),Private university,Hempstead,Temporarily closed,+1 800-463-7872,https://www.hofstra.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 4:30 pm,Campus of a comprehensive university
University of New Hampshire,4.2,(119),University,Durham,Closed,+1 603-862-1234,http://www.unh.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Rural public research school
Durham University,4.5,(182),University,,Closed,+44 191 334 2000,https://www.dur.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 9:00 am,Venerable university founded in 1832
Liberty University,4.4,"(2,026)",University,Lynchburg,Closed,+1 855-814-8615,https://www.liberty.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Scenic university known for research
Auburn University,4.4,(390),University,,Closed today,+1 334-844-4000,http://www.auburn.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Research university founded in 1856
Michigan State University,4.1,(627),University,,Temporarily closed,+1 517-355-1855,https://msu.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 9:00 am,Learning centre with own train station
Towson University,4.1,(175),University,Towson,Closed,+1 410-704-2000,http://www.towson.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm,School located next to Table Mountain
Washington University in St. Louis,4.3,(225),University,St. Louis,Temporarily closed,+1 314-935-5000,https://wustl.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Research-focused private school
University of Louisville,4.2,(116),Public university,Louisville,Temporarily closed,+1 502-852-5555,http://louisville.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm,Research school by San Francisco Bay
University of Exeter,4.3,(210),University,Exeter,Temporarily closed,+44 1392 661000,http://www.exeter.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Australia's 3rd oldest university campus
The University of New Mexico,3.6,(268),University,,Closed,+1 505-277-0111,http://www.unm.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Large public school with many museums
University of Oregon,4.4,(342),University,Eugene,Closed today,+1 541-346-1000,http://www.uoregon.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Public research school founded in 1876
The University of Iowa,4.1,(155),Public university,,Closed,+1 319-335-3500,http://www.uiowa.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am,Research school on the Iowa River
Colorado State University,4.0,(325),University,,Temporarily closed,+1 970-491-6444,https://www.colostate.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 10:00 am,Public school set amid Rocky Mountains
Newcastle University,4.2,(221),University,,Closed,+44 191 208 6000,http://www.ncl.ac.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:30 am,Campus-based academic institution
University of San Carlos Museum,4.4,(305),Museum,Cebu City,Temporarily closed,(032) 253 1000,http://www.usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Private university established in 1880
