section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-info 2,section-result-location,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
E-Global Learning System,5.0,(1),Computer training school,Temporarily closed,0923 933 5359,"Tango Plaza Bldg., Queens Road, Cebu City, Queen's Rd",http://facebook.com/InformatEnterprising,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Globalization ESL Center Banilad Inc Campus,3.9,(12),School,Temporarily closed,(032) 234 3267,Paseo Saturnino,http://www.cebucg.com/jp/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu International Distance Education College(CIDEC),4.5,(2),Boarding school,Temporarily closed,0917 601 9171,A. Miñoza St,http://www.cebuivyedu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ABC Learning Center,5.0,(1),Learning center,Temporarily closed,(032) 490 5424,N. Bacalso National Highway,,,
Duyan Learning Center,5.0,(1),Learning center,Temporarily closed,(032) 423 3690,M.L. Quezon National Highway,https://www.facebook.com/DuyanAcademy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Center for Healthcare Professions Cebu Incorporated,5.0,(4),Learning center,Temporarily closed,(032) 420 1881,"A. C. Cortes Avenue, corner P.J.Burgos",http://www.chpcebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Racdaes Japanese Language Training Center, Inc.",3.8,(9),Language school,Temporarily closed,(032) 253 1413,Andres Abellana St,http://www.richelle-manpower.com/about-racdaes,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Adler Kindergarten School,5.0,(1),Kindergarten,Temporarily closed,(032) 495 6822,Basak-Marigondon Rd,,,
Grolier,3.8,(4),Learning center,Temporarily closed,0922 849 1914,"SM City Cebu, Juan Luna Ave Corner Cabahug And Kaoshiung St",http://www.grolier-asia.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mactan Christian Centre Inc.,3.0,(2),Kindergarten,Temporarily closed,(032) 417 5074,Casanta Soong 2,https://www.mactanchristiancentre.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Duyan Learning Center,4.0,(1),Learning center,Temporarily closed,(032) 236 7800,Pak-Pakan Rd,,,
Little Red Barn Fun Learning Center,5.0,(1),Learning center,Temporarily closed,(032) 420 2655,"201, Grand Orchard Bldg, N.B Bacalso St.",https://www.facebook.com/Little-Red-Barn-Fun-Learning-Center-327418690742663/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Wise Education Center and Training Network,5.0,(1),Corporate office,Temporarily closed,(032) 416 3913,"Junquera cor. P, Pantaleon del Rosario St",http://www.wectn.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Training Purposes Only,4.3,(4),Computer training school,Temporarily closed,0906 199 5864,"i1, Asia Town IT park, lahug",,,
"Rock Bridge Language Center, Inc.",3.0,(1),Language school,Temporarily closed,(032) 272 6230,"2F A&J Bldg, AC Cortes St",http://facebook.com/pg/rockbridgelanguagecentercebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Datamex,5.0,(1),Computer training school,Temporarily closed,(032) 232 3053,"Astron Gestus Bldg, 25 Gorordo Ave",,,
Kumon A.C. Cortes (Mandaue) Center,4.0,(2),After school program,Temporarily closed,(032) 511 9069,"Door 5 Rozen Building, A.C. Cortes Avenue",http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cogon Day Care Center,4.5,(2),Day care center,Temporarily closed,(032) 262 0480,,,,
Department of Education Ecotech Center,4.5,(20),Department of education,Closed today,(032) 256 1001,Ecotech Rd,,,
St. Francis of Assisi School (SFAS),3.2,(6),School,Temporarily closed,(032) 410 5895,"Peace Valley, Wisdom St",https://www.sfas.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Jumao-As Baguio Learning Center,5.0,(1),Learning center,Temporarily closed,(032) 496 7771,1 Babalang 2 Road,,,
"ISRA - International Skills Republic Academy, Inc.",4.5,(2),Educational institution,Temporarily closed,(032) 234 3933,0775 Jasmin St,https://isracebu.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TESDA Accredited Competency Assessment Center,5.0,(2),University,Temporarily closed,(032) 273 8170,"Talisay City College, Poblacion",https://tesda.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Prime Software,5.0,(1),Computer training school,Temporarily closed,(032) 254 8521,"Taruria Bldg, Juana Osmeña St",http://www.primesoft.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Danao City Central Elementary School,5.0,(1),Elementary school,Temporarily closed,(032) 491 3135,Poblacion Danao City Cebu,,,
IDP Philippines,4.4,(12),Educational consultant,Temporarily closed,(032) 236 2758,"Keppel Center, Ground Floor, Cardinal Rosales Ave",http://idp.com/philippines,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Ballet Academy of Cebu,4.3,(4),Ballet school,Temporarily closed,0917 720 3500,1081 Andres Abellana St,,,
アジアビューティカレッジ【美容／留学／語学留学／セブ島】,5.0,(1),School,Temporarily closed,(074) 544 9915,V.Albano,https://abc-beauty.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
CEVAS Cebu - IELTS Language School Review Center,4.6,(10),Language school,Temporarily closed,0917 139 7626,"JRDC Building, 1st Floor, Osmeña Blvd",http://www.cevasphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Christ The King,5.0,(1),Learning center,Temporarily closed,(032) 417 5074,Lopez Jaena St,,,
Sto. Nino Learning Center Inc.,4.0,(1),Learning center,Temporarily closed,(032) 512 7611,Villa Leyson,https://www.facebook.com/snlcenter,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TESDA Accredited Competency Assessment Center,3.5,(12),University,Temporarily closed,(032) 420 1880,"Mezzanine Floor, FCB Financial Center, Center For Healthcare Professions, Incorporated, AC Cortes Avenue corner P. Burgos Street, Alang-Alang",https://www.tesda.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Prime Review Center,5.0,(4),Learning center,Temporarily closed,(032) 416 8175,"GMT, 4th Floor, 403-404 Junquera St",http://www.primereviewcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Crest Maritime Training Courses,4.1,(11),Learning center,Temporarily closed,(032) 505 7855,"Dacay Building, N Escario St",https://www.facebook.com/CRESTMaritimeTrainingCenter/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sebu Hangeugo Language Tutorial Services,5.0,(4),Language school,Temporarily closed,0923 283 8601,MV Patalinghug Ave,,,
Discovery Camp,5.0,(1),Preschool,Temporarily closed,(032) 232 3450,Montebello Road,http://www.facebook.com/DiscoveryCampCebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Informatics College Cebu,4.0,(9),College,Temporarily closed,(032) 231 0380,"C.L. Benedicto Bldg., J. De Vera Street",https://www.informatics.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Divine Angels Learning School,4.5,(2),Private school,Temporarily closed,(032) 266 9546,M. J. Cuenco Ave,https://www.facebook.com/pages/Divine-Angels-Learning-Development-School-Inc/146745032170053,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Speak English Zest Academy,4.5,(20),English language school,Temporarily closed,0908 931 0634,Corner Tres Borces and Sindulan Street,,,
"Ring System Development, Inc. (Ring-Group)",5.0,(1),Computer training school,Temporarily closed,(032) 262 4613,"J Centre Building, A. S. Fortuna St",http://ring-group.jp/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TESDA Accredited Competency Assessment Center,5.0,(1),Public school,Temporarily closed,(032) 564 2542,"Cebu Science Of Welding And Skills Technology, Incorporated, Bagong-Daan Road, Yati, Lilo-An",https://tesda.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Kumon Gun-ob (Lapu-Lapu) Center,4.5,(2),After school program,Temporarily closed,(032) 512 0009,"Paseo de Amores, S. Osmeña Street",http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Kumon Private (Cebu) Center,3.0,(1),After school program,Temporarily closed,(032) 418 1553,"Unit 102, JDC Building, J. Alcantara Street",http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mirfeel ESL Center/ MV ACADEMY,4.0,(1),English language school,Temporarily closed,(032) 239 0613,"Chatswood Bldg Cor, Hernan Cortes Street, A. S. Fortuna St",https://web.facebook.com/MVacademyCebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Kumon F. Cabahug (Kasambagan) Center,5.0,(1),After school program,Temporarily closed,(032) 318 3656,"Unit 2-5 2nd Floor, East Wing, Bonifacio District, F. Cabahug St",http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Kumon A.S. Fortuna (Mandaue) Center,4.4,(12),After school program,Temporarily closed,(032) 511 3953,"2nd Floor INJ Building, A.S. Fortuna Street",http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tierra Grande House Of Learning Inc.,4.3,(4),School,Temporarily closed,0917 720 3500,,,,
Kumon Basak (Pardo) Center,5.0,(1),After school program,Temporarily closed,(032) 324 0774,"Unit 204, South Point Place, N. Bacalso Avenue, Basak Pardo",http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tender Minds Learning Center,4.6,(10),Learning center,Temporarily closed,(032) 424 6730,Km. 13 Pagutlan,,,
Kumon Gaisano (Tabunok) Center,5.0,(1),After school program,Temporarily closed,(032) 491 5322,"2nd Floor, Arcade Bldg., Gaisano Grand Fiesta Mall Hi-way",http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sacred Heart Aikido Center - Cebu ( SHACC ),5.0,(1),Aikido school,Closed,(032) 512 7611,Dionisio Jakosalem St,http://www.sacredheartaikido.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Kumon Banilad (Cebu) Center,3.5,(12),After school program,Temporarily closed,(032) 231 1791,"GINZA Compound, Old Banilad Road",http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
smeag global education inc.,3.0,(2),School,Temporarily closed,(032) 416 8175,S Cabahug,,,
Kumon Marigondon (Lapu-Lapu) Center,5.0,(1),After school program,Temporarily closed,(032) 514 2216,"2nd Floor, Elora Supermarket, Maximo V. Patalinghug Jr. Avenue",http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Langrich,5.0,(4),English language school,Temporarily closed,(032) 347 2641,"806, Keppel, Cardinal Rosales Ave. Cor. Samar Loop",http://www.langrich.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Kumon Talamban (Cebu) Center,5.0,(1),After school program,Temporarily closed,(032) 316 3332,2nd Floor North Agora Regency Miñoza Street,http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Idea Academia,4.1,(27),School,Temporarily closed,(032) 231 0380,F. Cabahug St,https://ideaeducation.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
CIEC GLOBAL,5.0,(4),School,Temporarily closed,0917 601 9171,,http://www.ciecglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Norwegian Language School in Cebu(DelNorwegianLanguageTutorial),5.0,(2),Language school,Temporarily closed,(032) 520 4609,173 Gov. M. Roa St,,,
Babag 1 Elementary School,4.0,(4),Elementary school,Temporarily closed,(032) 262 4613,Purok Butterfly,http://www.deped.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cega Cebu English Global Academy,4.0,(3),English language school,Temporarily closed,(032) 328 8079,"Angelica Bldg, Osmeña Blvd",http://www.cega-jp.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
DepEd Regional Office VII,4.4,(16),Department of education,Closed today,(032) 231 1433,5 Sudlon,https://region7.deped.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"University of San Jose - Recoletos, Main",4.4,(94),Private university,Temporarily closed,(032) 253 7900,,http://usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Smegag Global Education,4.0,(1),School,Temporarily closed,(032) 239 0613,Minosa Street,http://smenglish.com/en/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Berlitz Cebu (TripleWinPh) German Language School,5.0,(1),German language school,Temporarily closed,(032) 412 0036,"Unit 221 krizia bldg gorordo avenue brgy kamputhaw cebu city (at the back of west gorordo, hotel",,,
CG ACADEMY TW,4.4,(12),Language school,Temporarily closed,(032) 234 3267,"Base Camp, Paseo Saturnino",http://cgeslcentertw.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University of the Philippines Cebu,4.6,(47),Public university,Temporarily closed,(032) 232 2642,,https://upcebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Kumon Philippines, Inc. (Cebu Branch)",5.0,(1),Educational institution,Temporarily closed,(032) 263 3419,"2 Quad, Cardinal Rosales Ave",http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Minoza St., Brgy. Tigbao, Talamban, Cebu City, Cebu 6000, Philippines",4.3,(4),Pool academy,Temporarily closed,(032) 238 9302,"Brgy. Tigbao, Talamban Rd",http://www.cebuivyedu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Saint Dominic Savio School of Lapu-Lapu,City",5.0,(1),School,Temporarily closed,(032) 268 3845,"Deca 5, Sudtungan",,,
CIEC Village House,5.0,(2),English language instructor,Closed,0917 601 9171,"MINOZA ST. TALAMBAN, CEBUCITY",http://www.cebuivy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Paul College,5.0,(2),University,Temporarily closed,(032) 272 2985,National Highway,,,
TESDA Accredited Competency Assessment Center,3.4,(5),Technical school,Temporarily closed,(032) 412 2419,"Regional Training Center - Cebu, Archbishop Reyes Avenue, Banilad",,,
St. Paul College Foundation-Mandaue,4.0,(1),School,Temporarily closed,(032) 514 2216,"Highway, Maguikay",http://www.spcfi.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metro Sports Center,3.8,(44),Gym,Temporarily closed,(032) 233 3338,Salinas Dr,https://www.facebook.com/metrosports.lahug,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"English Fella 1-Cebu English Academy, Cebu language School",4.5,(25),School,Temporarily closed,(032) 343 3871,Hi-Way 11,http://www.englishfella.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Happy Life Cebu Academy (HLCA),4.8,(5),English language school,Temporarily closed,(032) 414 2004,"Central Bloc Corporate Center Tower 1 14F Bloc, 10 W Geonzon St",http://www.hlca-english.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pro-Drive Driving School,5.0,(4),Driving school,Temporarily closed,(032) 253 9199,"Causing Feria Building, Jones Ave",,,
Knowledge Garden Learning Center,5.0,(2),,Temporarily closed,(032) 233 3091,Pope John Paul II Ave,,,
Gopherwood Learning Center,4.0,(4),Education,Temporarily closed,(032) 417 5074,"Talamban Road, Bacayan",,,
