section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-info 3,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute-content 3
Dr. Lydia V. Blanco,5.0,(3),Dental clinic,Tungkil,Closing soon: 6:00 pm,(032) 272 0733,,,,,"""Friendly and loving staff and of course these two",dentists,"who I ..."""
Watin-Gamo Dental Clinic,5.0,(6),Dental clinic,"2nd floor BF Strip Building,M.L. 6015, M.L. Quezon National Highway",Closing soon: 6:00 pm,(032) 342 0132,Temporarily closed,https://www.dentaldepartures.com/dentist/gamo-dental-clinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Tancawan,3.8,(5),Dental clinic,"New Cebu Coliseum Commercial Complex, Leon Kilat St",Opens at 10:00 am,(032) 256 2256,Closed,,,,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
All Smiles,3.7,(3),Dental clinic,Gov. M. Cuenco Ave,Open until 7:00 pm,(032) 384 2713,Temporarily closed,,,,"""Indistinguishable from a good",dentist,"in USA."""
Rjing Dental Care,5.0,(4),Dental clinic,"Rm 208, Go Ka Oh Building, Cebu N Rd",Closing soon: 6:00 pm,0999 853 3092,,,,,"""I like the",dentist,"who attended to my sisters."""
Dr. Adam Alviar,5.0,(1),Dental clinic,Hernan Cortes St,Open until 7:00 pm,(032) 346 9557,,,,,,,
Bacareza Dental Clinic,5.0,(1),Dental clinic,,Open until 5:00 am,(032) 416 0225,,,,,"""Best",dentist,"! All staffs are well accomodating and clinic is clean."""
Perpetua Dental Clinic,5.0,(7),Dental clinic,Rafael Rabaya Rd,Closing soon: 6:00 pm,(032) 272 1745,Closed,,,,"""Staff is very accomodating and the",dentist,"was also very nice and ..."""
Dr. Annalyn Daclan - Casinay Dental Clinic,5.0,(2),Dental clinic,P. Del Rosario corner Jakosalem Streets,Closing soon: 6:00 pm,(032) 354 9558,Closed,,,,"""Dr. Noel is a great",Dentist,", very nice and helpful."""
Vizcayno Crezillah Ma,5.0,(2),Dental clinic,"# 68, Sanciangko Street, Kalubihan",Open until 7:00 pm,(036) 254 2950,Closed,,,,"""I recommend her to all those who are looking for a better",dentist,"who ..."""
Dimoc Center,5.0,(2),Dental implants periodontist,40 Don Gil Garcia St,Closing soon: 6:00 pm,(032) 254 5476,Closed,,,,"""Affordable dental service and a very good",dentist,"too."""
M & B Dental Home Clinic,5.0,(1),Dental clinic,South Road,Open until 8:00 pm,(032) 383 8561,Temporarily closed,https://m-b-dental-home-clinic.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""The",dentists,"and staff are super professional and knowledgeable, ..."""
Dr. Leilani Tacandong Nuñez Dental Clinic,3.0,(2),Dental clinic,"Pantaleon del Rosario Street, corner Dioniso Jacosalem Street",Opens at 9:00 am,(032) 254 9117,Closed,,,,"""I've been to many dental clinics but Dr. Pearl is the best",dentist,"I've ..."""
Bucad Dental Clinic,3.0,(2),Dental clinic,Cebu S Rd,Open until 10:00 pm,(032) 273 0850,,,,,"""Commend to the",dentist,"for being professional on extracting tooth."""
Dr. Mae Michelle S. Jorgio,5.0,(2),Dental clinic,"Suite 304, Dr. J Borromeo Building, Gov. M. Roa Street, Capitol Site",Closing soon: 5:30 pm,(032) 253 4300,,,,,,,
Dental Ave Oral Care Clinic,5.0,(2),Dental clinic,279 A. C. Cortes Ave,Open until 7:00 pm,0932 062 6783,Closed,,,,"""I've been to a lot of",dentist,"in the past and in my opinion, this place is ..."""
Cebu Dental Specialist,1.0,(4),Dental clinic,"SPC Medical Speciality Center Perpetual Succour Hospital, Gorordo Avenue",Open until 10:00 pm,(032) 233 1841,,,,,"""This",Dentist,"was incredible and such a life saver in a ..."""
Dental Care Specialist Center,5.0,(1),Dental clinic,"JSP Building Mango Plaza, Ground Floor, Stall #2, General Maxilom Ave",Closing soon: 6:00 pm,(032) 233 5412,Closed,,,,,,
VMA DENTAL WELLNESS CLINIC,5.0,(1),Dental clinic,"LTH Bldg ( Former Ma.Cristina Bldg, Fuente Osmeña Cir",Closing soon: 6:00 pm,(032) 412 8389,,,,,"""i met this",dentist,"earlier ."""
St. Jude Dental Clinic Dr. Chris Marie Restauro-Condor,5.0,(3),Dental clinic,"We Have Temporarily Moved Back To Our Old Location In, Restauro Residence Across Talisay District Hospital",Opens at 8:00 am,(032) 316 8463,Closed,,,,,,
Ceniza Medical Dental,4.5,(2),Medical clinic,"Royal Goco Plaza, B.B Cabahug",Closing soon: 6:00 pm,(032) 420 2245,,,,,"""Friendly and loving staff and of course these two",dentists,"who I ..."""
Regional Dental Clinic & Supply,5.0,(6),Dental clinic,"Door B, Binamira Building, General Maxilom Ave",Closing soon: 6:00 pm,(032) 231 8469,Temporarily closed,http://www.jagasdental.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
KC Dental Clinic,5.0,(1),Dental clinic,Zone 2 Hollow Block,Opens at 9:00 am,(088) 850 8510,Closed,https://www.facebook.com/kc.dntal,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
Dental Clinic General Dentistry Dr Joy J Bacolod,3.0,(2),Dental clinic,North Coastal Road,Open until 7:00 pm,0908 156 1148,Temporarily closed,,,,"""Indistinguishable from a good",dentist,"in USA."""
Dentistry With A Smile,4.0,(4),Dental clinic,National Highway,Closing soon: 6:00 pm,(032) 520 1175,,,,,"""I like the",dentist,"who attended to my sisters."""
Dr. Sarah Jean Velez-Mercado,2.0,(1),Dental clinic,"No. 19, Sitio Lemon, A.C. Cortes Avenue, Ibabao",Open until 7:00 pm,(032) 232 4137,,,,,,,
Dr. Charito Emnace Dental Clinic,5.0,(1),Dental clinic,J. Llorente Street,Open until 5:00 am,(032) 412 6305,,,,,"""Best",dentist,"! All staffs are well accomodating and clinic is clean."""
Pearly Whites Dental Clinic,5.0,(4),Dental clinic,"Hair Cafe, JDA Building Ground Floor, Paradise Village Corner Luce",Closing soon: 6:00 pm,(032) 233 5040,Closed,https://pearly-whites-dental-clinic.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Staff is very accomodating and the",dentist,"was also very nice and ..."""
Fabular Dental-Cebu,5.0,(1),Dental clinic,"Suite Room 319 Medalle Building, Fuente Osmeña Boulevard",Opens at 9:00 am,(032) 233 8495,Closed,https://fabulardentalcebu.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Dr. Noel is a great",Dentist,", very nice and helpful."""
Tallo Dental Clinic,5.0,(2),Dental clinic,"#19 Sitio Lemon A. C.Cortes Ave., Ibabao",Open until 7:00 pm,0917 204 5049,Closed today,,,,"""I recommend her to all those who are looking for a better",dentist,"who ..."""
Leila Capapas Cortez Lady Dentist,5.0,(2),Dental clinic,National Highway Road,Closing soon: 6:00 pm,0932 567 4301,Closed,,,,"""Affordable dental service and a very good",dentist,"too."""
Endless Smiles Dental Clinic,4.8,(5),Dental clinic,"Unit 3, 2nd Floor J&A Building, Rafael Rabaya St",Open until 7:00 pm,(032) 513 3519,Temporarily closed,https://endless-smiles-dental-clinic.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""The",dentists,"and staff are super professional and knowledgeable, ..."""
"Cebu North Dental Diagnostic,inc.",5.0,(1),Dental clinic,"21, City Time Square, Mantawe Ave",Open until 7:00 pm,(032) 268 2224,Closed,,,,"""I've been to many dental clinics but Dr. Pearl is the best",dentist,"I've ..."""
Dr. Jojo Mendoza Dental Clinic,2.0,(1),Dental clinic,A.C Cortes Avenue,Open until 10:00 pm,(032) 346 7566,,,,,"""Commend to the",dentist,"for being professional on extracting tooth."""
Dentspec Dental Specialist,5.0,(1),Dental clinic,"SM City Cebu, 2nd St",Open until 9:00 pm,(032) 232 5682,,http://dentspec.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Ralph's Dental Clinic,5.0,(1),Dental clinic,"Agora, Minoza",Open until 7:00 pm,(032) 511 2636,Closed,,,,"""I've been to a lot of",dentist,"in the past and in my opinion, this place is ..."""
Ricamora Dental Clinic,1.0,(4),Dental clinic,Robinsons Cybergate,(032) 233 1841,Open until 10:00 pm,,,,,"""This",Dentist,"was incredible and such a life saver in a ..."""
Dental Clinic,5.0,(1),Dental clinic,"Marina, Mactan",Closing soon: 6:00 pm,(032) 494 0302,Closed,,,,,,
Dr. Richel Bonsol,5.0,(1),Dental clinic,"Room B4, St. Vincent General Hospital, 210 Jones Avenue",Closing soon: 6:00 pm,(032) 255 4311,,,,,"""i met this",dentist,"earlier ."""
RnB Dental Clinic,5.0,(1),Dental clinic,"G/F Cebu Business Hotel, Colon St",Closing soon: 6:00 pm,(032) 238 5004,Closed,https://www.whatclinic.com/dentists/philippines/cebu-city/rnb-dental-clinic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
JL DAVID DENTAL CARE,5.0,(1),Dental clinic,,Closing soon: 6:00 pm,0933 611 3845,,,,,"""Friendly and loving staff and of course these two",dentists,"who I ..."""
Wow Cebu Dental Clinic,5.0,(6),Dental clinic,Mactan Street,Closing soon: 6:00 pm,(032) 505 6875,Temporarily closed,,,,,,
Dr. Cliff Joie M. Culanag Dental Clinic,5.0,(1),Dental clinic,"349 A. Del Rosario Street, Guizo",Opens at 9:00 am,(032) 420 2343,Closed,,,,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
Enriquez Medical And Dental Clinic,3.0,(2),Medical clinic,6014 P. Gomez,Open until 7:00 pm,(032) 345 0382,Temporarily closed,,,,"""Indistinguishable from a good",dentist,"in USA."""
Dr. Amor E. Milla,4.0,(4),Dental clinic,Natalio B. Bacalso Ave,Closing soon: 6:00 pm,(032) 236 9240,,,,,"""I like the",dentist,"who attended to my sisters."""
Dr. Rosanna Chupungco Navarro,2.0,(1),Dental clinic,"Clinica Gorordo 2nd floor OLS bldg. CS Rosal st. cor Gorordo ave., Lahug",Opens at 9:00 am,(032) 233 7652,Closed,https://dr-rosanna-navarro.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Smile Design Dental Spa,1.0,(1),Dental clinic,"SM City Cebu, Juan Luna Avenue Corner Cabahug And Kaoshiung St",Open until 5:00 am,(032) 238 9603,,http://smiledesigndentalspa.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Best",dentist,"! All staffs are well accomodating and clinic is clean."""
Dansing Dental Clinic,5.0,(4),Dental clinic,"No. 120, Maria Cristina Building, Osmeña Boulevard",Closing soon: 6:00 pm,(032) 253 1432,Closed,,,,"""Staff is very accomodating and the",dentist,"was also very nice and ..."""
Dental Capital Clinic,5.0,(1),Dental clinic,"CTS Bldg, Natalio B. Bacalso Ave",Opens at 9:00 am,(032) 505 2480,Closed,https://www.facebook.com/dentalcapitalclinic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Dr. Noel is a great",Dentist,", very nice and helpful."""
ProDent Advanced Oral Health,5.0,(6),Dental clinic,"The Henry Hotel, 2nd Flr., Prodent Advanced Oral Health Ma, One Paseo Saturnino",Closing soon: 6:00 pm,0908 342 2168,Closed today,https://prodentadvancedoralhealth.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I recommend her to all those who are looking for a better",dentist,"who ..."""
Trinidad Dental Clinic,5.0,(2),Dental clinic,Natalio B. Bacalso S National Hwy,Closing soon: 6:00 pm,0922 821 0347,Closed,,,,"""Affordable dental service and a very good",dentist,"too."""
Ferr Dental,5.0,(1),Dental clinic,"Club Ultima Tower 3, Osmeña Blvd",Open until 7:00 pm,(032) 520 9879,Temporarily closed,,,,"""The",dentists,"and staff are super professional and knowledgeable, ..."""
Dr. Ferdinand Duque,5.0,(1),Dental clinic,"PL1B Basement 1, Ayala Center Cebu, Cardinal Rosales Avenue, Cebu Business Park",Open until 7:00 pm,(032) 412 0841,Closed,,,,"""I've been to many dental clinics but Dr. Pearl is the best",dentist,"I've ..."""
Dr. Caesar C. Teves,2.0,(1),Dental clinic,Suson,Opens at 9:00 am,(032) 514 8152,Closed,,,,"""Commend to the",dentist,"for being professional on extracting tooth."""
"Mary Ann Toting - Yuson, D.M.D.",5.0,(1),Dental clinic,"Tucao Bldg, Katipunan St",Open until 9:00 pm,(032) 266 2162,,,,,,,
Eye-Dental Clinic,5.0,(1),Dental clinic,Buhisan Rd,Open until 7:00 pm,(032) 264 8038,Closed,,,,"""I've been to a lot of",dentist,"in the past and in my opinion, this place is ..."""
Happy Teeth,4.2,(6),Dental clinic,Quezon National Hwy,Open until 10:00 pm,(032) 260 8073,,,,,"""This",Dentist,"was incredible and such a life saver in a ..."""
Ahmad- Ballacar,5.0,(1),Dental clinic,Maximo V. Patalinghug Jr Ave,Closing soon: 6:00 pm,(032) 512 5979,Closed,,,,,,
Cebu Smile Studio,3.7,(3),Dental clinic,"L4, 430 , Robinsons Cybergate, Don Gil Garcia Street , 6000 Cebu City , Cebu",Closing soon: 6:00 pm,(032) 505 8955,,,,,"""i met this",dentist,"earlier ."""
Dr Zenaida S.Son,5.0,(1),Dental clinic,Gov. M. Cuenco Ave,Closing soon: 6:00 pm,0921 652 6779,Closed,,,,,,
Dr. Gladys Layese,5.0,(1),Dental clinic,"Ground Floor, West Wing Cebu Capitol, Capitol Dental Clinic, N. Escario Street",Closing soon: 6:00 pm,(032) 253 3630,,,,,"""Friendly and loving staff and of course these two",dentists,"who I ..."""
Dr. Elizabeth Tan Lim,5.0,(1),Dental clinic,"304 Chong Hua Med Arts 1, J. Llorente St",Closing soon: 5:30 pm,(032) 254 6428,Temporarily closed,https://drelizabethtanlim.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Quimco Med- Dental Clinic,3.7,(3),Dental clinic,M. L. Quezon Ave,Opens at 9:00 am,(032) 346 1106,Closed,,,,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
Doctora Richelita G Acas Dental Clinic,3.0,(2),Dental clinic,"3rd Floor Appliances Building, Cebu South Road, Tabunok",Open until 7:00 pm,(032) 491 1462,Temporarily closed,,,,"""Indistinguishable from a good",dentist,"in USA."""
Gotardo Dental Clinic,5.0,(2),Dental clinic,Borbajo St,Closing soon: 6:00 pm,0997 625 9835,,,,,"""I like the",dentist,"who attended to my sisters."""
TS Techno Dental Better Smiles,1.0,(2),Dental clinic,"J Centre Bldg, A. S. Fortuna St",Open until 9:00 pm,(032) 328 0382,Closed,,,,,,
Joon Dental Family Care,1.0,(1),Dental clinic,"3/F Bldg 4, The Persimmon Plus, M. J. Cuenco Ave",Open until 6:30 pm,(032) 273 6452,,http://www.facebook.com/joondentalfamilycare,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Best",dentist,"! All staffs are well accomodating and clinic is clean."""
Marites Castro Dental Clinic,5.0,(2),Dental clinic,497 Lower Pakigne,(032) 253 1432,Closing soon: 6:00 pm,Closed,,,,"""Staff is very accomodating and the",dentist,"was also very nice and ..."""
Dr. Ross Ceniza,5.0,(1),Dental clinic,"213, Minimark Building, M. C. Briones St",Opens at 9:00 am,(032) 422 3007,Closed,,,,"""Dr. Noel is a great",Dentist,", very nice and helpful."""
thirty-two Dontics,5.0,(6),Dental clinic,,Opens at 9:00 am,(032) 512 5535,Closed,https://www.facebook.com/Thirty-two-Dontics-dental-clinic-625376104225293/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I recommend her to all those who are looking for a better",dentist,"who ..."""
Dr. Marita Quijote,5.0,(2),Dental clinic,"2, Room 301, Ma. Cristina Building, F. Osmena Boulevard",Closing soon: 6:00 pm,(032) 255 5811,Closed,,,,"""Affordable dental service and a very good",dentist,"too."""
Dabad Dental Clinic-Cebu (Official),4.5,(2),Dental clinic,,Closing soon: 6:00 pm,0942 183 9826,Temporarily closed,,,,"""The",dentists,"and staff are super professional and knowledgeable, ..."""
Tampus Dental Clinic,5.0,(1),Dental clinic,"Ata, Poten, 653 D. Jakosalem St., Cebu City, 6000",Closing soon: 6:00 pm,(032) 415 5197,Closed,https://www.facebook.com/Tampusdentalclinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I've been to many dental clinics but Dr. Pearl is the best",dentist,"I've ..."""
Dr. Iraniyol R. Flores,3.0,(2),Dental clinic,"JL Building, Don Jose Avila St",Opens at 9:00 am,(032) 505 7697,Closed,,,,"""Commend to the",dentist,"for being professional on extracting tooth."""
Dr. Amores Dental Clinic,1.0,(1),Dental clinic,"Francisco Llamas Street, Labangon",Open until 9:00 pm,(032) 262 4206,Closed today,,,,,,
Dr. Josephine T. Yap,5.0,(1),Dental clinic,"Unit 6, 2nd Floor, One Mango Avenue Building, General Maxilom Avenue",Open until 7:00 pm,(032) 412 3553,Closed,,,,"""I've been to a lot of",dentist,"in the past and in my opinion, this place is ..."""
E-Smile Dental Clinic,5.0,(3),Dental clinic,Salinas Dr,Closing soon: 6:00 pm,(032) 888 9328,,,,,"""This",Dentist,"was incredible and such a life saver in a ..."""
Quest Dental Material Corporation,5.0,(1),Dental laboratory,MEPZⅡ ６０１５,Opens at 8:00 am,(032) 340 9218,Closed,http://www.questdental.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Dr. Lorielyn Paro-An & Dr. Ramon Bacareza Jr.,3.7,(3),Dental clinic,"Piazza Elesia, Gov. M. Cuenco Ave",Closing soon: 6:00 pm,(032) 418 0900,,,,,"""i met this",dentist,"earlier ."""
Dr. Frederico Nadela,5.0,(1),Dental clinic,"University of Visayas, Jose L.Briones",Closing soon: 6:00 pm,(032) 345 2178,Closed,,,,,,
Cesa,5.0,(1),Dental clinic,"104, Dona Luisa Bldg, Fuente Osmena Bldg",Closing soon: 6:00 pm,(032) 255 0537,,,,,"""Friendly and loving staff and of course these two",dentists,"who I ..."""
Dr. Lorna Tipon - Sabandal,5.0,(1),Dental clinic,7 Pelaez St,Closing soon: 5:30 pm,(032) 254 4821,Temporarily closed,,,,,,
Natad's Dental Clinic,4.0,(1),Dental clinic,"Fei Hvar Bldg, Francisco Llamas St",Closing soon: 6:00 pm,(032) 239 5317,Closed,,,,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
Pentagon Dental,3.0,(2),Dental clinic,General Maxilom Ave Ext,Open until 9:00 pm,0942 973 3021,Temporarily closed,,,,"""Indistinguishable from a good",dentist,"in USA."""
Rashnele Dental laboratory,5.0,(2),Dental laboratory,56 Gorordo Ave,0997 625 9835,Closing soon: 6:00 pm,,,,,"""I like the",dentist,"who attended to my sisters."""
The Dental Lounge - SM seaside,5.0,(3),Dental clinic,,Open until 9:00 pm,(032) 328 0382,Closed,,,,,,
Dental Clinic,5.0,(2),Dental clinic,"203, Krizia Building, 110 Gorordo Ave",Open until 6:30 pm,0917 505 8225,,http://www.firstvitaplus.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Best",dentist,"! All staffs are well accomodating and clinic is clean."""
Dr.leilani Tacandong- Nuñez,5.0,(2),Dental clinic,"Leeson Building, P.Del Rosario Street Corner D.Jakosalem Street",Closing soon: 6:00 pm,(032) 254 9117,Closed,,,,"""Staff is very accomodating and the",dentist,"was also very nice and ..."""
Castanares,3.3,(7),Dental clinic,1045 Highway,Open until 8:00 pm,(032) 516 1098,Closed,,,,"""Dr. Noel is a great",Dentist,", very nice and helpful."""
Amor,5.0,(6),Dental clinic,"J Centra Building, A. S. Fortuna St",Opens at 9:00 am,(032) 346 9824,Closed,,,,"""I recommend her to all those who are looking for a better",dentist,"who ..."""
Dr. Romie Stewart Sembrano,5.0,(2),Dental clinic,"PL1B Basement 1, Ayala Center Cebu, Cardinal Rosales Avenue, Cebu Business Park",Closing soon: 6:00 pm,(032) 412 0841,Closed,,,,"""Affordable dental service and a very good",dentist,"too."""
Dentrust,4.5,(2),Dental clinic,F. Ramos Ext.,Closing soon: 6:00 pm,(032) 412 5938,Temporarily closed,http://www.facebook.com/pages/Dentrust-Dental-Clinic/207525886038321,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""The",dentists,"and staff are super professional and knowledgeable, ..."""
Dr.Loreluna C. Watin-Gamo,5.0,(1),Dental clinic,"2nd floor,BF Mactan strip Bldg.,",Open until 7:00 pm,(032) 342 0132,Closed,,,,"""I've been to many dental clinics but Dr. Pearl is the best",dentist,"I've ..."""
Dr. Evelyn E. Yap Rubejes,3.0,(2),Dental clinic,"Gorres Lacson Bldg, Colon St",Opens at 9:00 am,(032) 253 0767,Closed,,,,"""Commend to the",dentist,"for being professional on extracting tooth."""
Ibon Dental Clinic,1.0,(1),Dental clinic,Katipunan St,Open until 9:00 pm,0932 170 4149,Closed today,,,,,,
Gayatin,3.0,(2),Dental clinic,"LK Building, Lopez Jaena St",Open until 7:00 pm,(032) 344 0377,Closed,,,,"""I've been to a lot of",dentist,"in the past and in my opinion, this place is ..."""
Dr. Ma Cleofe M. Famador,5.0,(3),Dental clinic,Sanciangko St,Closing soon: 6:00 pm,(032) 253 2571,,,,,"""This",Dentist,"was incredible and such a life saver in a ..."""
Dr. Lovella Seno-Sala Dental Clinic,5.0,(1),Dental clinic,Basak-Cagodoy-Bankal-Buaya Road,(032) 340 9218,Opens at 8:00 am,Closed,,,,,,
Hot Smile,3.7,(3),Dental clinic,"Ibabao Square, A. C. Cortes Ave",Closing soon: 6:00 pm,(032) 564 2132,,,,,"""i met this",dentist,"earlier ."""
Green Apple Dental,3.0,(1),Dental clinic,"The Terraces Ayala Center Cebu, Archbishop Reyes Avenue Cebu Business Park",Closing soon: 6:00 pm,(032) 233 4029,Closed,,,,,,
Blinky Dental Clinic,5.0,(6),Dental clinic,,Closing soon: 6:00 pm,0906 399 0140,,http://www.facebook.com/blinkydentalclinic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Friendly and loving staff and of course these two",dentists,"who I ..."""
Smile Central,5.0,(1),Dental clinic,Arlington Pond St,Closing soon: 6:00 pm,(032) 511 1446,Temporarily closed,,,,,,
White-E Dental Clinic,3.0,(2),Dental clinic,"Fick Building, F. Cabahug St Cor Hernan Cortes St",Closing soon: 6:00 pm,(032) 422 1243,Closed,,,,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
Binghay and Cabauatan Dental Clinic,5.0,(1),Dental clinic,"Unit 1-A, 67 Du Apartment, R.R. Landon Street",Opens at 9:00 am,(032) 410 8063,Closed,http://cebu-dentists.weebly.com/the-dentists.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Indistinguishable from a good",dentist,"in USA."""
CebuDENT Oral Care Dental Clinic,4.7,(14),Dental clinic,"Unit 5 3rd floor Dayzon Building, Lopez Jaena St",Opens at 10:00 am,0932 934 3244,Closed,https://www.facebook.com/CebuDentOralCareDentalClinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I like the",dentist,"who attended to my sisters."""
Ohana Dental Clinic,5.0,(12),Dental clinic,F. Cabahug St,Open until 6:30 pm,0922 212 0477,Closed,https://ohanadentalph.wixsite.com/clinic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Clinica Gorordo,5.0,(1),Dental clinic,"OLS Bldg, Gorordo Ave",Open until 6:30 pm,(032) 233 7652,,https://www.facebook.com/pages/Clinica-Gorordo/227969174027355,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Best",dentist,"! All staffs are well accomodating and clinic is clean."""
Dr. Lei Marie Apas,5.0,(2),Dentist,,(032) 254 9117,Closing soon: 6:00 pm,Closed,,,,"""Staff is very accomodating and the",dentist,"was also very nice and ..."""
Dr. Mary Christine Tio,3.3,(7),General practitioner,"Surgery Department, Chong Hua Hospital, Don Mariano Cui Street",Open until 8:00 pm,(032) 255 8000,Closed,http://chonghua.com.ph/index.php/Doctors/profile/476,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Dr. Noel is a great",Dentist,", very nice and helpful."""
Supreme Oral Care Dental Clinic,3.3,(4),General practitioner,Osmeña Boulevard,Opens at 9:00 am,(032) 520 8461,Closed,,,,"""I recommend her to all those who are looking for a better",dentist,"who ..."""
Dr. Susan Uriarte-Valmayor,5.0,(2),General practitioner,"38 M. Diaz Building, Osmeña Boulevard",Closing soon: 6:00 pm,(032) 253 1189,Closed,,,,"""Affordable dental service and a very good",dentist,"too."""
Southwestern University College Of Dentistry,4.5,(2),School,A Tormis St,Closing soon: 6:00 pm,(032) 412 5938,Temporarily closed,,,,"""The",dentists,"and staff are super professional and knowledgeable, ..."""
University Of The Visayas - College of Dentistry,5.0,(1),University,"University Of The Visayas, Colon Street",Open until 7:00 pm,(032) 345 2178,Temporarily closed,http://uv.edu.ph/college-of-dentistry/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I've been to many dental clinics but Dr. Pearl is the best",dentist,"I've ..."""
Reyes Pinda Luz C Delos,3.0,(2),Manufacturer,"Cebu Veterans Drive, Bayanihan Village, Basak Pardo",Opens at 9:00 am,(032) 272 0774,Closed,,,,"""Commend to the",dentist,"for being professional on extracting tooth."""
Eye Ear Nose Throat,4.3,(6),Eye care center,"Abellanosa Bldg, Natalio B. Bacalso Ave",Opens at 9:00 am,(032) 272 0684,Closed,,,,,,
Mandaue ENT Clinic,3.6,(5),Otolaryngology clinic,"Room 301, St. Jude Suite, Doctor's Clinic, A. S. Fortuna St",Open until 7:00 pm,(032) 344 2221,Closed today,http://www.drjanrusabello.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I've been to a lot of",dentist,"in the past and in my opinion, this place is ..."""
Alpha Diagnostic Center,2.4,(8),Diagnostic center,"Corner General, F. Ramos st, Echavez Ext",Opens at 7:00 am,(032) 254 7305,Closed,https://www.facebook.com/Alpha-Diagnostic-Center-205202759529/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""This",Dentist,"was incredible and such a life saver in a ..."""
Joon Dental Family Care,4.2,(5),Hospital,,Open until 6:30 pm,2736452,Closed,http://www.facebook.com/joondentalfamilycare,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Dr. Didee Cruz,5.0,(1),,"Intellmed Inc., Fuente Jones Ave",Closing soon: 6:00 pm,(032) 253 6865,,,,,"""i met this",dentist,"earlier ."""
"Dr. Joseph Sherwin Ygnacio, Endocrinology",3.0,(1),General practitioner,"Room 7A, Cebu North General Hospital, Kauswagan Road",Closing soon: 6:00 pm,(032) 345 1486,Closed,,,,,,
Cortes Dental Clinic,5.0,(1),,"Room 101 D and C Building, Highway, Tipolo, Mandaue City, Cebu",Closing soon: 6:00 pm,(032) 345 1508,,,,,"""Friendly and loving staff and of course these two",dentists,"who I ..."""
Amistad Rhea Hygenia V,5.0,(1),,Basak,Closing soon: 6:00 pm,(032) 341 5895,Temporarily closed,,,,,,
