web-scraper-order,web-scraper-start-url,main,main-href,banner-src,title,contact,reviewer_name,reviewer_date,reviewr_text,reviewer_image-src,pages,pages-href
"1591021135-2674","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Seafood Island","https://www.yelp.com/biz/seafood-island-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/MszLjSk13J13H4DSk5iRzA/l.jpg","Seafood Island","+63-917-6254695","[{""reviewer_name"":""Benedict A.""},{""reviewer_name"":""Paula W.""},{""reviewer_name"":""Marcus T.""}]","[{""reviewer_date"":""3/30/2018""},{""reviewer_date"":""6/2/2019""},{""reviewer_date"":""5/1/2019""}]","","","6","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=150"
"1591021159-2711","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Maco Manok Litson Native Chicken","https://www.yelp.com/biz/maco-manok-litson-native-chicken-mandaue-city?osq=Restaurants","","Maco Manok Litson Native Chicken","+63-943-7052722","[{""reviewer_name"":""Sheena Y.""}]","[{""reviewer_date"":""7/30/2018""}]","If you want good native chicken and exceptional roast beef then maco Manok is the place to be.  Also their garlic rice is off the hook and it's definitely authentic filipino food.  A must try if you're in Cebu.","","6","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=150"
"1591020895-2332","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Neo Neo BBQ Grill","https://www.yelp.com/biz/neo-neo-bbq-grill-ramos?osq=Restaurants","","Neo Neo BBQ Grill","+63-32-5208168","[{""reviewer_name"":""Toyo M.""},{""reviewer_name"":""Bruce K.""}]","[{""reviewer_date"":""4/1/2016""},{""reviewer_date"":""4/5/2019""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/1lbRcmdTnb224r-StrlopQ/168s.jpg","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591021362-3007","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cebu’s Original Lechon Belly","https://www.yelp.com/biz/cebus-original-lechon-belly-mandaue-city?osq=Restaurants","","Cebu's Original Lechon Belly","null","[{""reviewer_name"":""Jefferson S.""},{""reviewer_name"":""Abbys A.""},{""reviewer_name"":""Gio G.""},{""reviewer_name"":""Gil M.""},{""reviewer_name"":""Anneke D.""},{""reviewer_name"":""Barry T.""},{""reviewer_name"":""Maputing E.""},{""reviewer_name"":""Mike M.""},{""reviewer_name"":""Swan L.""},{""reviewer_name"":""Michael C.""}]","[{""reviewer_date"":""2/22/2019""},{""reviewer_date"":""8/6/2019""},{""reviewer_date"":""6/21/2019""},{""reviewer_date"":""2/20/2018""},{""reviewer_date"":""3/1/2017""},{""reviewer_date"":""9/28/2016""},{""reviewer_date"":""2/27/2018""},{""reviewer_date"":""9/19/2017""},{""reviewer_date"":""10/2/2016""},{""reviewer_date"":""9/20/2015""}]","Having been to the Philippines and now Cebu on a number of occasions, my hosts decided that it was time I try lechon (boneless pork belly--a Cebu specialty).

It looks like a fast food joint, with few tables and hard booths--and an outpost downstairs where you can eat on stools outside, facing the parking lot of the Time Square complex. On the menu: lechon, lechon, lechon. And bottomless servings of rice.

Like a fast food place, it's served quickly from behind a counter, and with disposable packaging: straw ""plates"" on which to place your round wax paper cut-out and, oddly, plastic gloves. Lechon, which is traditionally eaten with bare hands, left workers' fingers greasy after lunch breaks so, following complaints, the restaurant decided to issue thin gloves to its customers. Many of the locals in the restaurant (not on their lunch break, and with their families) decided to forego the gloves. We, seriously considering a karaoke night afterwards, decided to use them.

The issue with the gloves is that, once you've helped yourself to rice (steamed and served in woven banana leaf pods) and that scrumptiously greasy lechon (I wasn't a fan of the skin and thick layer of fat that came with each piece, but even if you avoid those it gets oily), your gloves lose all manner of grip and you have trouble opening your subsequent rice pods.

Logistics aside, the lechon was an experience and the restaurant fine, but I wouldn't be in a hurry to go back. Instead, I'd spend more time at AA BBQ: goo.gl/bgeKOo","","5","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=120"
"1591020826-2203","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cafe Racer","https://www.yelp.com/biz/cafe-racer-mandaue-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/ghvHXg0_Ohef3q5PzmWF0g/l.jpg","Cafe Racer","+63-32-5117798","[{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""3/23/2016""}]","","","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591020839-2222","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","88 Degrees Cafe","https://www.yelp.com/biz/88-degrees-cafe-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/ofN12Ds3TvXUN63ONJSdzQ/l.jpg","88 Degrees Cafe","+63-917-8208322","[{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""4/10/2018""},{""reviewer_date"":""2/15/2017""}]","","","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591021948-4058","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Blue Elephant","https://www.yelp.com/biz/blue-elephant-cebu-city?osq=Restaurants","","Blue Elephant","+63-32-2629088","[{""reviewer_name"":""PatrickJ T.""},{""reviewer_name"":""Clydelle M.""},{""reviewer_name"":""Arnel E.""},{""reviewer_name"":""Dexter V.""},{""reviewer_name"":""Sandrine G.""},{""reviewer_name"":""Steve F.""},{""reviewer_name"":""PGreg H.""},{""reviewer_name"":""Dee S.""},{""reviewer_name"":""Monz S.""}]","[{""reviewer_date"":""8/10/2019""},{""reviewer_date"":""10/25/2019""},{""reviewer_date"":""10/29/2018""},{""reviewer_date"":""4/23/2016""},{""reviewer_date"":""8/5/2017""},{""reviewer_date"":""2/1/2016""},{""reviewer_date"":""7/27/2017""},{""reviewer_date"":""12/9/2017""},{""reviewer_date"":""6/30/2017""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/fk41X8wJrgCeA_D2RCThMw/168s.jpg","",""
"1591021652-3462","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Anzani","https://www.yelp.com/biz/anzani-lahug?osq=Restaurants","","Anzani","anzani.com.ph","[{""reviewer_name"":""Bobby L.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""Katherine O.""},{""reviewer_name"":""Kelsie H.""},{""reviewer_name"":""Scott G.""},{""reviewer_name"":""Cathy M.""},{""reviewer_name"":""Kartik K.""},{""reviewer_name"":""Michael W.""}]","[{""reviewer_date"":""1/16/2019""},{""reviewer_date"":""8/7/2016""},{""reviewer_date"":""5/14/2018""},{""reviewer_date"":""9/1/2016""},{""reviewer_date"":""4/15/2019""},{""reviewer_date"":""4/12/2017""},{""reviewer_date"":""7/1/2016""},{""reviewer_date"":""4/3/2018""}]","My higher score is most definitely for the ambience of this place! When I lived in Cebu, my friends and I  met once a week here for drinks, sunset, and dinner. We always sit outside on the plush lounge couches for a great view of the hills. It's pretty hot here, still though, so be prepared for that- and for the mosquitoes that don't really lessen up until about an hour after sunset (I do wish the restaurant could do something a little more about that). 

Usually, we would sit outside in the Anzani area and grab a menu from Bellini's as well because their menu is a little bit cheaper (You can order from either restaurant). Make sure to ask for the bread pots because they usually don't give to you unless you ask- they're actually super delicious. 

It's of course, very pricey, but very delicious and obviously, one of my favorite views in Cebu!","","3","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=60"
"1591021318-2925","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Osaka Takoyaki","https://www.yelp.com/biz/osaka-takoyaki-cebu-city?osq=Restaurants","","Osaka Takoyaki","null","[{""reviewer_name"":""Toyo M.""},{""reviewer_name"":""Cha S.""}]","[{""reviewer_date"":""6/29/2017""},{""reviewer_date"":""7/3/2018""}]","I first spotted this outfit at a japanese festival held at srp. The line was riduculosly long throughout the whole day so never got a chance to give it a try.
I've been wanting to go to Japan, but unfortunately, I am unable to go at this time. So to compensate, I've been visitonf alot of Japanese restaurants lately.
I did notice that they had a spot at island central mall on mactan and would now be . opening. 
Build it and I will try it, sure enough the SM seaside location is open and I'm here on the first day.
Of course I had to try the Osaka takoyaki and their tonkatsu. I even ordered dessert.
First impressions, the broth and ramen of the tonkatsu was flavorful and nice texture of the ramen. The takoyaki was delicious on par with sachi which I also consider to have good takoyaki.
The anti climax was the dessert, I ordered the green tea ice shave. Presentation was not so great, I could not taste the green tea as it was overpowered by sugar and condensed milk.
However overall a great experience, I would come back again to try other dishes such as the yakisoba.","","5","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=120"
"1591021967-4101","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cooee","https://www.yelp.com/biz/cooee-cebu-city?osq=Restaurants","","Cooee","+63-32-3181563","[{""reviewer_name"":""Kristen T.""}]","[{""reviewer_date"":""1/14/2020""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/EWGEcPy23v1A3s0-aUytXA/168s.jpg","",""
"1591020644-1934","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Bo’s Coffee","https://www.yelp.com/biz/bos-coffee-cebu-city-2?osq=Restaurants","","Bo's Coffee","boscoffee.com","[{""reviewer_name"":""Marco F.""},{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""11/4/2017""},{""reviewer_date"":""1/9/2016""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/8iWAyL2jj4pFcqtZIV-csw/348s.jpg","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591021661-3479","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Banri Noodle House","https://www.yelp.com/biz/banri-noodle-house-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/bh53dYGZZcLc5BRXea8z1w/l.jpg","Banri Noodle House","+63-32-2340788","[{""reviewer_name"":""Eypee K.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""Toyo M.""},{""reviewer_name"":""Myles C.""},{""reviewer_name"":""Katrina E.""}]","[{""reviewer_date"":""1/4/2019""},{""reviewer_date"":""11/16/2017""},{""reviewer_date"":""8/5/2015""},{""reviewer_date"":""7/26/2016""},{""reviewer_date"":""11/5/2016""}]","","","3","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=60"
"1591021630-3421","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Yumeya Kihei","https://www.yelp.com/biz/yumeya-kihei-cebu-city?osq=Restaurants","","Yumeya Kihei","+63-32-2342388","[{""reviewer_name"":""Myles C.""},{""reviewer_name"":""Kenneth M.""}]","[{""reviewer_date"":""9/2/2016""},{""reviewer_date"":""3/12/2019""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/Y-vN_vPyyb6HQg2Y46YzoQ/168s.jpg","3","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=60"
"1591021427-3128","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cafe Laguna","https://www.yelp.com/biz/cafe-laguna-cebu-city-3?osq=Restaurants","","Cafe Laguna","cafelaguna.com/cafe-laguna","[{""reviewer_name"":""Michael L.""},{""reviewer_name"":""PatrickJ T.""},{""reviewer_name"":""Lu C.""}]","[{""reviewer_date"":""6/29/2018""},{""reviewer_date"":""12/25/2019""},{""reviewer_date"":""5/19/2018""}]","Came here for lunch while on vacation here in the Philippines. The food here is fantastic. I had some lechon kawali and some lengua estofado (braised ox tongue). So tender so good. I'll be back before I leave.","","4","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=90"
"1591022037-4415","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Zubuchon","https://www.yelp.com/biz/zubuchon-cebu-city?osq=Restaurants","","Zubuchon","zubuchon.com","[{""reviewer_name"":""M A G.""},{""reviewer_name"":""Jacques I.""},{""reviewer_name"":""Tellie N.""},{""reviewer_name"":""Kent H.""},{""reviewer_name"":""Ron Z.""},{""reviewer_name"":""Robert N.""},{""reviewer_name"":""Joey R.""},{""reviewer_name"":""Lillian C.""},{""reviewer_name"":""Linda P.""},{""reviewer_name"":""Benjamin C.""},{""reviewer_name"":""Cris T.""},{""reviewer_name"":""David L.""},{""reviewer_name"":""Kathrine P.""},{""reviewer_name"":""John A.""},{""reviewer_name"":""Barry T.""},{""reviewer_name"":""Aileen B.""},{""reviewer_name"":""Angeli Y.""},{""reviewer_name"":""Ian Maren C.""},{""reviewer_name"":""Katrina E.""},{""reviewer_name"":""Geoffrey U.""}]","[{""reviewer_date"":""4/11/2020""},{""reviewer_date"":""11/29/2018""},{""reviewer_date"":""8/31/2018""},{""reviewer_date"":""4/17/2019""},{""reviewer_date"":""11/29/2017""},{""reviewer_date"":""11/11/2016""},{""reviewer_date"":""9/8/2015""},{""reviewer_date"":""3/7/2018""},{""reviewer_date"":""12/6/2016""},{""reviewer_date"":""3/23/2016""},{""reviewer_date"":""6/1/2016""},{""reviewer_date"":""7/4/2016""},{""reviewer_date"":""11/30/2015""},{""reviewer_date"":""6/5/2017""},{""reviewer_date"":""9/25/2016""},{""reviewer_date"":""1/25/2018""},{""reviewer_date"":""7/7/2016""},{""reviewer_date"":""5/10/2016""},{""reviewer_date"":""11/5/2016""},{""reviewer_date"":""7/2/2016""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/1slfQWvAoDWOYUuiffjtUg/168s.jpg","",""
"1591020940-2412","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Sachi","https://www.yelp.com/biz/sachi-mandaue-city-2?osq=Restaurants","","Sachi","+63-32-5058165","[{""reviewer_name"":""Toyo M.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""Ed T.""},{""reviewer_name"":""Keisha R.""},{""reviewer_name"":""Myles C.""},{""reviewer_name"":""Chris S.""}]","[{""reviewer_date"":""5/16/2017""},{""reviewer_date"":""10/13/2017""},{""reviewer_date"":""4/7/2019""},{""reviewer_date"":""3/2/2017""},{""reviewer_date"":""7/20/2016""},{""reviewer_date"":""8/23/2017""}]","Very good ramen place. The food and service good. I recommend their Noukou Kotteri Ramen and Gyoza and for snacks/appetizers try their Takoyaki and Okonomiyaki. In my opinion, I think they have the best Takoyaki in town. I would definitely recommend this place.","","7","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=180"
"1591021192-2759","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Soba Kamakura","https://www.yelp.com/biz/soba-kamakura-mandaue-city?osq=Restaurants","","Soba Kamakura","soba-kamakura.com","[{""reviewer_name"":""Angela L.""},{""reviewer_name"":""Myles C.""}]","[{""reviewer_date"":""12/9/2017""},{""reviewer_date"":""8/16/2016""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/4uZgwG8T60Dbb-1gnJCR3w/168s.jpg","6","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=150"
"1591021944-4035","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Birdseed","https://www.yelp.com/biz/birdseed-cebu-city?osq=Restaurants","","Birdseed","+63-918-9444885","[{""reviewer_name"":""John L.""},{""reviewer_name"":""Kent H.""},{""reviewer_name"":""Maya S.""},{""reviewer_name"":""Toyo M.""},{""reviewer_name"":""Alan S.""},{""reviewer_name"":""Carl V.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""Rustum N.""},{""reviewer_name"":""Cha S.""},{""reviewer_name"":""ravi b.""},{""reviewer_name"":""Paula T.""},{""reviewer_name"":""Chris M.""},{""reviewer_name"":""Pablo G.""}]","[{""reviewer_date"":""12/3/2016""},{""reviewer_date"":""2/20/2020""},{""reviewer_date"":""5/25/2019""},{""reviewer_date"":""6/27/2019""},{""reviewer_date"":""7/5/2019""},{""reviewer_date"":""9/12/2018""},{""reviewer_date"":""10/27/2016""},{""reviewer_date"":""3/26/2019""},{""reviewer_date"":""1/8/2017""},{""reviewer_date"":""5/12/2018""},{""reviewer_date"":""7/14/2017""},{""reviewer_date"":""2/27/2016""},{""reviewer_date"":""12/21/2016""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/qrQuvLIQtX0iTUL4oxk9zw/348s.jpg","",""
"1591020822-2199","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Chicken Deli","https://www.yelp.com/biz/chicken-deli-cebu-city?osq=Restaurants","","Chicken Deli","null","[{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""1/27/2017""}]","This is a bacolod based barbecue. chicken joint. The leader and originator is mang inasal which is very popular and always busy. This place seems to be ok, but for a place to be new and have flies inside seems to be a turn off. The positive is since the place is not busy the chicken is served hot unlike most mang inadal places where they have ovens warm the food to keep up with the customers.","","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591021243-2813","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Abaca Baking Company","https://www.yelp.com/biz/abaca-baking-company-cebu-city?osq=Restaurants","","Abaca Baking Company","+63-32-4019387","[{""reviewer_name"":""PatrickJ T.""},{""reviewer_name"":""Caitlin M.""}]","[{""reviewer_date"":""12/24/2019""},{""reviewer_date"":""10/28/2019""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/GSQYKfVDsjNKzxrhsbKeLA/168s.jpg","5","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=120"
"1591021695-3540","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Hukad sa Golden Cowrie","https://www.yelp.com/biz/hukad-sa-golden-cowrie-cebu-city?osq=Restaurants","","Hukad sa Golden Cowrie","alwaysafeast.ph","[{""reviewer_name"":""Jonny M.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""Robert N.""},{""reviewer_name"":""Michael H.""},{""reviewer_name"":""Totong B.""},{""reviewer_name"":""Kelsie H.""},{""reviewer_name"":""Jenny C.""},{""reviewer_name"":""Swan L.""},{""reviewer_name"":""Emma D.""},{""reviewer_name"":""Keisha R.""},{""reviewer_name"":""Liza M.""},{""reviewer_name"":""Thomas L.""},{""reviewer_name"":""Nataraki T.""}]","[{""reviewer_date"":""2/7/2019""},{""reviewer_date"":""10/27/2017""},{""reviewer_date"":""11/14/2016""},{""reviewer_date"":""3/30/2019""},{""reviewer_date"":""1/3/2019""},{""reviewer_date"":""9/1/2016""},{""reviewer_date"":""2/5/2019""},{""reviewer_date"":""10/2/2016""},{""reviewer_date"":""5/30/2015""},{""reviewer_date"":""1/24/2017""},{""reviewer_date"":""6/9/2017""},{""reviewer_date"":""8/11/2015""},{""reviewer_date"":""12/31/2017""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/o38oA4jvtHkiFPMsZTdI-Q/168s.jpg","3","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=60"
"1591020982-2457","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Puso Bistro and Bar","https://www.yelp.com/biz/puso-bistro-and-bar-cebu-city?osq=Restaurants","","Puso Bistro and Bar","+63-32-4025999","[{""reviewer_name"":""Jessica S.""},{""reviewer_name"":""Sivilay T.""},{""reviewer_name"":""Cha S.""},{""reviewer_name"":""Ian Jude F.""},{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""3/30/2020""},{""reviewer_date"":""3/12/2019""},{""reviewer_date"":""6/24/2018""},{""reviewer_date"":""1/5/2019""},{""reviewer_date"":""11/25/2016""}]","We arrived about 6:15 pm and took a peek to see what the buffet offered. At quick glance, roasted pig, BBQ, sushi, cook to order sinigang (filipino sour soup), sashimi etc. We decided to have a go at it as we were celebrating a birthday in our group. 

The buffet had a juice station that had 3 varieties (orange juice, dalandan, and I forgot the 3rd kind) to choose from. I opted to try dalandan as I never had dalandan juice before. I took a few sips and strangely an odd after taste became apparent. I had my wife taste it as she said she's had dalandam juice before and she immediately said, ""don't drink that anymore. Either the cup is dirty or the water they use has an odor."" eeeek!! So I ended sticking to water (which didn't have any noticable odors or strange tastes, so maybe it was the cup?!). *gasps*

Now for the food. Cold, cold, and cold. I browsed around and cherry picked what they offered and sadly everything was cold. My dad ordered a shwarma with fries and it was cold, almost frozen. The sushi wasn't fresh. The rice was almost crispy like. Tuna sashimi didn't taste that great, seemed like it came from laying on ice then transferred on a serving plate but then left to fend for itself. What was meant to be hot was cold and what was meant to be cold was luke warm. The receptionist indicated that they opened at 6 PM for dinner, but all the food seemed as if its been left out for quite sometime. I expected the food thats intended to be hot would be piping hot as they did just open. Unfortunately not. Now I will say I was a big fan of their sinigang. Just the right tartness and super hot. We ordered a plate of bam-i which is like two types of noodles stir fryed. It was super salty. Their roasted pig tasted alright but you can tell its been sitting there for awhile as its gotten super dry, almost like a leather look. The BBQ was cold which was a huge turn off. The food was either dry, cold, warm or not fresh at all. I bypassed the salad bar as I noticed a fly just cruising through their leafy offerings. They had what appeared to be pastrami but when I tasted it, it was super spongy and dripped wet. *yuck*

For dessert, they had a variety of offerings but mostly local fare. I tasted the bread pudding and it was super dry, no sauce for it. Ice cream was pretty good and toppings can be found towards the salad bar. They offered conchenta (a brown jelly like dessert topped with coconut shavings), a casava dessert with caramalized coconut strands, chocolate fountain (but the liquid didn't look like chocolate, had a pink color), and small cake cuts normally found in average chinese buffets in the States. They also had a crepe station.

Staff: When we first were seated I got the feeling as if the person putting water in our glass was not ready to be bothered with. He didn't say anything and seemes to just want to get his duties over with. The rest of the evening waiters were attentive and kept making sure the cups were filled with water. Totally different attitude from the original guy who first filled our cups. I did mention to a lady, whom appeared to be a manager, that the dalandan juice tasted funny and that I will only be having water for my drink. She just stared at me and didn't say anything. *shrugs* It also appeared that they may lack in food prep staff as there were scarcely any attendants at the ""cook to order"" stations. 

As mentioned in the title, the restaurant itself was beautiful and nicely layed out (floor seemed to be newly mopped but no caution signs, so tread carefully). We didn't come here to observe the decorations. We came here to eat. Unfortunately, I was disappointed at the quality of the food that was offered.  I'm not sure if they had free wifi, I didn't have time to check. Birthday celebrants are free (with i.d. and given a slice of cake, thank you) and each adult was 850 pesos. We were told senior citizens also get a discount (with i.d.). Free parking.","","7","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=180"
"1591020835-2214","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","La Fortuna Bakery","https://www.yelp.com/biz/la-fortuna-bakery-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/g-4HLKRNTSDyNDn_UbvnyQ/o.jpg","La Fortuna Bakery","+63-32-2530271","[{""reviewer_name"":""Jigger Rendon N.""},{""reviewer_name"":""K T.""}]","[{""reviewer_date"":""11/4/2016""},{""reviewer_date"":""2/17/2017""}]","","","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591022018-4271","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","La Vie in the Sky","https://www.yelp.com/biz/la-vie-in-the-sky-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/5lX6kiZjjzrsY37AmscDdQ/l.jpg","La Vie in the Sky","+63-917-8855935","[{""reviewer_name"":""Keith A.""},{""reviewer_name"":""Delores S.""}]","[{""reviewer_date"":""10/10/2019""},{""reviewer_date"":""5/8/2019""}]","","","",""
"1591021178-2725","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cafe Marco","https://www.yelp.com/biz/cafe-marco-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/sKmuUxwBYbCGAUuX2dKtdw/l.jpg","Cafe Marco","marcopoloplazacebu.com/bars-re…","[{""reviewer_name"":""Yna C.""},{""reviewer_name"":""Sivilay T.""}]","[{""reviewer_date"":""4/29/2016""},{""reviewer_date"":""3/12/2019""}]","","","6","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=150"
"1591021252-2816","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","CnT Lechon","https://www.yelp.com/biz/cnt-lechon-lungsod-ng-cebu?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/Crqy11HEGC-RKgYs0BqWNg/o.jpg","CnT Lechon","+63-32-2335339","[{""reviewer_name"":""Michelle M.""}]","[{""reviewer_date"":""2/17/2018""}]","","","5","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=120"
"1591021598-3392","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Casa Verde","https://www.yelp.com/biz/casa-verde-cebu-city-2?osq=Restaurants","","Casa Verde","casaverdecebu.com","[{""reviewer_name"":""Jay K.""},{""reviewer_name"":""Thunder H.""},{""reviewer_name"":""Joe T.""},{""reviewer_name"":""Joey R.""},{""reviewer_name"":""Ray J.""},{""reviewer_name"":""Dale E.""},{""reviewer_name"":""Sheika G.""},{""reviewer_name"":""Jodie S.""},{""reviewer_name"":""Monz S.""}]","[{""reviewer_date"":""7/24/2016""},{""reviewer_date"":""2/3/2019""},{""reviewer_date"":""5/31/2019""},{""reviewer_date"":""9/17/2015""},{""reviewer_date"":""8/22/2017""},{""reviewer_date"":""8/8/2016""},{""reviewer_date"":""6/11/2016""},{""reviewer_date"":""1/20/2016""},{""reviewer_date"":""6/30/2017""}]","Giving them 4 stars because through out the years, I feel like the service and food has been declining in quality. The waiting time is ridiculous when its weekends and dinner time (even on weekdays). The portions are huge and they're still affordable so 4 stars for them.","","3","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=60"
