web-scraper-order,web-scraper-start-url,link,link-href,name,address,contact,reviewer_name,reviewer_rate,reviews,rate,reviewer_text,open_establishment,type,dishes,cost,services,pages,pages-href
"1592234599-127","https://www.zomato.com/cebu/delivery","A Taste of Mandarin","https://www.zomato.com/cebu/a-taste-of-mandarin-banilad-cebu-city","A Taste of Mandarin","Second Floor, Gaisano Country Mall, Banilad, Cebu City","+63322324845","[{""reviewer_name"":""Robyn Gail""},{""reviewer_name"":""Kem Pot""}]","[{""reviewer_rate"":""2.0""},{""reviewer_rate"":""4.0""}]","22 Reviews","3.8","[{""reviewer_text"":""A Taste of Mandarin has been my family's favorite go to Chinese restaurant for years now, however, the quality of their service has remarkably gone down.\n\nYou'd see servers in their own clothes, which honestly cheapens the vibe the restaurant used to have.\n\nServers are no longer attentive to their customers' needs; one server was called over by my sister to ask why her order was taking so long, but the server just nodded and yelled \""10 mins 10 mins\"" without even bothering to go near our table. Ordered hot tea, was given glasses instead of tea cups. One time, my dad and I ordered two dishes for a quick bite, but only one dish arrived since the server failed to relay our orders...read more""},{""reviewer_text"":""Ate here for my aunt and uncle’s 25th wedding anniversary. The place looks old already but it’s not crowded which is perfect for those who wants to celebrate special occasions just like what we did! But of course we were only like 20pax (more or less).""}]","Opens tomorrow at 10am","Casual Dining - Chinese","null","PHP55 for a pint of beer (approx.)","[{""services"":""Home Delivery""},{""services"":""Beer""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""}]","3","https://www.zomato.com/cebu/delivery?page=3"
"1592234988-166","https://www.zomato.com/cebu/delivery","Dolce","https://www.zomato.com/cebu/dolce-lahug","Dolce","Panorama Heights, Nivel Hills, Lahug, Cebu City","+63325127263","[]","[]","132 Reviews","4.0","[]","7am – 1am (Today)","Café - Coffee, Desserts","null","Friendly Staff","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Desserts and Bakes""},{""services"":""Outdoor Seating""},{""services"":""Wifi""},{""services"":""Indoor Seating""}]","",""
"1592234829-152","https://www.zomato.com/cebu/delivery","10 Dove Street Confectionery","https://www.zomato.com/cebu/10-dove-street-confectionery-banilad-mandaue-city","10 Dove Street Confectionery","Oakridge Business Park, A. S. Fortuna Street, Banilad, Mandaue City","+63324181010","[{""reviewer_name"":""Mikhaila Tuble""},{""reviewer_name"":""Ohgodjmrocks""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""5.0""}]","60 Reviews","4.1","[{""reviewer_text"":""Been to a few 10 Dove street branches, and all of them provides excellent service.\n\nAmbiance - Very neat and pretty, the cafe/restaurant is very nice for a small gathering of friends and families.\n\nFood - Though there were only a few items on their food menu, they were really good and filling, especially their rice toppings.\n\nCakes/ Pastries - They have the best variety of cakes and pastries selection. I like their Vanilla Cake (Tres Leches Cake), and also their muffins and cookies. Definitely worth the price.""},{""reviewer_text"":""I LOVE THIS PLACE! \n\nIt really feels like Christmas when you visit their store. They have cake selection and goodies made for Christmas. \n\nThey also have outdoor seating which I love (you cannot smoke in there)\n\nMy personal favorite are the following: \n\nmatcha latte\nred velvet cupcakes\nAmericano (they serve it with a cookie!)""}]","Opens tomorrow at 7am","Bakery - Bakery","Coffee, Tea, Chocolate Cake","PHP550 for two people (approx.)","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Desserts and Bakes""},{""services"":""Wifi""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""}]","2","https://www.zomato.com/cebu/delivery?page=2"
"1592234780-147","https://www.zomato.com/cebu/delivery","Fudge","https://www.zomato.com/cebu/fudge-banilad-mandaue-city","Fudge","888 A. S. Fortuna Street, Banilad, Mandaue City","+63324161727","[{""reviewer_name"":""Alexandria Gabud""},{""reviewer_name"":""Queenie""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""2.0""}]","74 Reviews","4.2","[{""reviewer_text"":""""},{""reviewer_text"":""The staff didnt listen carefully and gave me wrong order. 😔""}]","Opens tomorrow at 8am","Casual Dining - Desserts, Bakery, American, Filipino","null","PHP1150 for two people (approx.)","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Table booking recommended""},{""services"":""Wifi""},{""services"":""Desserts and Bakes""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""}]","2","https://www.zomato.com/cebu/delivery?page=2"
"1592234460-107","https://www.zomato.com/cebu/delivery","Corner Bakery","https://www.zomato.com/cebu/corner-bakery-kasambagan","Corner Bakery","44 President Roxas Street, Villa Aurora, Kasambagan, Cebu City","+63322383508","[]","[]","27 Reviews","3.9","[{""reviewer_text"":""""},{""reviewer_text"":""I have been a customer ever since 2013. I learned about this place because of its brownies and lasagna.\nPastries- Really good not too sweet my favourite is their brownies and recently i tatsted the chocolate mousse which compliments well with their iced coffe latte\n\nCoffee- Nothing extraordinary but it compliements (again)with their pastries.\n\nDishes/Pastas- tastes good and cheap. You have to try their lasagna and the chicken wings.\n\nAmbience- It actually feels so chill because of the hole in the wall and artisan vibe.They are expanding their store ao it is expected to accomodate more people.""}]","Opens tomorrow at 9am","Café, Bakery - Bakery, Pizza, Burger, Coffee","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Indoor Seating""},{""services"":""Desserts and Bakes""}]","5","https://www.zomato.com/cebu/delivery?page=5"
"1592234961-164","https://www.zomato.com/cebu/delivery","Puso Bistro and Bar","https://www.zomato.com/cebu/puso-bistro-and-bar-kamputhaw","Puso Bistro and Bar","Ground Floor, Quest Hotel, Archbishop Reyes Avenue, Kamputhaw, Cebu City","+63324025999","[]","[]","60 Reviews","4.1","[{""reviewer_text"":""Best buffet breakfast in Cebuuu!!!""},{""reviewer_text"":""Marven Anorico was very helpful and he really attended to our meal needs. Food was great service too!!!!! 😊😊😊""}]","6am – 1am (Today)","Casual Dining - American, Asian, Bakery","null","Friendly Staff","[{""services"":""Breakfast""},{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Wifi""},{""services"":""Serves Cocktails""},{""services"":""Table booking recommended""},{""services"":""Indoor Seating""},{""services"":""Buffet""},{""services"":""Private Dining Area Available""},{""services"":""Desserts and Bakes""}]","",""
"1592234294-83","https://www.zomato.com/cebu/delivery","Boiling Shrimp Hauz","https://www.zomato.com/cebu/boiling-shrimp-hauz-kamputhaw-cebu-city","Boiling Shrimp Hauz","Century Plaza Commercial Complex, Juana Osmena Street, Kamputhaw, Cebu City","+63324157743","[]","[]","16 Reviews","2.9","[]","Opens tomorrow at 11am","Casual Dining - Seafood, American","null","PHP45 for a pint of beer (approx.)","[{""services"":""Home Delivery""},{""services"":""Beer""},{""services"":""Table booking recommended""},{""services"":""Free Parking""},{""services"":""Indoor Seating""},{""services"":""Outdoor Seating""}]","...","https://www.zomato.com/cebu/delivery?page=6"
"1592234304-84","https://www.zomato.com/cebu/delivery","Planet Vegis","https://www.zomato.com/cebu/planet-vegis-guadalupe-cebu-city","Planet Vegis","E. Osmeña Street Corner J. Diaz Street, Guadalupe, Cebu, Guadalupe, Cebu City","+63322547544","[{""reviewer_name"":""Cia Anne Taba""},{""reviewer_name"":""Mahadev Babal""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""5.0""}]","20 Reviews","3.8","[{""reviewer_text"":""Ordered from the resto via Grabfood and it arrived right away. Got some tofu sisig and samosa which was 3pcs per order. I liked how you can really taste the spices on the samosa and how crunchy it was.\nThe tofu sisig was actually plenty, like good for 2 or 1 huuungry person. The tofu was firm enough and didnt get mashed when mixed. The sauce was kinda spicy which was good for me and this is best paired with rice plus extra rice.""},{""reviewer_text"":""I love your idea of Vegetarian ,, God bless you,, The only and best place for Vegetarians .. Thenprice of dishes is even lower and pocket friendly  !! Keep it up 👍🏻👍🏻🤘🏻😘😘😘""}]","Opens tomorrow at 11am","Casual Dining - Italian, Asian","PHP850 for two people (approx.)","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Indoor Seating""},{""services"":""Vegetarian Friendly""},{""services"":""Vegan Options""}]","...","https://www.zomato.com/cebu/delivery?page=6"
"1592234274-80","https://www.zomato.com/cebu/delivery","La Bella Pizza Bistro","https://www.zomato.com/cebu/la-bella-pizza-bistro-kasambagan","La Bella Pizza Bistro","The Gallery, Juan Luna Avenue, Kasambagan, Cebu City","+63324120200","[]","[]","15 Reviews","3.6","[]","Opens tomorrow at 11am","Casual Dining - Pizza","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""}]","...","https://www.zomato.com/cebu/delivery?page=6"
"1592234385-98","https://www.zomato.com/cebu/delivery","Kenny Rogers Roasters","https://www.zomato.com/cebu/kenny-rogers-roasters-north-reclamation-area-cebu-city","Kenny Rogers Roasters","SM City Cebu, Upper Ground, Cebu City, Cebu","+639773691008","[]","[]","22 Reviews","3.7","[]","Opens tomorrow at 10am","Casual Dining - American","null","Cash and Cards accepted","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Table booking recommended""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""}]","5","https://www.zomato.com/cebu/delivery?page=5"
"1592234351-93","https://www.zomato.com/cebu/delivery","Tea Of Spring - Shangri-la's Mactan Resort & Spa","https://www.zomato.com/cebu/tea-of-spring-shangri-las-mactan-resort-spa-punta-engano-lapu-lapu-city","Tea Of Spring - Shangri-la's Mactan Resort & Spa","Shangri-la's Mactan Resort & Spa, Garden Level, Main Wing, Punta Engano, Lapu-Lapu City","+63322310288","[{""reviewer_name"":""Ryel Medina""},{""reviewer_name"":""The Beanie Review""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""5.0""}]","18 Reviews","3.8","[{""reviewer_text"":""I had an ocular in Shang Mactan and this restaurant was said to be one of their bests so I gave it a try. Delicious food, staff were accommodating and generous servings.""},{""reviewer_text"":""What we had:\nSweet and sour soup, yang chow rice, roast chicken, pork knuckles, tiger prawn, chilled glutinous rice with mango filling\n\nWhat I loved:\nGreat great Chinese food. For Shangri-La price, ToS I guess is most affordable. Serving is generous, but most of all the service was commendable. Very professional, accommodating, warm staff here. They change your plates as needed, and even offer to help with the prawn. (I have allergies to shrimp but the tiger prawn my friend had sure did look so delicious!) The roast chicken ang yang chow was so good! And the mochi-like dessert with fresh mangoes was a bonus.  🥰""}]","Opens tomorrow at 12noon","Fine Dining - Chinese","null","PHP180 for a pint of beer (approx.)","[{""services"":""Home Delivery""},{""services"":""Full Bar Available""},{""services"":""Indoor Seating""},{""services"":""Outdoor Seating""},{""services"":""Wifi""},{""services"":""Table booking recommended""}]","...","https://www.zomato.com/cebu/delivery?page=6"
"1592234426-105","https://www.zomato.com/cebu/delivery","Giuseppe","https://www.zomato.com/cebu/giuseppe-banilad-cebu-city","Giuseppe","Paseo Saturnino, Ma. Luisa Road, Banilad, Cebu City","+63323439901","[{""reviewer_name"":""Mariel Bontia""},{""reviewer_name"":""HG""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""5.0""}]","29 Reviews","3.9","[{""reviewer_text"":""Our fam's all-time fave place to dine... Their Osso buco is to die for with a perfectly cooked and flavorful risotto. We also love their four cheese pizza (Quattro Formaggi) and Gregorio. Ambiance is great and the servers are very polite and accommodating. I highly recommend!""},{""reviewer_text"":""Giuseppe has never disappointed me when it comes to how their food tastes. I ate at their branch in Panglao twice before and was met here with the same delicious food I was expecting.\n\nThe only downside is that it's a bit pricey, but in this case I can definitely say the food is worth the money. Actually, not just the food. The place has great ambiance and the servers are very friendly and accommodating. The parking is limited though, and a bit elevated up front but you can park in the side street. I suppose a last resort option would be to try parking at Streetscape if it's really busy.""}]","Opens on Wednesday at 11:30am","Casual Dining - Pizza, Italian","PHP1550 for two people (approx.) Without alcohol","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Wine and Beer""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""},{""services"":""Outdoor Seating""}]","5","https://www.zomato.com/cebu/delivery?page=5"
"1592234604-128","https://www.zomato.com/cebu/delivery","21 South Burger","https://www.zomato.com/cebu/21-south-burger-punta-princesa-cebu-city","21 South Burger","40 E. Sabellano Street, Punta Princesa, Cebu City","Not available for this place","[]","[]","55 Reviews","3.8","[]","Opens tomorrow at 4pm","Quick Bites - Burger","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""No Parking Available""},{""services"":""Outdoor Seating""}]","3","https://www.zomato.com/cebu/delivery?page=3"
"1592234467-108","https://www.zomato.com/cebu/delivery","Sunburst","https://www.zomato.com/cebu/sunburst-kamputhaw","Sunburst","Ground Floor, One Mango, General Maxilom Avenue, Kamputhaw, Cebu City","+639992266072","[]","[]","32 Reviews","2.7","[{""reviewer_text"":""Food: They used to be known for their tasty chicken, but it's no longer the case. \n\nPlace: Located in the entertainment area of Mango.\n\nPrice: Average.""},{""reviewer_text"":""They used to be known for good fried chicken but I dont think thats true anymore. Chicken is not tasty. Whats worse about this resto is that they have poor customer service. Well I think the word should be terrible service because lady waiters are grouchy and not looking happy to serve customers. The lady who took my bill was rude. She grabbed my bill ungently. This place dont deserve 1 star even.""}]","8am – 12midnight (Today)","Casual Dining - American, Filipino","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Outdoor Seating""},{""services"":""Table booking recommended""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Free Parking""}]","5","https://www.zomato.com/cebu/delivery?page=5"
"1592234728-141","https://www.zomato.com/cebu/delivery","Bucket Shrimps","https://www.zomato.com/cebu/bucket-shrimps-capitol-site","Bucket Shrimps","Orchid Street, Capitol Site, Cebu City","+639956233060","[{""reviewer_name"":""Dinky""},{""reviewer_name"":""Rox Ulang""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""5.0""}]","89 Reviews","4.1","[{""reviewer_text"":""Food tasted well. Buttered shrimp is a must try.""},{""reviewer_text"":""I love the food especially the buttered shrimp. Defenitely will be back!""}]","Opens tomorrow at 11am","Casual Dining - Filipino, Seafood","Beer","PHP700 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Table booking recommended""}]","2","https://www.zomato.com/cebu/delivery?page=2"
"1592234335-90","https://www.zomato.com/cebu/delivery","Persian Palate","https://www.zomato.com/persianpalatemango","Persian Palate","Ground Floor, Mango Square, Juana Osmena Street, Kamputhaw, Cebu City 6000","+63324120684","[{""reviewer_name"":""Larisse Apawan""},{""reviewer_name"":""HonestTaster""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""5.0""}]","22 Reviews","3.7","[{""reviewer_text"":""I will always enjoy eating here. It’s not very expensive and the quality is good especially the mango lassi. Really addicting. And also the Kebab Platter which has 6 kebabs and 2 naan. It’s definitely a must try! I love their Veggie Pakora than the Spinach one. Mango chutney on it blends so well.""},{""reviewer_text"":""I appreciate the hummus and babaganoush as they nearly remind me of my food exploits in the Middle East. However, the only Persian item is their mirza ghazemi. The name of the restaurant may be misleading but the taste of Arabian nights is definitely there!""}]","Opens tomorrow at 10am","Casual Dining - Iranian","PHP600 for two people (approx.)","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Group Meal""},{""services"":""Indoor Seating""},{""services"":""Outdoor Seating""}]","...","https://www.zomato.com/cebu/delivery?page=6"
"1592234689-136","https://www.zomato.com/cebu/delivery","Golden Cowrie","https://www.zomato.com/cebu/golden-cowrie-lahug-cebu-city","Golden Cowrie","Salinas Drive, Lahug, Cebu City","+63322334243","[]","[]","71 Reviews","3.8","[{""reviewer_text"":""Good food but bad, bad service. They really need to improve their system. Perhaps assign servers per table? To make sure that every table is promptly attended to. Because we already pre-ordered while queueing... and yet our food got served an hour plus after we were given a table. The rice and kangkong were served first, the sizzling dish some 30 mins after, then the rest of the food another 30mins after it! By the time our order was complete, the rice and sizzling bangus had gone cold! Then the soup (which is supposed to be served first) came last. 🤦🏻‍♀️\nGood thing they thought of giving us a complimentary dessert (sliced mangoes) to compensate for their error. But still.. I...read more""},{""reviewer_text"":""Ate here a lot of times. Their food are okay. Although it takes time to get the staff’s attention because of the very large place and many customers. It also takes quite a lot of time for orders to reach your table when the place is busy.""}]","Opens tomorrow at 11am","Casual Dining - Filipino","null","PHP1000 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""}]","3","https://www.zomato.com/cebu/delivery?page=3"
"1592234360-94","https://www.zomato.com/cebu/delivery","Dong Juan","https://www.zomato.com/cebu/dong-juan-guadalupe-cebu-city","Dong Juan","E. OsmeÃ±a Street, Guadalupe, Cebu City","+63325052121","[{""reviewer_name"":""Juan Antonio Bernad""},{""reviewer_name"":""KaonSuroySugbo""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""5.0""}]","28 Reviews","3.9","[{""reviewer_text"":""""},{""reviewer_text"":""- The place is small but a good place to unwind/chill\n- The food was served after 20/30 mins but its fine as long as you have friends to chitchat with \n- The food tastes good. \n- Overall , I had a good experience.""}]","Opens tomorrow at 11am","Casual Dining - Filipino, American","PHP1100 for two people (approx.) Without alcohol","","[{""services"":""Home Delivery""},{""services"":""Beer""},{""services"":""Table booking recommended""},{""services"":""Indoor Seating""},{""services"":""Wifi""}]","5","https://www.zomato.com/cebu/delivery?page=5"
"1592234856-155","https://www.zomato.com/cebu/delivery","Ilaputi","https://www.zomato.com/cebu/ilaputi-capitol-site-cebu-city","Ilaputi","F17, Axis Entertainment Avenue, Escario Street, Capitol Site, Cebu City","+63324120262","[{""reviewer_name"":""Cho Carcel""},{""reviewer_name"":""CHarMz BOrcEs""}]","[{""reviewer_rate"":""2.0""},{""reviewer_rate"":""5.0""}]","54 Reviews","3.7","[{""reviewer_text"":""The stroganoff is actually pork not beef""},{""reviewer_text"":""""}]","11am – 12midnight (Today)","Casual Dining - Filipino, Asian","PHP1000 for two people (approx.) Without alcohol","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Full Bar Available""},{""services"":""Outdoor Seating""},{""services"":""Table booking recommended""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Live Music""}]","",""
"1592234389-99","https://www.zomato.com/cebu/delivery","Abaseria Cafe & Deli","https://www.zomato.com/cebu/abaseria-cafe-deli-kasambagan-cebu-city","Abaseria Cafe & Deli","32 President Quirino Street, Villa Aurora, Kasambagan, Cebu City","+63322344160","[]","[]","28 Reviews","3.7","[]","Opens tomorrow at 9am","Casual Dining - Filipino","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Table booking recommended""}]","5","https://www.zomato.com/cebu/delivery?page=5"
"1592234485-110","https://www.zomato.com/cebu/delivery","Shakey's","https://www.zomato.com/cebu/shakeys-kasambagan","Shakey's","F. Cabahug Street, Kasambagan, Cebu City","+63322601353","[]","[]","20 Reviews","3.8","[{""reviewer_text"":""It's the biggest Shakey’s store jn the Visayas and for me one of the most homey ambiance too. I am biased as always when it comes to Shakey’s because this is undeniably our fave pizza place everrrr. Hands down.""},{""reviewer_text"":""I always frequent this place! I love how welcoming this place is. No wonder a lot of families dine here. It usually gets stuffed during dinner times. I love their food but sometimes, service is slow (or maybe we're just hungry that time). I'll always be back at this place.""}]","Opens tomorrow at 10am","Casual Dining - Pizza, American","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""}]","4","https://www.zomato.com/cebu/delivery?page=4"
"1592234330-89","https://www.zomato.com/cebu/delivery","Buko Bar - Shangri-la's Mactan Resort & Spa","https://www.zomato.com/cebu/buko-bar-shangri-las-mactan-resort-spa-punta-engano","Buko Bar - Shangri-la's Mactan Resort & Spa","Poolside, Main Wing, Shangri-la's Mactan Resort & Spa, Punta Engano, Lapu-Lapu City","+63322310288","[{""reviewer_name"":""Kathy Ann Macasling""},{""reviewer_name"":""Jovijovijovi""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""4.0""}]","15 Reviews","3.2","[{""reviewer_text"":""Best bar here in Lapu-lapu City, great performance in the service. You can relax and enjoy in here with your friends and families. I've been here with my families, I enjoy swimming and try their Spa, also my mom and my dad.""},{""reviewer_text"":""food that can be served to you pool or beachside. some burgers, sandwiches, finger food and fries for the kids. good service especially how they can still find you if you move from your place a bit.""}]","Opens tomorrow at 10am","Casual Dining - American, Filipino","null","PHP130 for a pint of beer (approx.)","[{""services"":""Home Delivery""},{""services"":""Beer""},{""services"":""Indoor Seating""},{""services"":""Serves Cocktails""},{""services"":""Wifi""},{""services"":""Outdoor Seating""},{""services"":""Table booking recommended""}]","...","https://www.zomato.com/cebu/delivery?page=6"
"1592234414-103","https://www.zomato.com/cebu/delivery","Cowrie Cove - Shangri-la's Mactan Resort & Spa","https://www.zomato.com/cebu/cowrie-cove-shangri-las-mactan-resort-spa-punta-engano","Cowrie Cove - Shangri-la's Mactan Resort & Spa","Shangri-la's Mactan Resort & Spa, Beach Cove, Punta Engano, Lapu-Lapu City","+63322310288","[]","[]","23 Reviews","3.9","[{""reviewer_text"":""""},{""reviewer_text"":""Cowrie Cove is an ideal date place to cap a romantic getaway at Shangri-la Mactan. They serve the best-tasting seafoods with a great view and ambiance that is also great for families and big groups.""}]","Opens tomorrow at 6pm","Fine Dining - Seafood","null","","[{""services"":""Home Delivery""},{""services"":""Wine and Beer""},{""services"":""Outdoor Seating""},{""services"":""Serves Cocktails""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""}]","5","https://www.zomato.com/cebu/delivery?page=5"
"1592234838-153","https://www.zomato.com/cebu/delivery","Master Po","https://www.zomato.com/cebu/master-po-ramos-cebu-city","Master Po","Ground Floor, Plaza Nouvelle, E. Benedicto Street, Ramos, Cebu City","+63322338833","[]","[]","88 Reviews","4.0","[{""reviewer_text"":""""},{""reviewer_text"":""""}]","Opens tomorrow at 10:30am","Quick Bites - Chinese","null","","[{""services"":""Home Delivery""},{""services"":""Beer""},{""services"":""Free Parking""},{""services"":""Indoor Seating""},{""services"":""Wifi""}]","2","https://www.zomato.com/cebu/delivery?page=2"
"1592234872-156","https://www.zomato.com/cebu/delivery","House of Lechon","https://www.zomato.com/cebu/house-of-lechon-kamputhaw","House of Lechon","Acacia Street, Kamputhaw, Cebu City","+63322310958","[]","[]","253 Reviews","4.2","[]","Opens tomorrow at 10am","Casual Dining - Filipino","null","Decor","[{""services"":""Home Delivery""},{""services"":""Beer""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""}]","",""
"1592234583-126","https://www.zomato.com/cebu/delivery","Chef's Bistro","https://www.zomato.com/cebu/chefs-bistro-marigondon-lapu-lapu-city","Chef's Bistro","M. L. Quezon National Highway, Marigondon, Lapu-Lapu City","+639176438368","[]","[]","18 Reviews","3.5","[{""reviewer_text"":""At last, we were able to eat here earlier today. We ordered beef burger steak, pork steak, fried chicken and aglio olio, and we loved it so much. It’s quite expensive though but it’s worth it. Also, the food serving can be shared for two, and they serve the food really quick. I will definitely dine here again.""},{""reviewer_text"":""Good service. Fast food, especially if you're the only one there. The place can fill up at times, so that's a good sign. They also play Christian music in the background for those interested.""}]","Opens tomorrow at 11am","Casual Dining, Bar - Filipino, American, Italian","null","PHP60 for a pint of beer (approx.)","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Outdoor Seating""},{""services"":""Table booking recommended""}]","3","https://www.zomato.com/cebu/delivery?page=3"
"1592234746-144","https://www.zomato.com/cebu/delivery","Tides - Shangri-la's Mactan Resort & Spa","https://www.zomato.com/cebu/tides-shangri-las-mactan-resort-spa-punta-engano-lapu-lapu-city","Tides - Shangri-la's Mactan Resort & Spa","Shangri-la's Mactan Resort & Spa, Garden Level, Main Wing, Punta Engano, Lapu-Lapu City","+63322310288","[]","[]","53 Reviews","4.1","[]","Opens tomorrow at 6am","Fine Dining - International","null","PHP1900 for two people (approx.) Without alcohol","[{""services"":""Breakfast""},{""services"":""Home Delivery""},{""services"":""Full Bar Available""},{""services"":""Indoor Seating""},{""services"":""Outdoor Seating""},{""services"":""Wifi""},{""services"":""Table booking recommended""},{""services"":""Buffet""}]","2","https://www.zomato.com/cebu/delivery?page=2"
"1592234496-111","https://www.zomato.com/cebu/delivery","Cooee","https://www.zomato.com/cebu/cooee-ramos-cebu-city","Cooee","Ground Floor, Raintree Mall, F. Ramos Street, Ramos, Cebu City","Not available for this place","[]","[]","21 Reviews","3.8","[]","Opens tomorrow at 7am","Café - Coffee, Bakery, Desserts","null","Cash only","[{""services"":""Breakfast""},{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Desserts and Bakes""},{""services"":""Indoor Seating""},{""services"":""All Day Breakfast""}]","4","https://www.zomato.com/cebu/delivery?page=4"
"1592234644-132","https://www.zomato.com/cebu/delivery","Chik Chow Food Express Buffet","https://www.zomato.com/cebu/chik-chow-food-express-buffet-kamputhaw","Chik Chow Food Express Buffet","316 - C General Maxilom Avenue, Kamputhaw, Cebu City","+63322559959","[{""reviewer_name"":""Demi Bernice Eslit""},{""reviewer_name"":""Eric Cabaluna Nacorda""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""3.5""}]","38 Reviews","3.8","[{""reviewer_text"":""I love the place! It's not easily discoverable though because it's not at the side of the street, they need bigger signs so people would be able to see them. Went here with a co-teacher when I was still teaching. Their food is good! Although they dont have that much food choices, the Filipino-Chinese brand is really present. I think it's 300 per person. I also think you need to make reservations before you go there because it's not a huge and spacious place.""},{""reviewer_text"":""Been here 6 times. The lengua and the all-meat dinugoan keeps calling me back. But they do need to introduce a few more dishes to the mix. The location is very much accessible and parking is plentiful. However, the attendants are a little bit too at home, with their loud conversations. Some piped-in soft music would be nice, to drown some of the noise from neighboring tables.""}]","Opens tomorrow at 11am","Casual Dining - Filipino, Chinese","Roasted Pork, Meatballs","PHP600 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Beer""},{""services"":""Outdoor Seating""},{""services"":""Buffet""},{""services"":""Indoor Seating""},{""services"":""Wifi""}]","3","https://www.zomato.com/cebu/delivery?page=3"
"1592234564-123","https://www.zomato.com/cebu/delivery","J.CO Donuts & Coffee","https://www.zomato.com/cebu/j-co-donuts-coffee-north-reclamation-area-cebu-city","J.CO Donuts & Coffee","Lower Ground Floor, SM City Cebu, North Reclamation Area, Cebu City","+63322343308","[{""reviewer_name"":""Kateeeeyperry🌹""},{""reviewer_name"":""Nicole Summer""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""3.0""}]","34 Reviews","3.9","[{""reviewer_text"":""This is the best donut evaaah!!! 😍😍😍 you can choose varieties of favors 😍 and they have awesome promos during their anniversary and any other special days 😍 ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐""},{""reviewer_text"":""First time trying their donuts, I say it doesn't really sell to me... The taste isn't as great but the place and service beats that I guess. All depends.""}]","Opens tomorrow at 10am","Café - Bakery, Coffee","PHP500 for two people (approx.)","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Indoor Seating""},{""services"":""Desserts and Bakes""}]","4","https://www.zomato.com/cebu/delivery?page=4"
